                                    QX( 2)  Manderfield outflow                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1972   1692.    481.   -918.    466.   -304.   -756.    124.   -294.   1998.    502.   1043.     19.     4052.
           1973    799.     45.    541.    783.     84.    434.   1328.  -1400.   1029.   4979.   2389.     49.    11060.
           1974    478.  -3329.   2004.   2003.    803.    477.   -509.    571.   3148.   1500.   1241.   1069.     9456.
           1975   1217.    -39.    298.    656.   -447.   -704.    801.    912.   -444.   1771.   -446.    976.     4552.
           1976    482.     82.    378.    616.      9.   -436.    -37.   1315.  -1206.   1181.    815.   -297.     2902.
           1977    499.   -463.   -325.   1674.   -603.    238.    402.   -184.    281.   -685.   1230.    511.     2574.
           1978     41.   -851.   1311.     49.   -288.   -792.    152.   -174.   -929.   1021.    819.    606.      964.
           1979    483.    206.   -452.   -528.     79.   -183.   -115.  -6196.   -641.   1457.   1014.    223.    -4653.
           1980   1474.   -855.    165.    536.   1756.   -602.  -1116.   2078.  -3993.  -2373.   4436.   -145.     1361.
           1981   1130.     55.   -483.    -90.    165.     -5.    387.    626.   1490.   1354.    506.   1301.     6436.
           1982   1066.    136.    -90.   -754.    513.   -345.    189.    804.   1193.   3243.   2663.   1080.     9697.
           1983    830.    -90.   -100.   -360.   -400.    470.   1000.   1280. -10740.    920.   2440.    590.    -4160.
           1984    865.    510.   1715.   2501.  -1624.   1869.    276.  -7761.   -407.   2535.   3200.   1813.     5492.
           1985   1050.   -370.   -517.    894.   2309.    903.    948.  -1633.   1662.   1628.   3221.   1519.    11614.
           1986   1366.  -1136.   -290.   -176.   -243.   -590.    949.    -39.    343.   1826.   2732.   1509.     6251.
           1987    918.    -69.   -277.    -56.    340.     59.   2499.    409.   1843.   1186.   2809.   1317.    10979.
           1988    785.    926.     78.    -17.   1082.     30.   -145.    303.    495.   1293.   1182.    962.     6974.
           1989   1452.    273.    248.    609.    299.    659.    337.    582.    171.    -31.    619.    235.     5452.
           1990    828.    528.    343.     17.    200.    -43.   -440.    444.    393.    693.    615.    630.     4208.
           1991    667.    293.    137.    -46.   -557.    518.      2.    452.    490.    798.    841.    759.     4353.
           1992    851.     77.     13.   -186.    196.   -290.   -672.    965.    279.    292.    992.    468.     2986.
           1993   1013.   -362.   -406.     37.    -40.     44.   -283.  -4974.   1179.   1483.   1444.    941.       76.
           1994    663.     53.   -117.   -200.   -121.   -258.     78.    996.    337.    868.    981.    360.     3640.
           1995    290.    140.    390.    180.    -30.   -330.    160.     10. -14080.    950.   1150.   1380.    -9790.
           1996    594.     92.    316.    -68.    -32.   -473.    588.    509.    509.    674.    902.    367.     3978.
           1997    265.    747.   1034.    590.    -70.    115.    256.    231.   -558.   2372.   2357.   -152.     7186.
           1998    217.   -138.    128.    572.   -399.   -169.    856.    887.   4168.      1.   2906.    837.     9867.
           1999    -59.    228.   -354.    360.    -37.   -296.   1002.  -1299.  -1634.   7030.   4978.   7103.    17022.
           2000    661.  -1826.  -3371.    275.   -269.  -1108.   -466.    117.    377.   1193.    196.   -422.    -4643.
           2001    683.   -769.   -243.     52.    -23.   -356.    -20.    -98.   2282.   1035.    901.     54.     3499.
           2002  -1337.  -1897.   -160.   -344.   -265.   -651.      6.   1130.    -88.    304.     55.    377.    -2870.
           2003    149.     48.   -149.   -320.   -259.   -212.   -445.    202.     98.    190.    175.    774.      250.

           AVE.    691.   -227.     26.    304.     57.    -87.    253.   -288.   -342.   1287.   1575.    838.     4086.

           NUMBER OF YEARS   32
                        10234500 BEAVER RIVER NEAR BEAVER, UT                     Acre-Feet                              PAGE  2

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1915   2550.   1730.   1630.   1430.   1260.   1670.   4730.  10830.  11440.   4310.   2260.   1790.    45630.
           1916   1700.   1580.   1390.   1010.   1510.   2760.   6230.  13830.   9080.   4500.   3390.   2240.    49220.
           1917   2480.   1940.   1190.   1180.   1460.   1610.   3140.   6790.  11760.   3960.   1830.   1560.    38900.
           1918   1517.   1242.   1265.   1260.   1083.   1440.   3181.   8424.   5881.   3235.   1916.   1468.    31912.
           1919   1730.   1500.   1400.   1190.    970.   1380.   5540.  12430.   3810.   2150.   1530.   1450.    35080.
           1920   1410.   1410.   1190.    980.    920.   1030.   1690.  20020.  12730.   4390.   2560.   1710.    50040.
           1921   1780.   1510.   1090.   1250.   1240.   2150.   2940.  12840.  18540.   4890.   2880.   2180.    53290.
           1922   1790.   1560.   1470.   1280.   1150.   1440.   2180.  20750.  17240.   4630.   2880.   1940.    58310.
           1923   1630.   1520.   1520.   1470.   1270.   1510.   3190.  19240.  10520.   5200.   2650.   1820.    51540.
           1924   1734.   1509.   1390.   1363.   1377.   1454.   4461.   8279.   3457.   1686.   1218.   1079.    29007.
