                                    QX( 3)  Minersville Reservoir inlfow                                                 PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1972   3505.   2794.   1280.   2513.   1795.   1598.    329.   -266.   2026.    504.   1048.     34.    17159.
           1973   1224.   2025.   1862.   1955.   2230.   3177.   4063.  15051.  12192.   5697.   3847.    757.    54080.
           1974   1929.   -749.   4559.   4316.   2808.   3284.   1195.    759.   3334.   2162.   1658.   1124.    26380.
           1975   1490.   2024.   2135.   2282.   1195.   1702.   2013.   1021.    861.   2967.    517.   1269.    19477.
           1976   1100.   1855.   2478.   2697.   2082.   1768.    957.   1415.  -1174.   1202.    835.   -265.    14950.
           1977    561.    656.    927.   2890.    904.   1823.    682.   -152.    308.   -677.   1241.    530.     9691.
           1978    105.    244.   2749.   1872.   1444.   1594.   1759.   5018.  12291.   1705.   1070.    955.    30806.
           1979   1076.   2999.   2295.   1961.   2697.   2755.   2585.  10197.  13184.   1990.   1553.    670.    43962.
           1980   1701.   1694.   2521.   2849.   3928.   1939.    679.   9998.  19793.   5019.   5011.   2452.    57584.
           1981   3238.   3381.   2520.   2312.   2444.   2911.   1765.   2346.   2534.   1517.    635.   1558.    27160.
           1982   2227.   2744.   2496.   2043.   2792.   2170.   1529.   4215.   3803.   5087.   4621.   3690.    37416.
           1983   3686.   4084.   3177.   3069.   2830.   5474.   6209.  23491.  55488.   9150.   5945.   3499.   126102.
           1984   4975.   4470.   5265.   5551.   1796.   5859.   8836.  30509.  14253.   3995.   7330.   3063.    95902.
           1985   4866.   3512.   3341.   4140.   5231.   4682.   8822.   7749.   4230.   2663.   3518.   1898.    54651.
           1986   3752.   2552.   3396.   3085.   2534.   4361.   5402.   7161.   6988.   2144.   3351.   3050.    47775.
           1987   3766.   3462.   2720.   2459.   3141.   3379.   3002.    777.   1929.   1195.   2893.   1548.    30272.
           1988   2497.   3635.   2545.   2296.   3756.   2978.   2743.   4250.   2542.   1466.   1943.   1443.    32093.
           1989   2175.   3242.   2795.   2628.   2669.   3910.    999.    647.    222.     -4.    689.    267.    20238.
           1990    882.   1758.   2088.   1802.   1723.   2083.    174.    472.    446.    713.    630.    635.    13406.
           1991    844.   1366.   1301.   1802.   2053.   2218.    506.    677.   1292.    872.    897.    808.    14635.
           1992   1706.   1997.   2094.   1986.   2191.   2106.    253.   1160.    368.    318.   1011.    481.    15672.
           1993   1499.   1268.   1622.   2554.   2437.   2874.    853.   6635.   8684.   1677.   1492.    966.    32561.
           1994   1853.   2532.   2311.   2115.   1934.   1956.    545.   1111.    352.    878.    996.    382.    16965.
           1995   1153.   2104.   2498.   2161.   1704.   2285.    999.   5484.  23187.   8188.   1274.   1567.    52604.
           1996   1780.   2565.   3017.   2558.   2431.   1877.   1003.    628.    573.    695.    927.    384.    18438.
           1997    654.   2510.   2616.   2526.   1677.   2223.   1562.   8161.   5822.   2712.   3005.   1678.    35147.
           1998   2526.   2693.   2484.   3545.   2183.   2780.   2980.   7161.  16813.   5220.   4548.   3751.    56684.
           1999   2920.   3812.   2701.   3637.   2502.   2100.   1760.    -14.    -88.   7527.   5226.   7750.    39833.
           2000   1873.    784.   -675.   3369.   2712.   2155.    263.    198.    419.   1208.    211.   -404.    12112.
           2001   1611.   1736.   1921.   1976.   1895.   1913.    531.   1295.   2295.   1047.    949.     88.    17258.
           2002   -562.    212.   2139.   1868.   1826.   1382.    371.   1150.    -80.    308.     56.    382.     9054.
           2003    257.   1214.   1331.   1312.   1233.   1510.   -250.   1152.    341.    194.    177.    775.     9245.

           AVE.   1965.   2224.   2391.   2629.   2337.   2651.   2035.   4983.   6726.   2479.   2159.   1462.    34041.

           NUMBER OF YEARS   32
                        10234500 BEAVER RIVER NEAR BEAVER, UT                     Acre-Feet                              PAGE  2

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1915   2550.   1730.   1630.   1430.   1260.   1670.   4730.  10830.  11440.   4310.   2260.   1790.    45630.
           1916   1700.   1580.   1390.   1010.   1510.   2760.   6230.  13830.   9080.   4500.   3390.   2240.    49220.
           1917   2480.   1940.   1190.   1180.   1460.   1610.   3140.   6790.  11760.   3960.   1830.   1560.    38900.
           1918   1517.   1242.   1265.   1260.   1083.   1440.   3181.   8424.   5881.   3235.   1916.   1468.    31912.
           1919   1730.   1500.   1400.   1190.    970.   1380.   5540.  12430.   3810.   2150.   1530.   1450.    35080.
           1920   1410.   1410.   1190.    980.    920.   1030.   1690.  20020.  12730.   4390.   2560.   1710.    50040.
           1921   1780.   1510.   1090.   1250.   1240.   2150.   2940.  12840.  18540.   4890.   2880.   2180.    53290.
           1922   1790.   1560.   1470.   1280.   1150.   1440.   2180.  20750.  17240.   4630.   2880.   1940.    58310.
           1923   1630.   1520.   1520.   1470.   1270.   1510.   3190.  19240.  10520.   5200.   2650.   1820.    51540.
           1924   1734.   1509.   1390.   1363.   1377.   1454.   4461.   8279.   3457.   1686.   1218.   1079.    29007.
           1925   1070.   1050.   1110.    960.    970.   1440.   3810.  12690.   5840.   3890.   2300.   1740.    36870.
           1926   1940.   1690.   1530.   1290.   1210.   1730.   5270.  17200.   6430.   2670.   1910.   1490.    44360.
           1927   1450.   1280.   1320.   1320.   1340.   1500.   3370.  10940.   5950.   3310.   2380.   1910.    36070.
           1928   1880.   2000.   1610.   1650.   1540.   2180.   3540.  12860.   6440.   3270.   2200.   1670.    40840.
           1929   1730.   1550.   1230.   1230.   1290.   1750.   2960.  17780.   8180.   3800.   2340.   2130.    45970.
           1930   1620.   1490.   1420.   1230.   1090.   1420.   5870.  10010.   6290.   2560.   2030.   1660.    36690.
           1931   1599.   1208.   1168.   1107.   1154.   1315.   2315.   3820.   2079.   1260.    950.    732.    18707.
           1932   1020.    810.    800.    740.    920.   1150.   3240.  12920.   8710.   4450.   1750.   1240.    37750.
           1933   1360.   1110.   1230.   1540.   1000.    940.   1300.   5510.  12990.   3370.   1900.   1380.    33630.
           1934   1382.   1252.    980.    861.    980.   1406.   2515.   3005.   1432.   1140.    867.    662.    16482.
           1935    830.    860.    920.    980.   1000.   1190.   2760.   7260.  13410.   3660.   1870.   1370.    36110.
           1936   1230.   1180.   1100.   1210.   1100.   1300.   5000.  12230.  12360.   5660.   3810.   2170.    48350.
           1937   1790.   1460.   1350.   1230.   1110.   1460.   4920.  23640.  10340.   4780.   2360.   1680.    56120.
           1938   1450.   1380.   1450.   1120.   1010.   1420.   4590.  13010.  10740.   4200.   1990.   1460.    43820.
           1939   1646.   1315.   1361.   1317.   1144.   1726.   3715.   5679.   2789.   1732.   1333.   1343.    25100.
           1940   1430.   1100.   1010.    960.   1060.   1480.   5050.  14780.   5360.   2020.   1550.   1550.    37350.
           1941   1470.   1200.   1170.   1200.   1120.   1290.   1560.  20740.  21180.   6040.   3090.   2010.    62070.
           1942   2110.   1920.   1710.   1660.   1380.   1580.   4800.  15030.   9820.   3570.   2190.   1520.    47290.
           1943   1496.   1347.   1258.   1206.   1297.   1684.   6966.   8894.   4818.   2283.   2198.   1430.    34877.
           1944   1550.   1310.   1220.   1170.   1110.   1320.   2310.  14600.  17010.   5640.   2380.   1790.    51410.
           1945   1580.   1480.   1380.   1310.   1200.   1440.   2470.  12930.   9610.   5050.   2610.   1780.    42840.
           1946   1692.   1466.   1448.   1382.   1238.   1478.   5222.   7420.   5012.   1968.   1710.   1273.    31309.
           1947   1550.   1390.   1320.   1110.   1110.   1810.   4290.  18820.   9210.   4590.   3240.   1980.    50420.
           1948   1830.   1380.   1400.   1180.   1090.   1250.   3030.  12230.   6540.   2770.   1760.   1300.    35760.
           1949   1250.   1190.   1200.   1110.   1030.   1340.   4480.  12390.  13450.   4990.   2250.   1520.    46200.
