                        09262000 BIG BRUSH CREEK NEAR VERNAL,UTAH                 Acre-Feet                              PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1939                                                   3910.  10030.   1740.    900.    810.   1010.          
           1940   1025.    756.    702.    700.    651.    728.   2237.   7115.   1212.    908.    742.    764.    17540.
           1941    800.    740.    620.    680.    630.    690.    780.  11270.  10740.   2100.   1360.   1470.    31880.
           1942   3400.   2430.   1480.   1110.    930.   1070.   3640.   9810.  11430.   2730.   1660.   1220.    40910.
           1943   1093.    976.    833.    776.    754.    895.   3477.   5191.   2727.   1265.   1055.    926.    19968.
           1944    900.    800.    800.    740.    690.    820.    930.  10460.  14410.   3520.   1760.   1370.    37200.
           1945   1238.   1097.   1021.    916.    795.    910.    956.   6063.   5627.   1589.   1164.   1113.    22489.
           1946   1127.    980.    885.    799.    680.    787.   2392.   2485.   1615.   1089.   1004.    839.    14682.
           1947    930.    950.   1000.    920.    810.    930.   2080.  13580.  11880.   4460.   2120.   1550.    41210.
           1948   1240.    938.    859.    861.    740.    807.   1146.   8335.   5332.   1948.   1613.   1279.    25098.
           1949   1040.    820.    800.    800.    710.    800.   2020.  12160.   9390.   2330.   1960.   1170.    34000.
           1950   1860.   1160.   1080.   1000.    830.    890.   3120.  10110.  11090.   2370.   1560.   1200.    36270.
           1951   1182.   1004.   1000.    825.    750.    833.   1000.   6067.   3535.   1551.   1101.    825.    19673.
           1952    940.    790.    690.    600.    580.    810.   2810.  14120.   9400.   1990.   1650.   1050.    35430.
           1953   1020.    883.    893.    877.    780.    883.   1168.   3864.   5566.   1656.   1260.    825.    19675.
           1954    863.    833.    772.    758.    674.    837.   2132.   5058.   1523.   1222.    895.    879.    16446.
           1955    845.    768.    604.    676.    611.    772.   1006.   3614.   2465.   1325.    980.    744.    14410.
           1956    736.    657.    676.    676.    688.    841.   1291.   6006.   2097.   1085.    912.    710.    16375.
           1957    730.    690.    690.    680.    610.    680.    740.   4520.  12700.   2920.   1760.   1160.    27880.
           1958   1025.    815.    734.    662.    690.    811.   1057.   9896.   4979.   1426.   1004.    748.    23847.
           1959    690.    647.    744.    674.    580.    611.    932.   4699.   3356.   1150.    964.    803.    15850.
           1960    787.    593.    591.    582.    522.    617.   1281.   2676.   2408.    968.    958.    640.    12623.
           1961    741.    681.    758.    587.    507.    590.    716.   3919.   2339.    859.    760.    806.    13263.
           1962    700.    650.    590.    520.    730.   1040.   5310.  14160.   8650.   1730.   1140.   1110.    36330.
           1963    970.    680.    655.    652.    620.    722.    904.   3285.   1991.    672.    610.    766.    12527.
           1964    692.    580.    570.    569.    594.    596.    732.   6444.   5302.   1454.   1004.    768.    19305.
           1965    760.    580.    520.    560.    690.    600.    810.   6660.  14470.   3620.   1960.   1030.    32260.
           1966   1110.   1220.    940.    840.    740.    910.   3050.  10150.   1950.   1060.   1070.    910.    23950.
           1967    860.    720.    740.    710.    640.    710.   1110.   7190.  12540.   2750.   1490.   1410.    30870.
           1968   1190.    860.    790.    800.    700.    820.   1110.   5610.  15170.   2600.   1810.   1130.    32590.
           1969   1470.    910.    800.    860.    770.    820.   1990.  11520.   3980.   2100.   1380.   1040.    27640.
           1970    860.    820.    820.    740.    740.    920.    950.   7980.  13290.   2450.   1370.   1090.    32030.
           1971   1070.    750.    740.    700.    760.    840.   1040.   5860.  12150.   2120.   1590.   1490.    29110.
           1972   1236.    900.    912.    881.    857.   1119.   1525.   6750.   3780.   1273.   1277.   1029.    21539.
           1973    890.    840.    890.    830.    710.    950.   1200.  11960.  13890.   3490.   2320.   1550.    39520.
           1974   1311.    964.    930.    900.    778.    887.   1196.   9896.   4020.   1123.    805.    659.    23469.
           1975    690.    710.    720.    650.    600.    720.    840.   4040.  14050.   8540.   2510.   1760.    35830.
           1976   1148.    893.    776.    738.    736.    843.    930.   8075.   4528.   2815.   1630.    966.    24078.
           1977    746.    730.    768.    680.    611.    706.   1006.   1976.   1898.   1529.   1781.    861.    13292.
           1978    783.    756.    740.    738.    649.    680.   1246.   5881.   6014.   2642.   1851.   1018.    22998.
           1979    772.    710.    609.    520.    534.    714.   1154.   7555.   4058.   2196.   2150.   1295.    22267.

           AVE.   1037.    857.    794.    745.    692.    805.   1632.   7464.   6812.   2086.   1385.   1048.    25408.

          Count     40      40      40      40      40      40      41      41      41      41      41      41        40
                        09299500 WHITEROCKS RIVER NEAR WHITEROCKS, UT                                                    PAGE  2

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

