                        09266500 ASHLEY CREEK NEAR VERNAL, UT                                                            PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1915   4858.   3868.   2705.   2275.   1833.   1845.   6486.  24635.  23960.   8410.   5135.   5234.    91244.
           1916   5062.   3437.   2747.   2368.   1956.   2660.   6780.  23137.  16740.   6978.   5276.   3586.    80727.
           1917   5270.   3630.   2670.   2190.   1670.   1840.   2200.  25030.  47480.  14510.   7390.   5670.   119550.
           1919   4612.   3273.   2460.   2152.   1666.   1845.   4463.  13835.   6843.   3884.   3029.   2940.    51002.
           1920   3888.   2553.   1910.   2013.   1678.   1734.   1769.  30299.  29931.   6887.   4683.   3880.    91225.
           1921   3470.   3320.   2770.   2340.   1830.   2090.   2700.  32850.  53980.  10550.   6640.   6380.   128920.
           1922   4880.   3540.   2920.   2580.   2100.   2230.   2590.  33290.  50320.   9790.   6930.   5590.   126760.
           1923   4633.   3743.   3205.   2723.   2182.   2182.   2795.  30480.  29157.  11217.   5439.   3249.   101005.
           1924   3775.   2916.   2579.   2261.   2055.   2120.   2904.  18932.   9463.   4719.   2876.   2420.    57020.
           1925   2378.   2112.   2013.   1857.   1686.   1839.   3390.  14186.  11782.   6770.   5052.   5379.    58444.
           1926   6688.   4669.   3205.   2366.   1765.   1860.   8432.  20884.   9031.   5972.   4808.   3003.    72683.
           1927   2721.   2124.   1956.   1686.   1490.   1583.   2517.  26083.  16883.   9128.   6373.  13662.    86206.
           1928   7000.   5460.   3380.   2770.   2300.   2150.   4170.  33820.  12780.   6400.   4600.   2820.    87650.
           1929   3074.   2797.   2091.   2275.   1777.   1783.   2499.  27300.  31422.   9285.   6518.   6307.    97128.
           1930   5619.   4072.   3074.   2767.   2055.   2152.   6490.  23835.  15209.   6347.   6962.   5605.    84187.
           1931   5443.   3410.   2828.   2460.   1888.   2029.   2678.   9277.   5492.   2836.   2340.   1908.    42589.
           1932   1985.   1898.   1845.   1783.   1668.   1722.   2015.  24450.  18278.   8362.   5578.   4374.    73958.
           1933   3679.   2378.   1714.   1537.   1329.   1335.   1377.   9374.  15392.   4633.   3408.   2192.    48348.
           1934   1777.   1470.   1291.   1291.   1111.   1230.   3796.   7823.   3519.   2436.   3037.   2485.    31266.
           1935   2114.   1950.   1761.   1615.   1430.   1577.   1741.  11744.  27122.   6581.   3997.   2339.    63971.
           1936   1924.   1646.   1424.   1192.   1067.   1095.   2148.  11409.   6736.   4284.   4756.   4015.    41696.
           1937   3332.   2460.   1654.   1392.   1004.   1113.   2245.  31482.  15618.   8735.   5700.   3872.    78607.
           1938   3017.   2079.   1615.   1424.   1178.   1291.   2398.  20342.  24472.   8908.   5542.   4788.    77054.
           1939   6664.   4834.   3314.   2473.   1932.   2085.   7644.  17710.   7238.   4304.   2888.   5338.    66424.
           1940   5607.   3469.   2158.   1624.   1347.   1452.   4635.  17459.   6910.   4098.   2176.   2979.    53914.
           1941   4794.   3340.   2283.   1896.   1599.   1692.   1632.  30188.  22231.   9297.   6543.   6805.    92300.
           1942   9453.   6171.   3947.   2569.   1813.   1803.   5994.  22453.  25317.   9529.   6948.   4959.   100956.
           1943   3150.   1910.   1585.   1309.   1023.   1091.   8749.  16588.  10508.   8340.   5754.   3249.    63256.
           1944   2210.   1740.   1520.   1330.   1070.   1090.   1220.  23050.  36080.  12080.   8270.   4150.    93810.
           1945   2555.   1976.   1615.   1404.   1123.   1214.   1283.  15400.  15459.   8515.   6704.   5288.    62536.
