                        09271000 ASHLEY C, SIGN OF THE MAINE, NR VERNAL, UTAH                                            PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1939      0.      0.      0.      0.      0.      0.      0.      0.   1234.   3187.   1989.   5825.    12235.
           1940   5425.   3443.   2370.   1809.   1404.   1462.   4280.  21148.   6123.   3715.   1712.   2362.    55253.
           1941   4470.   3300.   2420.   2030.   1590.   1640.   1650.  45170.  40340.  11930.   6690.   7050.   128280.
           1942  11290.   6920.   4370.   2910.   2090.   2180.   6060.  29870.  41060.  10520.   5880.   4610.   127760.
           1943   3247.   2366.   2128.   1807.   1466.   1634.   9283.  24744.  16731.   8648.   5609.   3219.    80882.
           1944   2360.   2020.   1780.   1520.   1250.   1410.   1790.  33700.  65400.  18600.   8270.   4210.   142310.
           1945   2836.   2158.   1837.   1688.   1476.   1583.   1551.  19204.  24085.  10899.   7244.   5248.    79809.
           1946   3771.   2483.   2021.   1676.   1424.   1428.   6825.  10625.   7898.   4437.   3221.   3235.    49044.
           1947   3210.   3240.   2850.   2360.   1740.   2090.   3430.  52120.  34930.  14800.   7760.   5510.   134040.
           1948   4330.   2610.   2260.   1870.   1550.   1570.   2000.  32510.  17860.   6940.   5270.   2330.    81100.
           1949   2020.   1690.   1550.   1420.   1180.   1330.   2490.  30500.  41070.  10840.   6980.   3480.   104550.
           1950   3590.   2780.   2200.   1980.   1730.   1960.   4480.  36010.  37710.  13690.   7800.   4330.   118260.
           1951   3227.   2225.   2029.   1791.   1384.   1515.   1337.  21705.  22350.   7470.   6452.   4342.    75827.
           1952   3630.   2250.   1900.   1790.   1530.   1550.   4100.  46570.  38240.  11460.  13050.   6130.   132200.
           1953   4423.   2922.   2301.   2188.   1779.   1952.   2144.   8820.  22600.   8370.   5298.   2331.    65128.
           1954   1819.   1997.   2023.   1833.   1349.   1365.   3231.  23252.   8717.   6813.   3731.   2481.    58611.
           1955   2565.   2116.   1769.   1597.   1260.   1365.   1547.  17460.  11141.   5155.   3977.   2469.    52421.
           1956   2400.   1740.   1780.   1620.   1350.   1370.   2170.  31630.  14400.   6260.   3260.   1720.    69700.
           1957   1470.   1460.   1380.   1390.   1300.   1210.   1060.   6440.  51010.  13250.   7560.   5420.    92950.
           1958   3340.   2860.   2370.   1950.   1600.   1590.   2110.  37910.  22990.   8260.   4530.   2710.    92220.
           1959   2071.   1734.   1638.   1269.   1202.   1168.   1081.  10147.  10663.   5762.   3669.   2406.    42810.
           1960   2229.   1801.   1273.   1057.    928.   1077.   3598.  14811.  11625.   5314.   1910.   1055.    46678.
           1961   1494.   1339.   1125.    988.    855.    829.    946.  16288.  17685.   6609.   4550.   5627.    58335.
           1962   6540.   4460.   2780.   1950.   1650.   1950.  10370.  38940.  40110.  12780.   6800.   4170.   132500.
           1963   2896.   1412.   1148.    966.    795.    871.    776.  19855.   8705.   5157.   2569.   2908.    48058.
           1964   2795.   1686.   1424.   1345.   1190.   1142.   1004.  28399.  23544.   8876.   4913.   3291.    79609.
           1965   2430.   1700.   1510.   1350.   1090.   1210.   1420.  18400.  73500.  19540.  10510.   7260.   139920.

           AVE.   3329.   2397.   1935.   1635.   1339.   1424.   2990.  25045.  26360.   9233.   5600.   3916.    85203.

          Count     27      27      27      27      27      27      27      27      27      27      27      27        27
                        09299500 WHITEROCKS RIVER NEAR WHITEROCKS, UT                                                    PAGE  2

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1919   5060.   2965.   2152.   1845.   1666.   1968.   3219.  15745.   2364.   1466.   1543.   2557.    42550.
           1920   4019.   3342.   2460.   1537.   1726.   3025.   2247.  21784.  30902.   5484.   2763.   1785.    81074.
