

                        09272500 DUCHESNE TUNNEL NEAR KAMAS, UTAH                 Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1954     220.     490.     460.     430.     390.     430.    1830.   16180.    4950.    1650.     680.     560.    28270.
         1955     420.     460.     380.     400.     360.     400.     500.   11170.   13870.    2070.    1230.     800.    32060.
         1956     620.     630.     700.     700.     640.     550.    2160.   14910.    7260.    2390.     870.     460.    31890.
         1957     450.     420.     430.     430.     360.     470.     650.    6040.   10350.    7730.    1800.     670.    29800.
         1958     700.     672.     615.     615.     555.     571.    1186.    5255.    9494.    1757.     734.     574.    22728.
         1959     400.     410.     410.     410.     380.     430.    1230.    7920.   18910.    2970.     590.     680.    34740.
         1960    1520.    1150.     600.     530.     550.     710.    2740.   12080.   13350.    1260.      50.      60.    34600.
         1961     561.     617.     553.     375.     328.     427.     831.    9146.    2563.      61.      59.    2486.    18007.
         1962    2550.    1410.    1140.     950.     840.     840.    4810.   12950.   24470.    5030.    1090.     450.    56530.
         1963     610.     400.     330.     200.     340.     360.     620.   12720.   17010.    2370.     400.    1090.    36450.
         1964     770.     710.     500.     480.     370.     440.     550.   12440.   14760.    5630.    1030.     180.    37860.
         1965     340.     340.     430.     580.     530.     550.    1090.    8550.    8430.   14830.    3200.     110.    38980.
         1966      40.      40.      40.      40.      30.      40.     590.   15050.    6400.     710.      40.     410.    23430.
         1967     698.     614.     655.     562.     457.     510.     794.    9685.    5129.    6905.    1940.     723.    28672.
         1968     695.     494.     489.     444.     419.     498.     843.    5100.      64.    4020.    2444.      54.    15564.
         1969      52.      54.      55.      55.      50.      55.      54.      55.    5466.

         MEAN     665.     557.     487.     450.     412.     455.    1280.    9953.   10155.    3959.    1077.     620.    31305.

          PCT    2.13%    1.78%    1.55%    1.44%    1.32%    1.45%    4.09%   31.79%   32.44%   12.65%    3.44%    1.98%   100.00%

           SD     609.     344.     254.     227.     198.     199.    1163.    4350.    6499.    3759.     920.     594.     9881.

           CV     0.92     0.62     0.52     0.50     0.48     0.44     0.91     0.44     0.64     0.95     0.85     0.96      0.32

           FILE: .\09272500                                                                      
