

                        09275500 WEST FORK DUCHESNE RIVER NEAR HANNA, UT          Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1921                                                                                                       1799.
         1922    1561.    1254.    1329.    1361.    1261.    1123.
         1923    1140.    1040.    1230.    1230.    1110.    1230.    2050.   13680.   15470.    5480.    2470.    2150.    48280.
         1946    1150.    1100.     970.     960.     830.    1140.    5140.   11270.    5010.    1710.    1190.     890.    31360.
         1947    1030.     940.     850.     800.     780.    1090.    2360.   15360.    7630.    2940.    1650.    1080.    36510.
         1948    1050.     950.     960.     910.     810.     880.    1630.   10670.    5390.    1800.    1090.     820.    26960.
         1949    1010.     990.     930.     920.     750.     880.    3630.   13600.   11860.    3470.    1630.    1160.    40830.
         1950    1240.     910.     840.     740.     790.    1420.    3910.   13440.   16150.    4230.    1940.    1520.    47130.
         1951    1260.    1190.    1120.    1010.     780.     880.    2230.   10730.    8850.    2830.    1580.    1090.    33550.
         1952    1070.     870.     960.     860.     860.     860.    3520.   22490.   19960.    5000.    2540.    1760.    60750.
         1953    1450.    1140.    1070.    1060.     980.    1120.    1610.    4620.   11990.    3100.    1710.    1130.    30980.
         1954    1166.    1067.     928.     855.     833.     982.    2392.    7139.    2664.    1279.     902.     873.    21080.
         1955     820.     720.     740.     680.     560.     680.    1350.   10730.    6260.    2170.    1460.    1010.    27180.
         1956    1000.     890.     940.     840.     810.    1020.    2530.   13110.    6980.    2280.    1410.     850.    32660.
         1957     850.     790.     740.     690.     700.     830.    1290.    6610.   16370.    4040.    2010.    1300.    36220.
         1958    1420.    1200.    1150.    1080.     810.     840.    2050.   16000.    9930.    2430.    1430.    1240.    39580.
         1959    1190.    1002.     932.     829.     770.     752.    1589.    5627.    4223.    1404.     928.     827.    20073.
         1960     942.     843.     664.     659.     672.     986.    2208.    7462.    3568.    1244.     738.     744.    20730.
         1961     799.     803.     746.     660.     597.     774.    1301.    3911.    1460.     646.     584.     701.    12982.
         1962     810.     820.     710.     590.     600.     670.    4900.   15780.   14000.    3790.    1770.    1310.    45750.
         1963    1216.     984.     940.     772.     813.    1002.    1289.    8426.    6902.    1997.    1446.    1200.    26987.
         1964    1020.     920.     850.     840.     760.     760.    1290.   10340.   10060.    3350.    1640.    1240.    33070.
         1965    1070.     980.    1050.     860.     780.     800.    1920.   10920.   20760.    5640.    2780.    1810.    49370.
         1966    1710.    1400.    1230.     970.     750.    1250.    4260.   11700.    4340.    1970.    1340.    1200.    32120.
         1967    1080.     900.     880.     820.     720.     950.    1330.    8790.   17310.    5030.    2160.    1620.    41590.
         1968    1380.    1100.    1020.     790.     740.     930.    1500.    8060.   14200.    3320.    2070.    1480.    36590.
         1969    1380.     990.     960.     900.     690.     840.    3890.   22940.   10540.    3860.    2040.    1460.    50490.
         1970    1410.    1083.     922.    1075.     918.     962.    1250.    9683.    9376.    2547.    1420.    1160.    31806.
         1971    1220.    1050.     990.    1060.     880.    1150.    2770.   10070.   12360.    3250.    1620.    1290.    37710.
         1972    1350.    1160.    1010.    1020.     890.    1330.    2590.   13010.    7770.    2410.    1390.    1170.    35100.
         1973    1350.     980.     920.     790.     710.     940.    1650.   12870.   10600.    3690.    2130.    1630.    38260.
         1974    1430.    1280.    1200.    1140.     900.    1230.    1570.   14390.    8100.    2410.    1360.    1050.    36060.
         1975    1180.    1070.    1040.     920.     770.     970.    1240.    5280.   17830.    6350.    2300.    1530.    40480.
         1976    1490.    1110.    1260.     950.     710.     860.    1690.   10440.    5580.    1880.    1280.    1030.    28280.
         1977    1079.     874.     743.     692.     621.     803.    1668.    1902.    1545.     785.     695.     557.    11964.
         1978     720.     650.     650.     670.     630.     840.    1840.    7860.   12880.    2990.    1360.    1140.    32230.
         1979    1060.    1130.     980.     980.     890.     960.    1570.   10020.    8270.    2010.    1240.     890.    30000.
         1980     930.     920.     840.     720.     720.     800.    2890.   13810.   17850.    4700.    2110.    1700.    47990.
         1981    1484.    1178.    1146.    1158.    1027.    1174.    2450.    6307.    4973.    1684.    1105.    1252.    24938.
