

                        09279100 ROCK CREEK NEAR TALMAGE, UT                      Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1964    6020.    4830.    3800.    3190.    2590.    3000.    3810.   27370.   50090.   22130.    7270.    4070.   138170.
         1965    3740.    3660.    4040.    4050.    3050.    3160.    5460.   17060.   69720.   51100.   17320.    9950.   192310.
         1966    7450.    5500.    4810.    3590.    2680.    3940.    7070.   35290.   19930.    8450.    6260.    5730.   110700.
         1967    5540.    4480.    4410.    3960.    3230.    3690.    3810.   22050.   58760.   34810.    9980.    6160.   160880.
         1968    4740.    3330.    3350.    3180.    3090.    3230.    3700.   12900.   69690.   21060.   12820.    6610.   147700.
         1969    4870.    4620.    4580.    4120.    3760.    4100.    8050.   53780.   40420.   15520.    7000.    4850.   155670.
         1970    4590.    3730.    3100.    2750.    2560.    2880.    2900.   22620.   41460.   12940.    6160.    5850.   111540.
         1971    4140.    4170.    3670.    3710.    2670.    2820.    6190.   20790.   60140.   20980.    7010.    4810.   141100.
         1972    4760.    4230.    3840.    3220.    2700.    3600.    4170.   29380.   60420.   12640.    5490.    4230.   138680.
         1973    5860.    4820.    3900.    3180.    2580.    2930.    4180.   29540.   42450.   18460.    8940.    6660.   133500.
         1974    4650.    4150.    3320.    3030.    2290.    2870.    3680.   32040.   36100.   10270.    4870.    3170.   110440.
         1975    3840.    3480.    3230.    3200.    2890.    3250.    3160.   10640.   52340.   50580.   11440.    5730.   153780.
         1976    4880.    3760.    3340.    3240.    2900.    3390.    3980.   23350.   26820.    8740.    4720.    3610.    92730.
         1977    3380.    2580.    1990.    1600.    1630.    2150.    3250.    7380.   16880.    5510.    4170.    3320.    53840.
         1978    3320.    2910.    2940.    2940.    2550.    3080.    5050.   16010.   59460.   17630.    6030.    3610.   125530.
         1979    3200.    3050.    3070.    2990.    2550.    2810.    4260.   24880.   30350.   10350.    5790.    3360.    96660.
         1980    3050.    2710.    2960.    3200.    3030.    3630.    7240.   20470.   56860.   20400.    6660.    5280.   135490.
         1981    4820.    4180.    3860.    3220.    2920.    3010.    5930.   19010.   38560.    9830.    5880.    4960.   106180.
         1982    5380.    4410.    3930.    3630.    2930.    3460.    4810.   25180.   55560.   28430.   10300.    9150.   157170.
         1983   11440.    6910.    5480.    3640.    2820.    3890.    4430.   15150.   69570.   33650.   13310.    8970.   179260.
         1984    9310.    6290.    5900.    5000.    4090.    4470.    5090.   39020.   45510.   26350.   11600.    8920.   171550.
         1985    7700.    5330.    4600.    4170.    3320.    3850.    8610.   32570.   32240.   13050.    7010.    5580.   128030.
         1986    5270.    5320.    4510.    3800.    5370.    5880.    8640.   28180.   90520.   26430.    9870.    6440.   200230.
         1987    7200.    5510.    4010.    3200.    2800.    3470.    7310.   33540.   30790.   11630.    8460.    5040.   122960.
         1988    4140.    3720.    3120.    2420.    2320.    2330.    3180.   10590.    6300.   26240.    7960.    2860.    75180.
         1989    2632.    2612.    2610.    2499.    2208.    2870.    3235.    4028.    3586.    2914.    2900.    3021.    35115.
         1990    2340.    2170.    2200.    2190.    2110.    2670.    2990.    3070.   10830.    2950.    3530.    3110.    40160.
         1991    2287.    2283.    2156.    1995.    2091.    2547.    2450.    2991.    7135.    2940.    2830.    2547.    34252.
         1992    2700.    2507.    2638.    2924.    2700.    2737.    2575.    3275.    3033.    4253.    3338.    2463.    35143.
         1993    2560.    2470.    2580.    2780.    2250.    3120.    3150.   10220.   16350.    6140.    2930.    2590.    57140.
         1994    3033.    2666.    2731.    2936.    2767.    3180.    2874.    3423.    3780.    4973.    4199.    2975.    39537.

         MEAN    4801.    3948.    3570.    3211.    2821.    3291.    4685.   20510.   38892.   17463.    7292.    5020.   115504.

          PCT    4.16%    3.42%    3.09%    2.78%    2.44%    2.85%    4.06%   17.76%   33.67%   15.12%    6.31%    4.35%   100.00%

           SD    2096.    1229.     944.     690.     676.     710.    1834.   12254.   23468.   12726.    3476.    2101.    48910.

           CV     0.44     0.31     0.26     0.21     0.24     0.22     0.39     0.60     0.60     0.73     0.48     0.42      0.42

           FILE: .\09279100                                                                      
