

                        09282000 STRAWBERRY TUNNEL AT WEST PORTAL, NR THISTLE     Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1923    7870.     420.     430.     430.     390.     430.     420.     430.   11230.   25330.   15680.   16460.    79520.
         1924    2980.    1440.     430.     430.     400.     430.    3570.   25640.   19870.   24780.   20660.   11840.   112470.
         1925    3070.    1900.    1480.    1480.     790.     430.    4420.   13000.   14020.   18310.   16570.    7070.    82540.
         1932     980.     300.     310.     310.     290.     310.     300.    1880.   12340.   18970.   14060.    5840.    55890.
         1933    1640.     300.     310.     310.     280.     310.     300.     370.   14110.   17010.   10830.    5770.    51540.
         1934    1696.     238.     246.     246.     222.     246.    2661.    7694.    5113.    4564.    3118.    1928.    27972.
         1935     290.     240.     250.     250.     220.     250.     240.     250.   11240.   13610.    9610.    7060.    43510.
         1936     530.     240.     310.     310.     290.     310.     300.    5050.   14500.    8000.    8090.    5020.    42950.
         1937    3340.     300.     310.     310.     280.     310.     360.    2740.   11040.   10730.   13190.    7340.    50250.
         1938    2460.     300.     310.     310.     280.     310.     360.     700.   20400.   13380.   11480.    5570.    55860.
         1939    3460.     300.     310.     310.     280.     310.    2620.   13300.   12980.   18800.   12300.    5800.    70770.
         1940     670.     240.     250.     250.     230.     250.     270.    9650.   20200.   10620.    9050.    2100.    53780.
         1941    1540.     300.     250.     250.     220.     250.     240.    1740.   10460.   12950.    8880.    7840.    44920.
         1942    1200.     240.     250.     250.     220.     250.     240.     250.   15170.   16470.   11750.    6910.    53200.
         1943    2620.     240.     250.     250.     220.     250.    1370.    9010.    7050.   16960.   11740.    8190.    58150.
         1944    3050.     240.     250.     250.     230.     250.     270.     280.    7400.   21440.   15230.    8150.    57040.
         1945    2740.     240.     250.     250.     220.     250.     270.    1340.    9280.   20660.    5560.    8130.    49190.
         1946    2840.     270.     280.     280.     250.     280.     270.    7810.   20950.   17100.   10430.    8590.    69350.
         1947    1740.     300.     310.     310.     280.     310.     300.    5810.    4440.   21640.   14320.   10040.    59800.
         1948    3640.     270.     280.     280.     260.     280.     280.    6670.   14830.   20770.   13950.   10850.    72360.
         1949    1640.     240.     250.     250.     280.     340.     840.     950.   15850.   17350.   17060.    8230.    63280.
         1950    2910.     300.     310.     310.     280.     340.     360.    2290.   16610.   14530.   18660.   12260.    69160.
         1951     490.     270.     250.     250.     250.     310.     590.    1460.   16190.   21850.   15520.   10760.    68190.
         1952    2010.     300.     250.     250.     230.     250.     300.     370.    4980.   14630.   10960.   11270.    45800.
         1953    7700.    2220.     310.     310.     280.     310.    1610.    4200.   19400.   20170.   14520.    9970.    81000.
         1954    2470.     360.     370.     370.     330.     370.    1970.   12560.   19810.   17550.   17990.    4760.    78910.
         1955    2470.     300.     310.     310.     280.     340.     360.    2380.   19190.   23550.   14270.    7700.    71460.
         1956    1800.     300.     310.     310.     290.     340.     540.    5140.   21030.   18280.   17330.    8400.    74070.
         1957     970.     300.     310.     310.     280.     340.     360.     370.    5320.   22040.   16740.   10630.    57970.
         1958    2930.     300.     310.     310.     280.     340.     360.     840.   17470.   20160.   17920.    5630.    66850.
         1959    2190.     300.     310.     310.     280.     340.     530.   12180.   21560.   14350.   11290.    5120.    68760.
         1960    1490.     300.     310.     310.     290.     340.    1130.   10410.   23890.   19500.   15890.    4410.    78270.
         1961     890.     300.     310.     310.     280.     310.     330.   13520.   18950.   11740.    5840.    2440.    55220.
         1962     310.     300.     310.     310.     280.     340.     330.     370.   11430.   13030.   14680.    4540.    46230.
         1963    1360.     300.     310.     310.     280.     340.     330.    4130.    5750.   15470.   12060.    3570.    44210.
         1964    2230.     300.     310.     310.     290.     370.     360.    1100.    3270.   25840.   16200.    9280.    59860.
         1965    1200.     300.     310.     310.     280.     340.     360.     370.    6170.   14370.   11760.    6080.    41850.
         1966    1370.     300.     310.     310.     280.     320.    1250.    9140.   22180.   16130.   15900.    5680.    73170.
         1967    1730.     300.     310.     310.     280.     340.     330.     310.    1110.   22480.   20200.   12620.    60320.
         1968     310.     300.     310.     310.     290.     340.     330.     310.   10840.   21150.   11280.   10480.    56250.

         MEAN    2171.     405.     329.     329.     287.     317.     791.    4900.   13441.   17407.   13314.    7608.    61297.

          PCT    3.54%    0.66%    0.54%    0.54%    0.47%    0.52%    1.29%    7.99%   21.93%   28.40%   21.72%   12.41%   100.00%

           SD    1609.     428.     191.     191.      90.      49.     971.    5585.    6147.    4739.    3948.    3133.    15270.

           CV     0.74     1.06     0.58     0.58     0.32     0.16     1.23     1.14     0.46     0.27     0.30     0.41      0.25

           FILE: .\09282000                                                                      
