

                        09288000 CURRANT CREEK NEAR FRUITLAND, UT                 Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1935                                902.     748.     940.    2003.    6641.    6472.    1323.     891.     657.
         1936     780.     830.     810.     860.     800.     920.    5270.   14790.    5220.     580.     760.    1050.    32670.
         1937    1360.    1160.    1090.     890.     890.    1220.    4050.   14240.    6950.    3110.    1680.    1460.    38100.
         1938    1580.    1620.    1580.    1340.    1140.    1660.    5250.   12280.    7140.    2470.    1440.    1420.    38920.
         1939    2011.    1646.    1545.    1494.    1317.    2846.    4903.    6220.    2844.    1454.     873.    1031.    28184.
         1940    1357.    1204.    1113.    1097.    1166.    1577.    2535.    3546.    1355.     692.     494.     930.    17066.
         1941    1063.    1020.     936.    1018.    1016.    1404.    2303.    9600.    4528.    2091.    1202.    1061.    27242.
         1942    1609.    1549.    1426.    1196.    1214.    1857.    5665.    6690.    3703.    1650.    1113.    1043.    28715.
         1943    1300.    1270.    1380.    1420.    1460.    2100.    9610.   10050.    5960.    2500.    1800.    1360.    40210.
         1944    1820.    1650.    1530.    1520.    1480.    1870.    3240.   14140.    8040.    3320.    1870.    1540.    42020.
         1945    1741.    1799.    1966.    1956.    1843.    2233.    2965.    9763.    5821.    2533.    1918.    1648.    36186.
         1946    1781.    1813.    1678.    1660.    1682.    2225.    7962.    7049.    2936.    1575.    1248.    1053.    32662.
         1947    1560.    1690.    1770.    1690.    1510.    2190.    4510.   11590.    4230.    2170.    1650.    1520.    36080.
         1948    1696.    1771.    1664.    1394.    1428.    1734.    3289.    7759.    2989.    1452.     966.     707.    26849.
         1949    1150.    1270.    1210.    1080.    1180.    1770.    7460.   13370.    6100.    2530.    1770.    1540.    40430.
         1950    1910.    2030.    1910.    2070.    1730.    2220.    8110.   15710.    9480.    3410.    2260.    1980.    52820.
         1951    2116.    2144.    2097.    2170.    2200.    2275.    4231.    9265.    4659.    2249.    1868.    1482.    36756.
         1952    1800.    1720.    1870.    1800.    1830.    1910.   10640.   36870.   15050.    6050.    4530.    3410.    87480.
         1953    3076.    2717.    2614.    2628.    2257.    2737.    3535.    5589.    5074.    2329.    1989.    1446.    35991.
         1954    1769.    1878.    1771.    1779.    1682.    2083.    4383.    4417.    2112.    1448.    1160.    1172.    25654.
         1955    1343.    1553.    1494.    1589.    1412.    1859.    2850.    7886.    3344.    1507.    1254.     964.    27055.
         1956    1127.    1313.    1781.    1589.    1416.    2031.    5044.    9572.    3737.    1684.    1192.    1059.    31545.
         1957    1293.    1359.    1444.    1458.    1412.    1771.    2533.    7989.    7684.    2251.    1642.    1339.    32175.
         1958    1700.    1680.    1850.    1650.    1620.    1720.    3570.   14210.    5190.    2010.    1340.    1210.    37750.
         1959    1444.    1392.    1371.    1432.    1404.    1573.    2525.    3172.    1501.     892.     712.     897.    18315.
         1960    1152.    1121.     900.    1051.    1016.    1638.    2967.    3979.    1632.     871.     483.     706.    17516.
         1961    1127.    1117.    1012.     928.     992.    1244.    1757.    1650.     682.     423.     422.     889.    12243.
         1962     860.     920.     850.     850.     910.    1050.    8050.   12890.    4900.    1810.     920.     770.    34780.
         1963    1063.    1117.    1139.    1111.    1442.    1539.    2342.    6851.    3406.    1261.    1222.    1055.    23548.
         1964    1039.    1293.     869.     801.     893.    1125.    2688.    9586.    4790.    1738.     897.     814.    26533.
         1965     960.     900.    1090.    1230.    1190.    1830.    3440.   10310.    7590.    3350.    2480.    2140.    36510.
         1966    2003.    2065.    1880.    1371.    1426.    2138.    6315.    6012.    2402.    1523.    1035.    1135.    29305.
         1967    1390.    1380.    1150.    1220.    1050.    1370.    2570.   12270.   11770.    4070.    2050.    1540.    41830.
         1968    1726.    1771.    1662.    1799.    1773.    2132.    2866.    9029.    6401.    2221.    2114.    1511.    35005.
         1969    1660.    1620.    1750.    1620.    1460.    1890.    8640.   19230.    6340.    3160.    2230.    1850.    51450.
         1970    2346.    2053.    1607.    1396.    1581.    1859.    2410.    9170.    4629.    2093.    1422.    1398.    31964.
         1971    1580.    1610.    1190.    1490.    1330.    1850.    6840.   10460.    5540.    1960.    1560.    1290.    36700.
         1972    1626.    1414.    1109.    1178.    1152.    2473.    4947.    7178.    3314.    1591.    1194.    1127.    28303.
         1973    1720.    1420.    1260.    1230.    1190.    1460.    3090.   13080.    4230.    2040.    1260.    1480.    33460.
         1974    1539.    1593.    1436.    1375.    1275.    1912.    2531.    9939.    2670.    1307.     908.     819.    27304.
         1975    1360.    1450.    1200.    1110.    1020.    1710.    1810.    7810.   10420.    3350.    1350.    1210.    33800.
         1976    1525.    1692.    1767.    1341.    1527.    1914.    3114.    7180.    2309.    1174.     899.     910.    25352.
         1977    1000.    1023.     932.     958.     952.    1240.    1785.    1432.     889.     708.     538.     552.    12009.
         1978     970.    1083.     984.    1029.     966.    1678.    3949.    8924.    4681.    1521.     879.    1053.    27717.
         1979    1095.    1269.    1043.    1073.    1214.    1613.    3368.    8299.    3697.    1501.    1140.    1075.    26387.
         1980    1390.    1480.    1610.    1590.    1640.    1790.    5870.   18630.   10910.    3230.    2320.    2300.    52760.
         1981    2499.    2283.    2309.    2156.    2047.    2162.    3191.    3535.    2386.    1448.    1289.    1365.    26670.
         1982    1890.    1600.    1650.    1720.    1610.    2000.    5710.   22650.    7790.    3070.    1970.    2180.    53840.
         1983    2010.    2020.    2610.    2560.    2130.    2950.    4180.   18480.   22220.    7530.    5080.    4260.    76030.
         1984    4070.    3760.    3730.    3550.    3210.    3230.    5670.   24100.   14830.    6380.    4900.    3510.    80940.
         1985    2547.    2471.    3223.    2961.    2664.    2791.    6355.    4610.    3862.    3769.    2281.    2182.    39716.
         1986    2382.    2402.    2424.    2313.    2525.    3731.    5014.    7182.    5447.    3461.    2741.    2721.    42343.
         1987    2904.    2616.    2394.    2354.    2291.    2618.    3231.    3455.    2940.    2283.    1791.    1533.    30410.
         1988    1730.    1884.    1924.    1991.    1817.    1944.    2584.    2682.    2408.    1775.    1511.    1466.    23716.
         1989    1579.    1583.    1509.    1460.    1351.    1855.    2499.    2610.    2285.    2009.    2218.    2261.    23219.
         1990    1587.    1547.    1619.    1652.    1648.    2168.    2519.    2380.    1995.    1934.    1862.    1978.    22889.
         1991    1609.    1482.    1410.    1718.    1710.    1809.    2065.    2089.    2063.    1708.    1805.    1866.    21334.
         1992    1636.    1603.    1398.    1424.    1430.    1654.    1880.    1692.    1511.    1585.    1519.    1597.    18929.
         1993    1654.    1565.    1628.    1682.    1404.    1991.    2323.    3909.    2769.    2158.    2206.    2116.    25405.
         1994    1914.    1654.    1700.    1722.    1533.    1904.    2327.    2362.    1835.    1680.    1813.    1801.    22245.
         1995    1724.    1684.    1630.    1617.    1718.    2087.    2672.    3900.    4270.    2840.    2267.    2045.    28454.
         1996    2095.    1968.    1878.    1942.    1839.    2339.    4451.    4883.    2941.    2569.    2370.    2315.    31590.
         1997    2202.    2267.    2051.    2003.    1795.    2533.    3798.    5907.    4427.    3663.    4122.    3620.    38388.
         1998    3250.    3060.    2850.    2780.    2360.    2810.    3910.    6860.   12850.    5220.    4270.    3810.    54030.
         1999    3279.    3112.    3265.    3068.    2672.    3112.    3213.    6180.    8239.    4169.    3062.    2888.    46259.
         2000    2386.    2233.    2184.    2245.    2049.    2273.    2785.    2745.    2390.    2340.    2368.    2313.    28311.

         MEAN    1730.    1696.    1657.    1611.    1540.    1972.    4093.    8917.    5224.    2360.    1763.    1613.    34309.

                        09288000 CURRANT CREEK NEAR FRUITLAND, UT                 Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN


          PCT    5.04%    4.94%    4.83%    4.70%    4.49%    5.75%   11.93%   25.99%   15.23%    6.88%    5.14%    4.70%   100.00%

           SD     622.     550.     602.     573.     493.     543.    2036.    6187.    3829.    1336.    1005.     800.    14126.

           CV     0.36     0.32     0.36     0.36     0.32     0.28     0.50     0.69     0.73     0.57     0.57     0.50      0.41

           FILE: .\09288000                                                                      
