

                        09289500 LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME,  Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1933                                                                   4010.   17150.    6550.    2640.    1900.
         1934    1720.    1430.    1350.    1230.    1110.    1240.    5320.   10170.    3980.    1910.    2400.    1580.    33440.
         1942                                                                                              4356.    3148.
         1943    2930.    2340.    1990.    1720.    1480.    1700.    6200.   21030.   23710.   11180.    6540.    2900.    83720.
         1944    2530.    2160.    1840.    1540.    1440.    1660.    1790.   15960.   40160.   19840.    5260.    2730.    96910.
         1945    2840.    2240.    1840.    1540.    1390.    1480.    1790.   13890.   24120.   13830.    7670.    4100.    76730.
         1946    2580.    2080.    1720.    1600.    1330.    1410.    5060.   14180.   19930.    5600.    3280.    2560.    61330.
         1947    2590.    2190.    2030.    1720.    1440.    1660.    2750.   25560.   25020.   13780.    6830.    3830.    89400.
         1948    2680.    2170.    1780.    1540.    1320.    1410.    1620.   19360.   14840.    4420.    3050.    2180.    56370.
         1949    1990.    1790.    1660.    1540.    1280.    1410.    3310.   15880.   42890.   12730.    5190.    2690.    92360.
         1950    2710.    2380.    1860.    1750.    1450.    1540.    3410.   12950.   39010.   12620.    5120.    3290.    88090.
         1951    2310.    1930.    1690.    1570.    1330.    1410.    2140.   13920.   31300.   12000.    6310.    3100.    79010.
         1952    2880.    2030.    1840.    1540.    1440.    1350.    3000.   22000.   43240.   16540.    8540.    4600.   109000.
         1953    2880.    1630.    1360.    1240.     940.    1040.    1420.    3530.   31500.   10110.    5480.    2400.    63530.
         1954    2100.    1940.    1760.    1600.    1390.    1600.    2940.   19020.    9100.    5650.    3050.    2570.    52720.
         1955    2200.    1700.    1510.    1410.    1110.    1230.    1470.   13580.   18770.    5540.    4170.    2610.    55300.
         1964    3700.    2560.    2200.    1660.    1150.    1430.    1560.   17900.   30360.   15570.    5210.    2920.    86220.
         1965    1990.    1820.    1670.    1470.    1060.    1110.    2490.    7850.   40540.   36770.   13060.    8130.   117960.
         1966    4370.    3210.    2280.    1630.    1290.    1290.    3420.   20810.   14970.    7280.    5010.    4610.    70170.
         1967    3610.    2320.    2070.    1900.    1540.    1490.    1710.   15480.   39860.   20730.    8060.    4020.   102790.
         1968    3210.    2430.    2020.    1580.    1310.    1370.    1650.    7180.   54570.   16140.    9880.    4430.   105770.
         1969    3080.    2320.    2100.    1990.    1530.    1870.    5330.   35550.   18410.    8120.    5310.    3610.    89220.
         1970    2600.    1960.    1690.    1500.    1390.    1450.    1450.   15430.   26170.    9470.    4400.    5530.    73040.
         1971    2800.    1990.    1760.    1580.    1290.    1310.    3330.   10920.   45720.   15250.    5660.    3310.    94920.
         1972    2480.    2090.    2000.    1880.    1670.    2190.    2990.   17700.   38520.    7760.    3810.    3040.    86130.
         1973    3950.    3000.    2480.    2160.    1780.    1790.    1790.   16810.   25690.   13740.    8060.    6130.    87380.
         1974    3210.    2310.    1840.    1600.    1280.    1450.    1760.   20750.   20030.    6200.    3320.    2420.    66170.
         1975    2320.    1870.    1660.    1540.    1310.    1380.    1290.    4830.   35300.   35620.    7870.    3140.    98130.
         1976    2560.    2040.    1840.    1720.    1490.    1460.    1550.   16230.   19280.    7250.    3850.    3020.    62290.
         1977    2420.    1630.    1070.     930.     830.     920.    1720.    4050.   20190.    4320.    3410.    2240.    43730.
         1978    1800.    1360.    1250.    1120.     890.    1080.    2080.    6390.   39850.   13100.    3940.    2180.    75040.
         1979    1770.    1570.    1310.    1220.    1110.    1190.    1730.   15590.   21150.    7490.    4540.    2560.    61230.
         1980    2190.    1360.    1160.    1230.    1150.    1220.    2280.    8730.   45020.   13630.    4590.    3190.    85750.
         1981    2240.    2040.    2140.    1880.    1560.    1540.    3170.   11790.   25550.    5630.    4090.    3080.    64710.
         1982    3030.    2240.    1900.    1530.    1320.    1640.    2660.   14710.   34750.   16830.    7170.    7290.    95070.
         1983    8750.    4760.    3770.    2470.    1870.    1720.    1490.    7730.   49140.   24920.    9640.    5980.   122240.
         1984    6570.    3870.    3110.    2430.    1780.    1550.    1980.   24040.   27600.   18240.   11050.    6560.   108780.
         1985    4780.    3060.    2030.    1740.    1380.    1520.    4010.   19610.   22000.    8060.    4130.    3780.    76100.
         1986    3650.    2940.    2020.    1790.    1610.    2130.    3320.   18830.   50650.   15710.    6700.    3920.   113270.
         1987    3590.    2600.    1930.    1510.    1320.    1370.    3640.   22380.   25210.    8120.    7150.    3580.    82400.
         1988    2810.    2910.    2510.    2050.    2270.    2860.    3370.   15920.   12820.    4010.    2860.    1910.    56300.
         1989    1620.    1530.    1370.    1250.     970.    1420.    3180.   12410.   17240.    6220.    3480.    2820.    53510.
         1990    2640.    1890.    1660.    1350.    1070.    1460.    2530.    9090.   37590.    9270.    3040.    3480.    75070.
         1991    2660.    2100.    1560.    1420.    1130.    1160.    1420.    6750.   31680.   10470.    7440.    7320.    75110.
         1992    3330.    2230.    1480.    1580.    1600.    1630.    2710.   19700.   11100.    5280.    3340.    2140.    56120.
         1993    1850.    1380.     920.     910.     820.     960.    1110.   32800.   54910.   16930.    6790.    2770.   122150.
