

                        09292500 YELLOWSTONE RIVER NEAR ALTONAH, UT               Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1945    5720.    5070.    3370.    2770.    2330.    2790.    3070.   13860.   23830.   17140.   11520.    7080.    98550.
         1946    5300.    3990.    3380.    3140.    2500.    2710.    6780.   14720.   15230.    7520.    6320.    4360.    75950.
         1947    4820.    4220.    3890.    3440.    2930.    3260.    4210.   28870.   28330.   17110.   10370.    7620.   119070.
         1948    5810.    4500.    3880.    3320.    2760.    3010.    3220.   16390.   16670.    6910.    6630.    4250.    77350.
         1949    3990.    3640.    3440.    3200.    2780.    3000.    4750.   17290.   42660.   17000.    8470.    6610.   116830.
         1950    5810.    4650.    3970.    3470.    2890.    3100.    5600.   16820.   36750.   14400.    6560.    6370.   110390.
         1951    4400.    3550.    3500.    3200.    2840.    3220.    2980.   13040.   27170.   12140.   11410.    5940.    93390.
         1952    5270.    4170.    4000.    3380.    3160.    3070.    5590.   27270.   44680.   22780.   15360.   10530.   149260.
         1953    6610.    4680.    4160.    3690.    2910.    3120.    3310.    4440.   25630.   10640.    8350.    6020.    83560.
         1954    4380.    3840.    3490.    3060.    2510.    2800.    3870.   18950.    9580.    7610.    7750.    5160.    73000.
         1955    4320.    3520.    3190.    2770.    2220.    2460.    2970.   14390.   20040.    7520.    8740.    5900.    78040.
         1956    4460.    3570.    3350.    3130.    2590.    2820.    3820.   21590.   29670.    9140.    6200.    4600.    94940.
         1957    3920.    3480.    3350.    3070.    2500.    2720.    2730.    5220.   36650.   19210.   10780.    9160.   102790.
         1958    6260.    5030.    4020.    3170.    2780.    2950.    3470.   23410.   28590.    9100.    6380.    7020.   102180.
         1959    5630.    3460.    3030.    2770.    2500.    2590.    2980.    6830.   22250.    8670.    8560.    5470.    74740.
         1960    5220.    3910.    3130.    2800.    2570.    2970.    3810.   13660.   17490.    7150.    5190.    4580.    72480.
         1961    4310.    3410.    2930.    2510.    2220.    2460.    2770.    9490.    9720.    6240.    5840.   10870.    62770.
         1962    8900.    5300.    3930.    3120.    2750.    2810.    7150.   17650.   41290.   18620.    8670.    6300.   126490.
         1963    5310.    3750.    3120.    2360.    2340.    2460.    2530.   16890.   25420.   11200.    8240.    9030.    92650.
         1964    6050.    4470.    3220.    2840.    2360.    2690.    3090.   19010.   32700.   18480.    9220.    6320.   110450.
         1965    4390.    3230.    3220.    2870.    2520.    2690.    3280.    7970.   44090.   45730.   22490.   13020.   155500.
         1966    8150.    5630.    4400.    3030.    2520.    3020.    5510.   22710.   17270.   11350.    9610.    8520.   101720.
         1967    6600.    4700.    4220.    3850.    3130.    3080.    3210.   16300.   36590.   27590.   12250.    7530.   129050.
         1968    5600.    4160.    3760.    3390.    3040.    3100.    3410.    7670.   52510.   18630.   14520.    7940.   127730.
         1969    6400.    4460.    4420.    3740.    2770.    3450.    7590.   36840.   26630.   12230.    9060.    7190.   124780.
         1970    5740.    4250.    3380.    2940.    2590.    2690.    2440.   12900.   23560.   11830.    8050.    8610.    88980.
         1971    5180.    3720.    3610.    3160.    2640.    2890.    3690.   10120.   40250.   16580.    9650.    6340.   107830.
         1972    5200.    4470.    3960.    3420.    2710.    3680.    3580.   13460.   30570.    9240.    7280.    5090.    92660.
         1973    5950.    4630.    3960.    3280.    2720.    2780.    2950.   21070.   33550.   19130.   12480.    9440.   121940.
         1974    6040.    4670.    3880.    3360.    2680.    3340.    4370.   18670.   12550.    8790.    5550.    3680.    77580.
         1975    3880.    3260.    3040.    2860.    2420.    2530.    2490.    6360.   37920.   36950.   10830.    6540.   119080.
         1976    4580.    3760.    3540.    3070.    2590.    2770.    2910.   15100.   25000.    8890.    6490.    5270.    83970.
         1977    4150.    2960.    2510.    2310.    1660.    1910.    2470.    4430.   14850.    7670.    5960.    4110.    54990.
         1978    3650.    2960.    2690.    2030.    2130.    2780.    3420.    8210.   31700.   11350.    6520.    4450.    81890.
         1979    3560.    3060.    2370.    1630.    1750.    2260.    2880.   14500.   22150.    9080.    8160.    4280.    75680.
         1980    3590.    3000.    2680.    2350.    2320.    2490.    3610.   10370.   44000.   15780.    7630.    6150.   103970.
         1981    4610.    3480.    2860.    2630.    2470.    2680.    3140.   10580.   24920.    7790.    6430.    5420.    77010.
         1982    5220.    4190.    3420.    2440.    2090.    2650.    3410.   14560.   37270.   19090.   10000.   11890.   116230.
         1983   13100.    7230.    5880.    4330.    3470.    3580.    3420.   10350.   60150.   31150.   16160.   11260.   170080.
         1984   10670.    6730.    5390.    4430.    3500.    3410.    3880.   23410.   23210.   17110.   13600.   10020.   125360.
         1985    7670.    5470.    4940.    4140.    3180.    3300.    5510.   18490.   22410.   12560.    7700.    6240.   101610.
         1986    5530.    5220.    4250.    3640.    3240.    4850.    5540.   19940.   59080.   20910.   12050.    9040.   153290.
         1987    6760.    5480.    4240.    3480.    3070.    3350.    4410.   28600.   32810.   12520.   11290.    7430.   123440.
         1988    5400.    4540.    3890.    3560.    3250.    3280.    3470.   11130.   11670.    7570.    5140.    3840.    66740.
         1989    3360.    2800.    2540.    2280.    2150.    2690.    3480.    9700.   12810.    8690.    6190.    4470.    61160.
         1990    3830.    2610.    2410.    2280.    2140.    2450.    3320.    8570.   32090.   11560.    8070.    5420.    84750.
         1991    4540.    3400.    3820.    3260.    2750.    2690.    2630.    6870.   33130.   14100.    9890.   10290.    97370.
         1992    5650.    3980.    3510.    3470.    3300.    3080.    3670.   14210.   10100.    6660.    4660.    3600.    65890.
         1993    3260.    2610.    2210.    2350.    2570.    3230.    2850.   18020.   27600.   14020.   10570.    5600.    94890.
         1994    4610.    3720.    3240.    2560.    2580.    2800.    3530.   12940.   10500.    6500.    5580.    4920.    63480.
         1995    6000.    4130.    3810.    3350.    2940.    3430.    3640.    6500.   50810.   38810.   14090.    8330.   145840.
         1996    5950.    4660.    3830.    3380.    2890.    3030.    3330.   14510.   26560.    9790.    5840.    5050.    88820.
         1997    4390.    3630.    3010.    2670.    2640.    2830.    3270.   20880.   38870.   11300.   10760.   14040.   118290.
         1998    9040.    5790.    4870.    4030.    2930.    3080.    3370.   10920.   38250.   28860.   13000.   11020.   135160.
         1999    7540.    5530.    4280.    3910.    3300.    3330.    3310.   14040.   51660.   17270.   12350.   12360.   138880.
         2000    6220.    4500.    3700.    3230.    3180.    3400.    4090.   15740.   10480.    6600.    5000.    6030.    72170.

         MEAN    5580.    4193.    3609.    3106.    2683.    2957.    3746.   14936.   29320.   14683.    9205.    7100.   101119.

          PCT    5.52%    4.15%    3.57%    3.07%    2.65%    2.92%    3.70%   14.77%   29.00%   14.52%    9.10%    7.02%   100.00%

           SD    1795.     966.     722.     571.     398.     435.    1146.    6635.   12780.    8528.    3389.    2592.    27212.

           CV     0.32     0.23     0.20     0.18     0.15     0.15     0.31     0.44     0.44     0.58     0.37     0.37      0.27

           FILE: .\09292500                                                                      
