

                        09298000 FARM CREEK NEAR WHITEROCKS, UTAH                 Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1949                                                                                               217.     219.
         1950     237.     219.     212.     205.     175.     209.     860.    3019.    1056.     380.     240.     227.     7039.
         1951     265.     264.     265.     258.     217.     231.     227.    1266.     708.     282.     204.     191.     4378.
         1952     208.     190.     193.     188.     173.     209.     393.    3511.    1106.     364.     281.     249.     7065.
         1953     247.     207.     212.     219.     180.     188.     193.     402.     487.     235.     209.     180.     2959.
         1954     197.     192.     194.     174.     162.     202.     244.    1060.     340.     221.     188.     165.     3339.
         1955     182.     175.     183.     179.     150.     174.     204.     911.     372.     214.     192.     178.     3114.
         1956     180.     174.     171.     168.     152.     165.     183.    1145.     375.     195.     164.     152.     3224.
         1957     179.     166.     163.     160.     148.     172.     181.     271.    1808.     347.     233.     214.     4042.
         1958     204.     202.     190.     172.     159.     168.     229.    3222.     826.     298.     207.     192.     6069.
         1959     206.     196.     194.     173.     151.     171.     184.     322.     235.     183.     189.     171.     2375.
         1960     193.     159.     162.     166.     160.     185.     206.     600.     303.     197.     151.     146.     2628.
         1961     158.     150.     154.     138.     117.     144.     144.     277.     201.     156.     130.     135.     1904.
         1962     153.     160.     157.     141.     121.     146.     663.    2422.    1154.     355.     230.     204.     5906.
         1963     207.     189.     184.     181.     161.     174.     170.     738.     433.     213.     192.     197.     3039.
         1964     201.     191.     197.     187.     154.     143.     156.    1070.     810.     288.     196.     172.     3765.
         1965     178.     166.     165.     159.     134.     140.     163.     932.    2700.     624.     314.     238.     5913.
         1966     230.     206.     180.     157.     140.     164.     350.    1585.     458.     241.     191.     184.     4086.
         1967     197.     179.     171.     160.     138.     154.     176.    1770.    2815.     622.     313.     227.     6922.
         1968     209.     178.     181.     180.     167.     172.     188.     958.    3217.     495.     331.     237.     6513.
         1969     246.     231.     210.     201.     162.     179.     382.    3423.    1279.     487.     264.     237.     7301.
         1970     233.     211.     208.     207.     172.     184.     166.     743.     564.     252.     203.     187.     3330.
         1971     189.     181.     185.     184.     164.     173.     170.     986.    1057.     242.     172.     152.     3855.
         1972     173.     166.     161.     154.     135.     168.     189.    1102.     548.     217.     178.     160.     3351.
         1973     191.     195.     187.     166.     130.     158.     171.    3397.    1195.     379.     275.     216.     6660.
         1974     206.     198.     220.     201.     170.     189.     167.     400.     212.     185.     174.     160.     2482.
         1975     170.     113.     116.     106.      83.      98.      95.     337.    2922.     800.     262.     212.     5314.
         1976     205.     179.     184.     184.     161.     172.     182.    1390.     839.     284.     198.     186.     4164.
         1977     176.     167.     161.     154.     137.     141.     145.     165.     180.     159.     151.     148.     1884.
         1978     154.     149.     154.     154.     132.     147.     158.     746.    1147.     269.     194.     161.     3565.
         1979     166.     156.     152.     141.     123.     141.     180.    1355.     683.     229.     197.     165.     3688.
         1980     167.     148.     144.     143.     132.     142.     193.    1931.    3259.     504.     251.     225.     7239.
         1981     225.     214.     207.     195.     182.     201.     269.    1335.     628.     265.     211.     193.     4125.
         1982

         MEAN     198.     183.     182.     174.     151.     169.     237.    1337.    1060.     318.     215.     190.     4414.

          PCT    4.48%    4.16%    4.12%    3.93%    3.43%    3.83%    5.37%   30.30%   24.01%    7.21%    4.88%    4.31%   100.00%

           SD      28.      29.      28.      28.      25.      26.     154.    1006.     925.     153.      49.      31.     1711.

           CV     0.14     0.16     0.15     0.16     0.16     0.16     0.65     0.75     0.87     0.48     0.23     0.16      0.39

           FILE: .\09298000                                                                      
