

                                    09330230 FREMONT RIVER NEAR CAINVILLE, UTAH               Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1967                                                 4673.    2120.    2817.    3306.    2380.    2672.    3374.
         1968    4013.    4762.    5389.    5808.    6018.    5179.    3233.    2640.    2182.    2444.    4548.    2775.    48991.
         1969    3269.    4211.    4102.    5808.    4810.    5835.    3715.    3463.    2577.    2112.    3461.    3217.    46580.
         1970    3959.    4740.    5129.    5536.    5330.    5123.    3679.    3669.    2005.    2828.    3100.    2918.    48016.
         1971    3414.    4433.    4863.    6061.    5131.    5847.    3701.    2083.    1658.    2991.    9969.    4114.    54265.
         1972    3455.    5371.    5641.    5911.    5950.    4990.    3523.    1791.    2374.    2660.    1884.    2759.    46309.
         1973    4860.    4910.    4990.    4440.    4630.    5350.   12130.   13100.    3350.    2250.    2950.    2110.    65070.
         1974    3358.    5292.    6161.    5738.    5080.    5843.    4015.    1636.    1753.    5581.    2059.    2079.    48595.
         1975    3043.    5506.    4401.    3699.    4832.    6095.    4776.    6887.    3491.    2779.    1882.    2963.    50354.
         1976    3552.    5070.    5820.    5524.    5605.    5873.    3124.    2904.    1946.    1757.    1716.    1589.    44480.
         1977    3471.    4134.    5544.    5568.    5197.    5927.    4340.    1678.    1666.    4074.    3624.    4949.    50172.
         1978    4159.    4284.    5171.    5250.    4909.    5292.    3505.    2501.    1347.    1321.    1476.    1418.    40633.
         1979    2350.    5663.    4471.    4403.    4584.    6807.    4856.    3267.    1607.    2452.    2243.    1761.    44464.
         1980    2335.    4122.    5175.    5488.    6456.    6869.    4358.    2559.    1628.    1555.    2305.    6298.    49148.
         1981    3481.    2959.    5113.    5193.    4677.    4873.    3297.    1968.    1265.    2561.    2565.    4627.    42579.
         1982    2926.    3489.    5250.    5137.    4780.    4980.    3963.    3576.    1620.    2337.    6871.    3178.    48107.
         1983    3640.    4395.    4211.    5942.    4965.    6430.    6000.    5274.    9245.    4366.    7541.    5151.    67160.
         1984    7057.    6131.    6155.    6958.    7293.    7962.    7277.    9529.    7261.    6071.    7351.    6621.    85666.
         1985    7520.    7920.    8070.    8360.    7920.   10480.   18210.    7790.    2680.    9520.    3120.    3690.    95280.
         1986    5167.    6202.    8235.    6696.    6417.    7041.    8811.    4197.    2315.    2210.    6361.    4709.    68361.
         1987    6280.    7450.    6310.    6170.    6180.    8790.   19880.    6860.    4190.    3400.    5000.    4310.    84820.
         1988    5359.    5970.    5155.    5381.    5792.    7914.    8773.    4905.    2563.    2208.    2975.    3205.    60200.
         1989    4623.    5183.    5363.    6034.    6202.    6611.    4044.    2241.    1726.    1900.    2543.    2176.    48646.
         1990    4104.    5589.    5927.    5837.    5262.    5712.    3447.    2543.    1734.    2227.    2023.    2936.    47341.
         1991    4510.    5280.    4996.    5121.    4752.    5498.    3310.    2670.    3080.    1757.    4207.    4883.    50064.
         1992    3675.    4822.    4262.    4403.    5340.    6270.    4022.    3695.    3144.    2965.    2696.    1952.    47246.
         1993   24490.    6570.            77590.

         MEAN    4926.    5171.    5436.    8387.    5524.    6241.    5850.    4086.    2758.    3027.    3736.    3452.    55302.

          PCT    8.91%    9.35%    9.83%   15.17%    9.99%   11.29%   10.58%    7.39%    4.99%    5.47%    6.76%    6.24%   100.00%

           SD    4192.    1118.    1018.   14144.     860.    1340.    4474.    2736.    1805.    1743.    2179.    1407.    14535.

           CV     0.85     0.22     0.19     1.69     0.16     0.21     0.76     0.67     0.65     0.58     0.58     0.41      0.26

           FILE: .\09330230                                                                      
