
              INPUT DATA                                                                          20111123   PAGE    1


          CORRELATED FILE o:\streamfl\month\09331850.mon                                                  

          CORRELATION BEGINNING YEAR 1862 ENDING YEAR 2011
          BEGINNING PRINT YEAR       1862 ENDING YEAR 2011

          STATION   FILE                                 LOG  MONTH
          NUMBER                                        TRANS INDEX
               1   o:\streamfl\month\09330500.mon           F      0                                   
              09331850 CONVULSION CANYON NEAR EMERY, UTAH                                         20111123   PAGE    2


           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

          1981     76.     78.      0.      0.      0.      0.      0.     84.     80.     67.     72.     66.      523.           
          1982     69.     32.      0.      0.      0.      0.     20.     67.     75.     74.     75.     27.      439.           
          1983     17.     12.      0.      0.      0.      0.      0.      0.     40.     24.     25.     17.      135.           
          1984     30.      8.      0.      0.      0.      0.      0.    218.     80.     41.     62.     60.      499.           

          AVE.     48.     33.      0.      0.      0.      0.      5.     92.     69.     52.     59.     43.      399.

           NUMBER OF YEARS    4
           NO LOG TRANSFORM
              09330500 MUDDY CREEK NEAR EMERY, UT                                                 20111123   PAGE    3


           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

          1911   1525.   1071.    615.    123.    172.   2321.   3467.  10610.   7789.   6674.   3973.   1170.    39510.           
          1912    855.    222.    123.    184.    288.    557.   3150.   8515.  11359.   6694.   3245.   2408.    37600.           
          1913   1557.    595.    307.    430.    444.   1033.   3142.  10407.   7849.   4955.   3138.   1626.    35483.           
          1950    693.    835.    613.    505.    580.    778.   2164.   4080.   4552.   2717.   1404.    956.    19877.           
          1951    762.    827.    738.    609.    510.    719.   1972.   5546.   6407.   3667.   2210.   1156.    25123.           
          1952    968.    641.    613.    553.    490.    705.   5092.  18845.  17964.   7089.   4197.   1892.    59049.           
          1953   1414.   1025.    900.    879.    736.    894.    838.   2668.   6307.   4260.   2618.   1289.    23828.           
          1954    900.    607.    591.    556.    525.    578.   1308.   3259.   2436.   1734.   1014.    947.    14455.           
          1955    588.    464.    428.    369.    347.    360.    573.   3045.   3929.   2194.   1429.    765.    14491.           
          1956    641.    569.    585.    524.    502.    718.   1093.   4383.   4552.   2731.   1388.    877.    18563.           
          1957    769.    401.    376.    415.    418.    475.    776.   4465.  13343.   8394.   4104.   1718.    35654.           
          1958   1632.   1293.    962.    861.    895.    829.   6335.  16413.  12440.   4659.   2737.   1678.    50734.           
          1959   1020.    572.    494.    411.    512.    661.   1033.   1878.   2493.   1688.    942.    696.    12400.           
          1960    594.    393.    369.    336.    323.    793.   1830.   4931.   5060.   2890.   1220.   1021.    19760.           
          1961    892.    505.    517.    476.    417.    687.   1335.   2575.   2616.   1722.   1394.   1079.    14215.           
          1962    668.    712.    589.    472.    448.    503.   4729.   8116.   8648.   5566.   3348.   1448.    35247.           
          1963   1016.    591.    400.    373.    417.    764.   1016.   4223.   3780.   2799.   1920.   1091.    18390.           
          1964    746.    549.    551.    430.    432.    458.    986.   4241.   5687.   3661.   2590.   1055.    21386.           
          1965    843.    449.    430.    430.    333.    563.   1292.   5480.  10984.   7716.   3519.   2394.    34433.           
          1966   1803.    864.    684.    660.    614.   1152.   2031.   3297.   2370.   1884.   1724.    733.    17816.           
          1967    575.    345.    485.    435.    444.    618.    466.   2926.   5296.   4229.   2813.   1605.    20237.           
          1968    912.    480.    411.    371.    374.    489.    776.   4788.   9219.   4401.   2614.   1408.    26243.           
          1969   1119.    641.    553.    553.    522.    700.   2358.  10116.   9297.   5032.   2444.   1741.    35076.           
          1970   1884.    885.    512.    475.    495.    623.   1150.   7817.   8892.   5197.   3539.   1696.    33165.           
          1971    778.    793.    726.    676.    595.    986.   2342.   4399.   6163.   3517.   3223.   1396.    25594.           
          1972    941.    781.    657.    589.    528.    889.   1333.   2858.   3231.   1886.   1761.    817.    16271.           
          1973    841.    617.    573.    502.    444.    584.   1892.   8448.   9556.   4699.   3021.   1779.    32956.           
          1974   1125.    723.    615.    553.    526.    780.   1654.   8983.   7394.   3374.   2406.   1440.    29573.           
          1975   1079.    775.    573.    553.    450.    581.   1341.   5330.  11764.   6258.   2541.   2132.    33377.           
          1976   1464.    682.    660.    492.    376.    367.    852.   3308.   3059.   2184.   1142.    754.    15340.           
          1977    659.    328.    307.    307.    278.    352.    684.    871.    936.   1049.    464.    570.     6805.           
          1978    294.    355.    275.    276.    242.    467.   1226.   4810.  10177.   5147.   2305.   1410.    26984.           
          1979   1150.    696.    517.    379.    395.    825.   2188.   8487.   9888.   5562.   2386.   1759.    34232.           
          1980   1040.    875.    774.    803.    787.    673.   2902.  11855.  12119.   6760.   2737.   2110.    43435.           
          1981   1928.    588.    611.    407.    430.    530.   1610.   2531.   3062.   1626.   2452.   2741.    18516.           
          1982   1343.    672.    557.    359.    452.    609.   1768.   8313.  10627.   5704.   3045.   2214.    35663.           
          1983   2428.   1273.    793.    528.    585.    928.   1301.  10209.  19642.  14698.   6375.   3550.    62310.           
          1984   1765.   1174.   1041.    722.    756.    928.   2148.  14765.  16066.   9856.   6163.   3469.    58853.           
          1985   3747.   2071.   1388.    899.    763.   1343.   6649.  10705.   9558.   4675.   2418.   2777.    46993.           
          1986   1424.    729.    495.    538.    718.   1759.   3142.   6912.   9640.   4860.   2426.   2210.    34853.           
          1987   1400.   1027.    805.    649.    563.    867.   2975.   4165.   3445.   2148.   1428.    906.    20378.           
          1988    789.    646.    259.    256.    287.    985.   1537.   4318.   4473.   2319.   1970.    996.    18835.           
