

                                    09333500 DIRTY DEVIL R AB POISON SP WA NR HANKSVILL  2.00 Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1948                                                                                     1400.   13590.    1200.
         1949    5050.    6410.    6310.    2160.    7850.   19710.   17630.    5000.   11220.    6370.    2940.    4730.    95380.
         1950   11370.    7680.    6930.    9730.   11760.    7710.    2540.     770.      70.   17030.     930.    2980.    79500.
         1951    2740.    5250.    6030.    8820.    9120.    4910.    2120.    3170.     570.    1500.   27010.    1970.    73210.
         1952    8240.    5730.    4840.    3430.    7820.    9640.    9950.   17110.   16270.    3620.   15180.   13110.   114940.
         1953    4440.    6750.    7720.    9710.    8350.    7510.    3310.     910.      10.    1060.   13520.    1640.    64930.
         1954    6056.    6309.    5026.    8031.    7252.    7658.    2038.     952.       7.    1804.     284.    6098.    51515.
         1955    6250.    4320.    4500.    4720.    5460.   13700.    3840.     500.      10.    2010.    6730.     530.    52570.
         1956    1576.    4060.    5843.    6373.    5591.    4790.    1512.     584.      28.    4771.    1762.     240.    37130.
         1957    2710.    3960.    4280.    6350.    6260.    4390.    3900.    7810.    9500.    9370.   33080.    4850.    96460.
         1958   40930.   63020.    6420.    3440.   10600.    9520.   17980.   17210.    7050.     190.     680.    4170.   181210.
         1959    3152.    5030.    5855.    6450.    7283.    5236.    1599.     286.      40.      67.    4152.    2494.    41644.
         1960    1954.    7244.    5460.    8507.    9090.    8888.    2467.     786.      42.       3.      10.     844.    45295.
         1961   11390.    4950.    4380.    4620.    6700.    6180.    6270.     970.      10.      60.   18250.   37760.   101540.
         1962    3940.    7240.    4960.    5390.   10170.    7730.   14240.    3290.     300.     190.      70.    8770.    66290.
         1963    5850.    5250.    5970.    3180.    5660.    5550.    1200.     110.     130.      50.   13920.   17210.    64080.
         1964    1768.    3816.    3287.    4754.    5643.    5825.    4005.    4120.     789.     713.    3018.     379.    38117.
         1965    1797.    3749.    7626.    7152.    6361.    6724.    5964.    4042.    6500.    7577.    8967.    4161.    70620.
         1966    4657.    6214.    7452.    7142.    6030.    6984.    4518.     460.      20.     732.    2289.    1833.    48331.
         1967    2830.    4170.    4500.    5010.    4060.    4240.     940.    2720.   14740.    7170.    2770.    4200.    57350.
         1968    3150.    4800.    4980.    4550.    8470.    6460.    3490.    3150.    2580.    5860.   10460.    1610.    59560.
         1969    2410.    4514.    5250.    7662.    7539.    9741.    4921.    7307.    6982.    4705.    3814.    5546.    70391.
         1970    3701.    5633.    7059.    8271.    7426.    7511.    4199.    3806.    3572.    2154.    3384.    1732.    58448.
         1971    3836.    5587.    6801.    5220.    7303.    7234.    3160.     750.     190.     525.    4214.    1535.    46355.
         1972    4157.    6375.    4935.    5595.    7674.    5149.    1345.      82.     449.    1197.    2523.    2475.    41956.
         1973   22420.   10260.    6560.    5460.    6940.   10310.   10400.   13900.    7120.    5770.    2510.    2060.   103710.
         1974    3370.    7012.    8598.    8364.    8646.    9911.    6639.    3695.     317.    1003.     133.     764.    58452.
         1975    6643.    7210.    3447.    2602.    4376.    8945.    8077.    9769.    8364.    4693.     890.    2174.    67190.
         1976    3759.    5187.    8467.    6516.    9703.    7119.    4598.    5244.     340.     295.     568.    2120.    53916.
         1977    2517.    3586.    3654.    3638.    8824.    7137.    3693.     381.       0.    5647.    6811.    8106.    53994.
         1978    6750.    3130.    6360.    5670.   15400.   14640.    6510.    5290.    7210.    1690.     370.     410.    73430.
         1979    2640.   20600.    1400.    2060.    2420.   11550.   10470.   11880.    4310.     350.     130.      10.    67820.
         1980    3370.    6650.    5140.    7110.    6700.    8610.    8460.   12340.    7120.    2180.    2510.   36860.   107050.
         1981    4630.    5850.    6200.    6510.    5390.    6810.    4650.    3000.    2360.    2230.    1830.   13370.    62830.
         1982    8540.    5470.    5980.    6100.    7790.    6420.    4510.    7090.    4850.    4140.   14610.    4640.    80140.
         1983    4600.    6740.    9270.    9390.    7050.   12350.    7420.   12670.   32690.   13280.   11480.    3410.   130350.
         1984   11720.    7700.    6120.    7910.    7660.    9080.    7460.   16280.   16280.   14170.   13410.    6680.   124470.
         1985    9920.   10000.   10690.    9630.   12410.   15220.   22820.   13170.    3510.   11280.     740.    5290.   124680.
         1986    9636.    9049.    7974.    9235.    7815.    7922.    9965.    7845.    4588.    2924.    7492.    4570.    89015.
         1987    9120.    9100.    7330.    3710.    5200.   10900.   16930.    5410.    2200.    2880.    2500.    3350.    78630.
         1988    4240.    7550.    7030.    2780.    8950.   10720.   10310.    3660.    1430.    1040.    3730.    3330.    64770.
         1989    5423.    6502.    6908.    6934.    8870.    8223.    3265.     953.      22.     435.    4077.    1087.    52699.
         1990    3299.    5000.    4887.    5365.    6573.    6290.    4350.     954.       0.    2220.    2229.    1176.    42343.
         1991    2458.    4982.    4695.    4671.    7745.    6990.    3283.    1148.    1472.       0.    1242.    2366.    41052.
         1992    1634.    3953.    3707.    3725.    8692.    9164.    5131.    2065.     596.    4378.     989.     489.    44523.
         1993    5260.   12670.   16180.   11680.

         MEAN    6131.    7695.    6156.    6118.    7651.    8439.    6411.    5060.    4224.    3572.    6040.    5207.    72225.

          PCT    8.49%   10.65%    8.52%    8.47%   10.59%   11.68%    8.88%    7.01%    5.85%    4.95%    8.36%    7.21%   100.00%

           SD    6527.    8920.    2300.    2320.    2265.    3121.    5016.    5091.    6328.    4074.    7284.    7881.    30119.

           CV     1.06     1.16     0.37     0.38     0.30     0.37     0.78     1.01     1.50     1.14     1.21     1.51      0.42

           FILE: .\09333500                                                                      
