

                                    09337500 ESCALANTE RIVER NEAR ESCALANTE, UTAH             Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1912    1870.     847.    1375.     670.    1601.    2436.    1843.    4473.    3539.    2469.    2646.    1819.    25588.
         1943     823.     643.    1113.    1325.    1319.     984.    2281.     150.     180.     423.     381.     583.    10205.
         1944    1094.     483.     660.     553.     577.    1371.    1456.    4548.    4951.    1874.     533.     250.    18350.
         1945     413.     647.    1023.     962.    1144.    1496.     952.     929.     278.     307.     954.     482.     9587.
         1946    1723.     619.     739.     821.     731.     376.    1776.     218.      84.      80.     645.      85.     7897.
         1947     319.     643.     841.     619.     519.     271.     165.    1712.     289.     296.    1664.     194.     7532.
         1948     491.     428.     580.     799.     978.    1343.    1089.    1692.     678.     215.     770.     176.     9239.
         1949     325.     580.     859.     922.    1117.    1315.    1684.    2295.    5111.     896.     467.    1023.    16594.
         1950     698.     611.     722.    1620.    1281.     533.     736.     218.     121.     464.     158.     246.     7408.
         1951     198.     236.     272.     280.     264.     253.     159.     166.     120.     254.     929.     133.     3264.
         1952     129.     189.     266.     478.     787.     861.    1228.    2317.     802.     490.     896.     443.     8886.
         1953     250.     368.     584.     660.     643.     566.     202.     122.      67.     401.     385.     135.     4383.
         1954     216.     166.     261.     428.     204.     139.     275.      54.      75.     247.      75.      97.     2237.
         1955     934.      96.     134.     139.     187.     180.     106.     134.      43.      49.     316.      43.     2361.
         1972                       591.     431.     237.     136.      83.      72.     186.      70.     245.     102.
         1973    1837.     476.     297.     427.     690.    1014.    1392.    7646.    6379.     915.     659.     481.    22213.
         1974     396.     412.     651.     853.     871.     739.     127.     126.     108.     361.     133.     114.     4891.
         1975     293.     198.     159.     102.     177.     466.     188.     636.     629.     294.     182.     224.     3548.
         1976     194.     217.     272.     214.     211.     448.     112.    1316.      84.     141.      66.     349.     3624.
         1977     184.     177.     169.     168.     174.     198.      87.     103.     120.     294.     196.      75.     1945.
         1978      99.     119.     123.     123.     108.     149.     107.     290.      59.      29.      52.      71.     1329.
         1979      92.     331.      89.     192.     321.    1575.    2402.    3376.    2998.     174.     261.     195.    12006.
         1980     282.     326.     246.     295.     923.     579.    2120.    1096.    1136.     661.     282.    1777.     9723.
         1981     503.     504.     677.     776.     437.     380.    1225.     919.     258.     534.     510.    1082.     7805.
         1982     875.     648.     732.     881.    1077.     932.    1137.    2416.     645.     174.     787.     385.    10689.
         1983     409.     469.     545.     604.     611.    1364.    1265.    2769.    7442.    1719.    1892.     928.    20017.
         1984     731.     647.     950.     970.     778.     753.     370.    1741.     450.     529.    1332.     375.     9626.
         1985     373.     332.     351.     550.     742.    1169.    1511.    3459.     930.     715.     219.     441.    10792.
         1986     802.     553.     427.     524.     950.     905.     660.     314.     170.     410.     646.     379.     6740.
         1987     362.     296.     262.     385.     295.     627.    2438.    1796.     127.     312.     193.     158.     7251.
         1988     484.    1419.     374.     343.     335.     287.     857.    1923.     865.     454.    1196.     338.     8875.
         1989     255.     364.     264.     276.     577.    2442.     178.      82.      53.     119.     144.      68.     4822.
         1990      56.     149.     108.      92.     104.     101.      73.      71.      29.      53.     116.     136.     1088.
         1991    1084.     329.     277.     172.      95.      41.     124.

         MEAN     570.     440.     500.     549.     620.     777.     894.    1490.    1182.     498.     604.     406.     8766.

          PCT    6.50%    5.02%    5.70%    6.26%    7.07%    8.87%   10.20%   17.00%   13.48%    5.68%    6.89%    4.63%   100.00%

           SD     490.     261.     325.     360.     405.     619.     781.    1719.    1997.     547.     591.     447.     6107.

           CV     0.86     0.59     0.65     0.66     0.65     0.80     0.87     1.15     1.69     1.10     0.98     1.10      0.70

           FILE: .\09337500                                                                      
