

                        09378630 RECAPTURE CREEK NEAR BLANDING, UT                Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1966      24.      10.       6.       2.       5.     216.     335.     248.      32.       4.       2.       0.      884.
         1967       1.       2.      34.       3.       5.      28.      49.      66.      39.      13.       6.       2.      246.
         1968       0.       1.       0.       0.      10.      63.     193.     347.     121.       9.      45.       4.      793.
         1969       4.       6.       1.       0.       0.      71.     699.     291.      51.      12.       3.       1.     1139.
         1970       1.       3.       1.       1.       1.       3.      67.     228.      23.       2.       2.       2.      334.
         1971       3.       2.       1.       1.       1.       9.      24.      44.      10.       1.       1.       0.       98.
         1972       5.       3.       1.       1.       1.      58.      46.      45.      18.       1.       0.       0.      180.
         1973     293.      68.      41.      39.      37.     152.     833.    1384.     359.      32.       6.       1.     3245.
         1974       1.       1.       1.       1.       2.       9.      38.      55.       6.       1.       0.       0.      115.
         1975       1.       1.       1.       0.       0.       1.       5.     678.     259.      13.       2.       0.      961.
         1976       1.       0.       0.       0.       1.      11.      89.     207.      58.       2.       0.       0.      369.
         1977       0.       0.       0.       0.       0.       0.       0.       0.       0.       1.       3.       2.        6.
         1978       0.       0.       0.       0.       0.     298.     516.     512.     123.       1.       0.       0.     1450.
         1979       0.       0.       0.       0.       0.      39.     365.    1466.     774.      41.       1.       0.     2686.
         1980       0.       0.       0.       5.      39.      32.     834.    1333.     499.      29.       1.       0.     2772.
         1981       0.       0.       0.       0.       0.      28.      65.      32.      11.       8.       0.       0.      145.
         1982       1.       1.       1.       0.       0.      12.     196.     240.      47.       2.       3.       2.      505.
         1983       3.       4.       3.       3.      26.     189.     713.    1545.     810.      23.       7.       3.     3329.
         1984       5.       4.       4.       3.       3.      39.     202.     284.      32.       5.       2.       1.      584.
         1985       1.       1.       1.       1.       3.     219.     807.     728.     111.       2.       2.       1.     1877.
         1986       2.       1.       1.       1.      29.     236.     478.     328.      67.       4.       1.       2.     1150.
         1987       7.      11.       2.       1.       1.      75.     618.     283.      56.       2.       7.       1.     1064.
         1988       2.     138.       1.       1.       9.     113.     249.     354.      69.      10.       8.       5.      959.
         1989       2.       2.       2.       3.       4.      93.      75.      10.       2.       0.       0.       0.      193.
         1990       0.       0.       0.       0.       0.       3.       0.       6.       1.       0.       0.       0.       10.
         1991       0.       0.       0.       0.       0.       0.      47.      23.      82.       3.       1.       0.      157.
         1992       0.       0.       1.       1.       1.      60.     430.     354.      64.       7.       2.       1.      921.
         1993       1.       1.       1.       1.      10.     689.     944.    1146.     371.      33.       2.       2.     3201.
         1994       2.       2.       2.       2.       1.      49.     104.     187.      29.       2.       0.       0.      380.
         1995       0.       0.       0.       1.      34.     405.     313.     485.     360.      62.       4.       2.     1666.
         1996       3.       3.       2.       1.       1.       2.       3.       4.       1.       0.       0.       0.       19.
         1997       0.       0.       0.       0.       0.     237.     337.     400.      51.       3.       4.       2.     1034.
         1998       2.       2.       2.       2.       3.      48.     138.     239.      36.       6.       1.       0.      479.
         1999       0.       1.       1.       1.       1.       7.      56.     135.      16.       3.       2.       2.      225.
         2000       1.       1.       1.       1.       1.      10.     134.      63.       9.       0.       0.       0.      221.

         MEAN      10.       8.       3.       2.       7.     100.     286.     393.     131.      10.       3.       1.      954.

          PCT    1.10%    0.81%    0.33%    0.23%    0.69%   10.49%   29.95%   41.17%   13.76%    1.01%    0.35%    0.11%   100.00%

           SD      49.      25.       9.       7.      11.     143.     289.     449.     206.      14.       8.       1.      996.

           CV     4.71     3.30     2.72     2.96     1.75     1.43     1.01     1.14     1.57     1.46     2.24     1.20      1.04

           FILE: .\09378630                                                                      
