

                                    09378650 RECAPTURE CR BL JOHNSON CR NR BLANDING,UT.       Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1976       0.       0.       0.       0.       0.       1.     737.    1412.     317.      43.       0.       0.     2510.
         1977       0.       0.       0.       0.       0.       0.       0.       0.       0.       1.      49.       4.       54.
         1978       3.       0.       0.       0.       4.     868.    1993.    2920.     880.       4.       0.       0.     6672.
         1979       0.      48.       0.       0.      18.     896.    5849.    6674.    3616.     326.       2.       0.    17429.
         1980       0.       0.       0.      35.     369.     787.    5058.    5272.    2019.     660.       8.       0.    14208.
         1981       0.       0.       0.       0.       0.      92.     184.     188.       1.       0.       0.       0.      465.
         1982      13.       0.       0.       0.       1.      50.     845.     903.     294.      20.     121.      42.     2289.
         1983      12.      38.       7.      19.     405.    1470.    3566.    7781.    2924.     399.       6.      46.    16673.
         1984     155.       4.      16.       8.       5.      88.     802.    1031.     726.       1.       0.       0.     2836.
         1985       1.       0.       0.       2.      15.     880.    3479.    3780.    1510.      30.       0.       9.     9706.
         1986      15.      14.      17.       0.     278.    1469.    2941.    1785.     757.       4.       6.      63.     7349.
         1987      71.      81.      21.       8.      34.     690.    2949.    1567.     520.       3.      48.       0.     5992.
         1988     149.     854.       0.       0.      17.     619.    1139.     906.     369.      54.       3.       4.     4114.
         1989       0.       1.       0.       0.      43.     124.     177.      12.       0.       0.       4.       0.      361.
         1990       0.       0.       0.       0.       0.       0.       0.       1.       0.       3.       6.       4.       14.
         1991       3.       3.       0.       0.       1.       3.     163.     266.      63.       2.       0.       6.      510.
         1992       4.      27.       0.       0.      24.     581.    2366.    1726.     489.      19.       4.       2.     5242.
         1993      15.       1.       0.      15.

         MEAN      24.      60.       3.       5.      71.     507.    1897.    2131.     852.      92.      15.      11.     5672.

          PCT    0.43%    1.05%    0.06%    0.09%    1.26%    8.94%   33.44%   37.57%   15.02%    1.63%    0.27%    0.19%   100.00%

           SD      49.     200.       7.       9.     136.     508.    1831.    2397.    1071.     188.      31.      20.     5755.

           CV     2.01     3.35     2.06     1.95     1.90     1.00     0.97     1.12     1.26     2.03     2.07     1.85      1.01

           FILE: .\09378650                                                                      
