

                                    09403780 KANAB CREEK NR FREDONIA, ARIZ.                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1964      20.      47.      30.      53.      71.      44.      84.      13.       0.      27.     155.      20.      564.
         1965       4.      21.     115.      24.     107.      17.     954.      99.       0.      52.     197.       0.     1590.
         1966       5.     907.     978.     799.     615.    1338.       0.       0.       0.       0.       0.      40.     4682.
         1967      27.       1.    3582.       0.     270.     250.      43.       0.       0.      18.     100.    1698.     5989.
         1968      60.      54.      70.     341.     597.     518.      32.      15.       3.    1081.     955.      10.     3736.
         1969       0.       0.     183.    1872.    1006.    2046.    4107.      43.       0.     622.     126.     184.    10189.
         1970       2.       9.       7.     103.      20.     171.       7.       0.       0.      95.    2918.      76.     3408.
         1971       0.      12.     358.     386.     172.     391.       3.       3.       0.      16.    2519.      16.     3876.
         1972     258.      77.    1529.     388.     117.       0.       0.       0.      46.       0.      19.    1377.     3811.
         1973    1169.     115.      79.      49.     151.     787.    4744.      40.       2.       7.     159.       0.     7302.
         1974       0.       0.      78.     256.     114.     158.       0.       0.       0.      21.       0.       0.      627.
         1975     158.      45.      19.     239.     211.    1233.     873.      10.       0.    1241.     183.     367.     4579.
         1976       8.       0.       0.      60.     147.      46.     325.       1.       0.      82.       3.     111.      783.
         1977      60.       0.      24.     136.       0.       0.       0.       2.       1.     353.     123.      68.      767.
         1978      23.      10.       2.      63.     756.    5541.    1855.       9.       0.       0.     168.     114.     8541.
         1979      60.     949.     557.    1246.    2300.    3628.    4435.     103.       1.       0.       9.       0.    13288.
         1980       0.       0.       0.     148.    2838.    1299.    3814.     402.       0.      27.     356.     796.     9680.

         MEAN     109.     132.     448.     363.     558.    1027.    1252.      44.       3.     214.     470.     287.     4907.

          PCT    2.22%    2.69%    9.12%    7.39%   11.38%   20.94%   25.51%    0.89%    0.06%    4.37%    9.58%    5.85%   100.00%

           SD     282.     301.     909.     504.     814.    1505.    1806.      98.      11.     392.     878.     514.     3787.

           CV     2.58     2.28     2.03     1.39     1.46     1.47     1.44     2.25     3.56     1.83     1.87     1.79      0.77

           FILE: .\09403780                                                                      
