

                        09404450 EAST FORK VIRGIN RIVER NEAR GLENDALE, UT         Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1967     873.     877.    1859.    1109.    1099.    1347.    1420.    1271.    1111.     825.     954.    1067.    13812.
         1968     893.     940.    1053.    1065.    1263.    1545.    1569.    1365.     932.     887.    1103.     698.    13313.
         1969     819.     877.     912.    1537.    1208.    1940.    7827.    4796.    1960.    1716.    1277.     986.    25855.
         1970    1129.    1139.    1063.    1083.    1089.    1295.     968.     893.     701.     679.     673.     656.    11368.
         1971     799.     954.     978.    1105.     942.    1041.     817.     938.     657.     566.     653.     555.    10005.
         1972     805.     815.    1446.     920.     936.     855.     750.     654.     713.     489.     522.     748.     9653.
         1973    1006.     952.     970.    1020.    1004.    1335.    4161.    4102.    1547.     881.     756.     714.    18448.
         1974     793.     897.     978.    1043.     936.    1172.     928.     849.     706.     632.     529.     556.    10019.
         1975     813.     964.     916.     916.     869.    1287.    1210.    1002.     736.     660.     571.     603.    10547.
         1976     694.     835.     934.     807.    1051.    1025.     944.     768.     528.     596.     583.     614.     9379.
         1977     724.     641.     706.     728.     670.     708.     655.     760.     531.     495.     503.     513.     7634.
         1978     639.     702.     744.     875.     988.    2110.    2842.    1896.     962.     770.     692.     670.    13890.
         1979     740.    1162.    1016.    1081.    1061.    1997.    7890.    6363.    1890.    1158.    1091.     877.    26326.
         1980     984.    1027.    1125.    1613.    2097.    2636.    8628.    8045.    2594.    1722.    1591.    1470.    33532.
         1981    1373.    1293.    1379.    1341.    1246.    1609.    1313.    1115.     813.     718.     761.     780.    13741.
         1982    1008.     966.    1010.    1091.    1140.    1728.    1658.    1170.     756.     694.     789.     835.    12845.
         1983     940.    1260.    1418.    1210.    1379.    3104.    5687.    7888.    2521.    1738.    1636.    1055.    29836.
         1984    1384.    1464.    1513.    1541.    1365.    1543.    1357.     970.     742.     778.     835.     707.    14199.
         1985     980.    1035.    1248.    1248.    1146.    1638.    2051.    1456.     811.     718.     406.     529.    13266.
         1986     961.    1079.    1154.    1206.    1583.    1494.    1307.     839.     587.     445.     518.     823.    11996.
         1987    1117.    1129.    1127.    1079.    1037.    1418.    1016.     628.     412.     508.     672.     380.    10523.
         1988     596.    1043.     865.     889.    1053.    1119.    1105.     968.     498.     444.     507.     383.     9470.
         1989     618.     705.     806.     859.     934.    1267.     532.     392.     307.     344.     372.     303.     7439.
         1990     406.     499.     589.     600.     621.     835.     610.     404.     328.     352.     352.     387.     5983.
         1991     560.     569.     599.     578.     550.     881.     698.     501.     444.     341.     352.     397.     6470.
         1992     539.     579.     603.     652.     747.    1283.    1013.     685.     545.     420.     505.     474.     8045.
         1993     657.     533.     682.     908.    1045.    3340.    7896.    3915.    1646.     787.     854.     704.    22967.
         1994     972.     893.     920.     948.    1012.    1632.     915.     621.     416.     353.     390.     433.     9505.
         1995     770.     805.     853.    1002.    1345.    3082.    2281.    2418.    1416.     719.     533.     557.    15781.
         1996     815.     876.     720.     899.    1263.    1160.     670.     498.     339.     345.     314.     438.     8337.
         1997     605.     885.     940.    1204.     781.    1027.     833.     555.     433.     322.     444.     725.     8754.
         1998     735.     738.     711.     799.    1069.    1301.    1968.    1870.     872.     620.     442.    1028.    12153.
         1999    1043.    1148.     992.     980.     889.     706.     845.     683.     560.     616.     515.     500.     9477.
         2000     566.     609.     615.     748.     914.    1317.     721.     464.     315.     295.     292.     314.     7170.

         MEAN     834.     909.     984.    1020.    1069.    1523.    2208.    1816.     892.     695.     676.     661.    13286.

          PCT    6.28%    6.84%    7.40%    7.68%    8.04%   11.46%   16.62%   13.67%    6.71%    5.23%    5.09%    4.98%   100.00%

           SD     224.     229.     291.     250.     287.     663.    2409.    2076.     607.     380.     335.     255.     6812.

           CV     0.27     0.25     0.30     0.25     0.27     0.44     1.09     1.14     0.68     0.55     0.50     0.39      0.51

           FILE: .\09404450                                                                      
