

                        09405200 + 09405250  (DEEP CREEK PLUS EAST FORK DEEP CREEK)                     

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1941     225.     260.     317.     287.     535.     799.    1238.    3708.    1380.     799.     310.     232.    10090.
         1942     926.     492.     587.     553.     422.     506.    1911.    1498.     659.     263.     197.     140.     8154.
         1943     347.     387.     349.     391.     835.     818.    1241.     745.     309.     100.     182.     160.     5864.
         1944     321.     278.     312.     261.     343.     431.     732.    2191.     785.     255.     137.     123.     6169.
         1945     252.     369.     317.     325.     393.     374.     724.    1231.     490.     243.     380.     141.     5239.
         1946     423.     292.     322.     321.     196.     353.     538.     392.     148.      54.     150.      96.     3285.
         1947     677.     485.     545.     374.     359.     715.    1072.    1041.     420.     129.     178.     127.     6122.
         1948     279.     271.     295.     295.     264.     266.     921.     708.     322.     100.     101.     100.     3922.
         1949     217.     196.     196.     215.     214.     304.    1195.    1523.     812.     183.     101.     159.     5315.
         1950     297.     376.     307.     351.     418.     462.     932.     556.     247.     261.     110.     111.     4428.
         1951     179.     276.     292.     256.     167.     284.     329.     387.     170.      57.     189.     111.     2697.
         1952     187.     272.     618.     336.     245.     384.    2512.    3469.     905.     264.     195.     164.     9551.
         1953     244.     337.     401.     404.     209.     311.     351.     315.     165.     156.     149.      94.     3136.
         1954     198.     262.     248.     328.     249.     348.    1287.     683.     237.     228.      84.     153.     4305.
         1955     235.     272.     316.     272.     252.     332.     447.     460.     197.     119.     255.      67.     3224.
         1956     110.     271.     338.     430.     146.     307.     441.     424.     133.      37.      33.      64.     2734.
         1957     119.     183.     198.     270.     314.     297.     446.     946.     642.     238.     200.     151.     4004.
         1958     305.     398.     450.     254.     609.     551.    1556.    2761.     655.     372.     304.     356.     8571.
         1959     305.     352.     358.     268.     236.     320.     371.     265.     202.      74.     210.     117.     3078.
         1960     153.     248.     272.     211.     158.     354.     457.     427.     218.      27.      29.     107.     2661.
         1961     183.     304.     240.     195.      96.     269.     383.     300.     110.      40.     123.     312.     2555.
         1962     164.     238.     267.     217.     906.     443.    2008.     770.     322.     203.     165.     196.     5899.
         1963     207.     251.     241.     243.     241.     269.     307.     355.     113.      25.     193.     176.     2621.
         1964     175.     268.     198.     147.      72.     259.     621.     751.     247.     197.     105.      88.     3128.
         1965     127.     235.     264.     254.     141.     254.     729.    1396.    1021.     281.     182.     302.     5186.
         1966     235.     617.     608.     248.     152.     694.    1333.     615.     264.     253.     199.     168.     5386.
         1967     243.     297.    2734.     285.     218.     415.     528.    1113.     580.     292.     237.     331.     7273.
         1968     248.     291.     288.     308.     428.     517.    1030.    1173.     473.     625.     641.     207.     6229.
         1969     243.     300.     312.    1392.     235.     534.    2800.    3329.     806.     425.     276.     196.    10848.
         1970     325.     387.     400.     335.     235.     332.     300.     479.     231.     212.     346.     171.     3753.
         1971     176.     337.     272.     281.     184.     305.     432.     665.     320.     222.     383.     173.     3750.
         1972     261.     266.     975.     274.     211.     403.     326.     286.     513.      35.     108.     346.     4004.
         1973     440.     291.     286.     281.     350.     451.    1287.    3478.    1343.     273.     257.     188.     8925.
         1974     257.     330.     316.     279.     112.     344.     363.     357.     208.      97.      71.     115.     2849.
         1975     455.     215.     179.     210.     210.     321.     326.     956.     610.     395.     238.     134.     4249.
         1976     187.     224.     241.     165.     322.     251.     451.     698.     224.     124.      46.      96.     3029.
         1977     221.     208.     220.     155.      56.     194.     206.     242.     128.      38.      59.      75.     1802.
         1978     113.     191.     209.     347.     528.     961.    1725.    2301.     719.     169.     210.     169.     7642.
         1979     187.     316.     298.     273.     252.     708.    1973.    3650.    1098.     253.     218.     163.     9389.
         1980     226.     300.     322.    1825.    5142.     672.    1959.    3145.    1738.     497.     333.     539.    16698.
         1981     373.     375.     458.     383.     270.     391.    1139.     678.     324.     281.     191.     147.     5010.
         1982     283.     282.     283.     237.     210.     490.    1187.    1370.     364.     330.     231.     248.     5515.
         1983     271.     495.     654.     344.     487.     935.    1228.    4064.    3347.     653.     530.     234.    13242.
         1984     489.     499.     780.     521.     395.     499.     833.     841.     317.     345.     308.     136.     5963.
         1985     250.     287.     352.     379.     316.     557.    2306.    1158.     425.     509.     222.     210.     6971.
         1986     264.     369.     346.     303.     722.     940.    1091.     678.     307.     166.     131.     171.     5488.
         1987     285.     283.     262.     289.     242.     389.     836.     659.     255.     136.     173.     135.     3944.
         1988     278.     558.     344.     301.     330.     502.    1254.    1161.     507.     244.     295.     193.     5967.
         1989     224.     280.     251.     232.     216.     561.     454.     311.     116.      94.      92.      57.     2888.
         1990     115.     172.     191.     179.     145.     210.     365.     220.     144.      57.      41.      79.     1918.

         MEAN     270.     315.     397.     346.     400.     452.     970.    1219.     525.     229.     202.     171.     5493.

          PCT    4.92%    5.73%    7.22%    6.29%    7.28%    8.22%   17.65%   22.18%    9.56%    4.16%    3.68%    3.10%   100.00%

           SD     141.      96.     372.     276.     707.     196.     644.    1093.     545.     170.     120.      89.     3000.

           CV     0.52     0.31     0.94     0.80     1.77     0.43     0.66     0.90     1.04     0.74     0.59     0.52      0.55

           FILE: .\094052SM                                                                      
