

                                    09405300 CRYSTAL CR NR CEDAR CITY UTAH                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1957      43.      42.      36.      60.      67.     141.     942.    3963.    1859.     103.     102.      81.     7439.
         1958     115.     110.     111.     111.     100.     123.     347.    8376.     945.     210.     106.     301.    10955.
         1959      87.      84.      71.      68.      56.     121.     861.     673.     122.      92.     189.      46.     2470.
         1960      50.      47.      47.      54.      48.      78.     677.    1289.     249.      86.      64.      66.     2755.
         1961      62.      99.      73.      92.      70.      98.     488.     918.     178.      84.     149.     236.     2547.

         MEAN      71.      76.      68.      77.      68.     112.     663.    3044.     671.     115.     122.     146.     5233.

          PCT    1.36%    1.46%    1.29%    1.47%    1.30%    2.14%   12.67%   58.16%   12.81%    2.20%    2.33%    2.79%   100.00%

           SD      30.      31.      29.      24.      20.      24.     249.    3259.     743.      54.      48.     115.     3827.

           CV     0.41     0.40     0.43     0.31     0.29     0.22     0.38     1.07     1.11     0.47     0.39     0.79      0.73

           FILE: .\09405300                                                                      
