

                                    09405420  N FK VIRGIN R BLW BULLOCH CANYON NR GLENDALE    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1975     427.     572.     552.     596.     657.     875.    1029.    1135.    1097.     914.     722.     524.     9100.
         1976     418.     375.     544.     459.     561.     924.     957.     750.     801.     613.     445.     522.     7369.
         1977     515.     499.     435.     463.     441.     439.     376.     425.     303.     234.     288.     242.     4660.
         1978     290.     343.     379.     376.     497.    1833.    2848.    2529.    1543.    1111.     813.     707.    13269.
         1979     722.     684.     553.     571.     561.    1741.    4574.    3784.    1970.    1025.    1182.     899.    18266.
         1980     992.    1093.    1012.    1517.    3572.    2110.    4405.    6510.    2007.    1505.    1216.    1246.    27185.
         1981    1194.    1172.    1170.    1103.     908.    1150.    1347.     967.    1020.     709.     612.     548.    11900.
         1982     827.     636.     632.     501.     695.    1242.    1825.    1730.    1317.    1121.    1202.    1091.    12819.
         1983    1075.     956.     757.     705.     966.    2021.    2819.    5750.    3267.    1745.    1924.    1095.    23080.
         1984    1478.    1402.    1652.    1718.    1601.    1509.    1210.    1210.    1006.    1093.    1020.     517.    15416.

         MEAN     794.     773.     769.     801.    1046.    1384.    2139.    2479.    1433.    1007.     942.     739.    14306.

          PCT    5.55%    5.40%    5.37%    5.60%    7.31%    9.68%   14.95%   17.33%   10.02%    7.04%    6.59%    5.17%   100.00%

           SD     389.     362.     398.     477.     950.     549.    1466.    2163.     827.     431.     474.     327.     6969.

           CV     0.49     0.47     0.52     0.60     0.91     0.40     0.69     0.87     0.58     0.43     0.50     0.44      0.49

           FILE: .\09405420                                                                      
