

                        09405450 N FK VIRGIN R ABV ZION NARROWS NR GLENDALE       Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1979     918.     904.     738.     703.     656.    2045.    5098.    4203.    2229.    1194.    1339.     904.    20931.
         1980    1067.    1117.    1075.    1529.    3739.    2152.    4794.    6246.    2019.    1561.    1269.    1222.    27790.
         1981    1198.    1093.    1228.    1127.     899.    1127.    1359.     951.     941.     575.     403.     423.    11324.
         1982     597.     606.     588.     468.     676.    1222.    1672.    1529.    1045.     853.     963.     761.    10980.
         1983     839.     837.     871.     501.     913.    2370.    3261.    6540.    3913.    2005.    2134.    1162.    25346.
         1984    1388.    1442.    1632.    1702.    1462.    1607.    1432.    1172.     688.    1023.     952.     432.    14932.

         MEAN    1001.    1000.    1022.    1005.    1391.    1754.    2936.    3440.    1806.    1202.    1177.     817.    18551.

          PCT    5.40%    5.39%    5.51%    5.42%    7.50%    9.45%   15.83%   18.54%    9.73%    6.48%    6.34%    4.41%   100.00%

           SD     279.     286.     377.     531.    1187.     514.    1708.    2571.    1203.     514.     574.     346.     7209.

           CV     0.28     0.29     0.37     0.53     0.85     0.29     0.58     0.75     0.67     0.43     0.49     0.42      0.39

           FILE: .\09405450                                                                      
