

                                    09405499 SPRINGDALE CANAL NR. SPRINGDALE, UT              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1969     431.     347.     315.     231.     250.     240.     535.     127.     615.     496.     366.     452.     4405.
         1970     436.     272.     229.     168.     311.      66.     422.     632.     487.     491.     526.     453.     4493.
         1971     434.     378.     408.     270.     217.     161.     533.     340.     521.     484.     335.     404.     4485.
         1972     256.     249.     285.     424.     445.     191.     544.     510.     244.     438.     164.     303.     4053.
         1973     181.     128.      83.     109.      97.       0.     227.     596.     853.     654.     583.     533.     4044.
         1974     411.     401.     456.     437.     139.     433.     601.     565.     532.     373.     384.     426.     5158.
         1975     383.     264.     206.     264.      63.     321.     399.     563.     793.     432.     449.     371.     4508.
         1976     409.     308.     320.     284.     115.     259.     346.     727.     431.     364.     376.     136.     4075.
         1977     332.     270.     323.     178.     343.     377.     495.     520.     443.     418.     400.     438.     4537.
         1978     314.     233.     210.     156.      31.       4.     212.     383.     381.     371.     331.     295.     2921.
         1979     317.      62.      65.     167.     105.      39.     104.     349.     619.     431.     269.     368.     2895.
         1980     423.     286.     182.     107.      79.      45.     359.     453.     809.     557.     445.     522.     4267.
         1981     328.     334.     332.     607.     359.     496.     428.     547.     732.     639.     679.     532.     6013.
         1982     478.     433.     467.     440.     254.     610.     496.     709.     516.     533.     576.     560.     6072.
         1983     256.     155.     234.     164.     148.     514.     594.     557.     606.     553.     455.     409.     4645.
         1984     410.     324.     294.      70.     360.     521.     747.     785.     700.     573.     677.     611.     6072.
         1985     581.     489.     369.     491.     443.     125.     595.     781.     736.     732.     674.     671.     6687.
         1986     543.     377.     277.     528.     239.     492.     800.     703.     553.     797.     718.     678.     6705.
         1987     580.     518.     289.     491.     241.     183.     559.     636.     612.     653.     671.     946.     6379.
         1988     685.     149.     157.     236.      87.     437.     424.     139.     326.     450.     434.     308.     3832.
         1989                                                                              82.      49.      75.      73.

         MEAN     409.     299.     275.     291.     216.     276.     471.     531.     552.     499.     457.     452.     4812.

          PCT    8.51%    6.21%    5.72%    6.05%    4.49%    5.73%    9.79%   11.04%   11.47%   10.38%    9.49%    9.39%   100.00%

           SD     123.     119.     108.     162.     129.     198.     171.     188.     193.     158.     175.     191.     1149.

           CV     0.30     0.40     0.39     0.56     0.59     0.72     0.36     0.35     0.35     0.32     0.38     0.42      0.24

           FILE: .\09405499                                                                      
