

                                    09405500 NORTH FORK VIRGIN RIVER NEAR SPRINGDALE,UTAH     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1926    4730.    3230.    3730.    3150.    3510.    4600.   26230.   18300.    4860.    3240.    3240.    3050.    81870.
         1928    7210.    3870.    3690.    3460.    3870.    7570.    9130.   11110.    3920.    2220.    1970.    1970.    59990.
         1929    2150.    2420.    2110.    2620.    2920.    4390.    9700.   13880.    4310.    3320.    8150.    4090.    60060.
         1930    3370.    2900.    2770.    2880.    3280.    4010.    7320.   14620.    3720.    2490.    3170.    4120.    54650.
         1931    3376.    3273.    3074.    2767.    3055.    3683.    4560.    5054.    2793.    2471.    5921.    2297.    42324.
         1932    2150.    3270.    2770.    2460.    5900.    5680.   20690.   45960.   14050.    6920.    6770.    2980.   119600.
         1933    3690.    3800.    3720.    3740.    3620.    4420.    6200.   15200.    8670.    4160.    3130.    5340.    65690.
         1934    2757.    2400.    2918.    2610.    3283.    4193.    5046.    3509.    2608.    2329.    2503.    2237.    36393.
         1935    2390.    3370.    3520.    3590.    3460.    4540.   18840.   26400.    9050.    5750.    4000.    3980.    88890.
         1936    3120.    2840.    3010.    3160.    5910.    5000.   15410.    8640.    3370.    7470.    4010.    2870.    64810.
         1937    3660.    3480.    3610.    3870.    4790.    8840.   31160.   55320.   10240.    6500.    3950.    4310.   139730.
         1938    3600.    3930.    4810.    4340.    3930.   15830.   26210.   30890.    8830.    4440.    4290.    3590.   114690.
         1939    4130.    3540.    3450.    3460.    3130.    5640.   10090.    6610.    3320.    2790.    2470.    7860.    56490.
         1940    3810.    3100.    2840.    3490.    4340.    5920.   10720.    7150.    3100.    2480.    2280.    9240.    58470.
         1941    3060.    2890.    3230.    3240.    4840.    9660.   16910.   60030.   17140.    9240.    5050.    4270.   139560.
         1942    9470.    5030.    4910.    4770.    4250.    6280.   25930.   23710.    8570.    4270.    3760.    2860.   103810.
         1943    4180.    4060.    3430.    3840.    6400.    9880.   16950.   11320.    4420.    2760.    3600.    3170.    74010.
         1944    3940.    3060.    3200.    3090.    3840.    5430.   10120.   35090.   10080.    4200.    3080.    2600.    87730.
         1945    3310.    3900.    3230.    3460.    4100.    4770.   10020.   19310.    6570.    4090.    5850.    2880.    71490.
         1946    4875.    3187.    3261.    3437.    3074.    4522.    7521.    5524.    2499.    2329.    3233.    2176.    45638.
         1947    7190.    4970.    4650.    3740.    3920.    8690.   14680.   16200.    5730.    3030.    3560.    2670.    79030.
         1948    3550.    2990.    3090.    3290.    3430.    3520.   12660.   10710.    4570.    2760.    2670.    2260.    55500.
         1949    2990.    2310.    2480.    2830.    3170.    3950.   16330.   24120.   10390.    3530.    2680.    3150.    77930.
         1950    3720.    3960.    3170.    3610.    4230.    5780.   12800.    8210.    3680.    4250.    2770.    2420.    58600.
         1951    2642.    3039.    3076.    3062.    2926.    3729.    4731.    5441.    2757.    2354.    3675.    2414.    39846.
