

                        09405501 NORTH FORK VIRGIN RIVER NR SPRINGDALE, UT        Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1969    2790.    2920.    2880.    9350.    3030.    6350.   37300.   53710.    9700.    5280.    4300.    3270.   140880.
         1970    3540.    3786.    3523.    3346.    2963.    4213.    3913.    6311.    2989.    3306.    4927.    2896.    45713.
         1971    2178.    3225.    2537.    2930.    2789.    3806.    5574.    9681.    4015.    3400.    5538.    2965.    48638.
         1972    3132.    2696.    7037.    2737.    2703.    4903.    4138.    3275.    6583.    1718.    2590.    5716.    47228.
         1973    4850.    3050.    2960.    3100.    3780.    5650.   17340.   55700.   15840.    3720.    3870.    3080.   122940.
         1974    2947.    3136.    2761.    2761.    2493.    3987.    4568.    4381.    2682.    2360.    1950.    2043.    36069.
         1975    4780.    2220.    2170.    2530.    3080.    3840.    4290.   14240.    7190.    5060.    3780.    2400.    55580.
         1976    2307.    2245.    2434.    2253.    3535.    3092.    6018.    9828.    2963.    2612.    1664.    2059.    41010.
         1977    2696.    2150.    2297.    2303.    2009.    2321.    2580.    2537.    1813.    1765.    1793.    1422.    25686.
         1978    1730.    2030.    2350.    3430.    4770.   11530.   23230.   36520.    8910.    3030.    3580.    3010.   104120.
         1979    2390.    3340.    3050.    2990.    3260.    8570.   26650.   58780.   13170.    3740.    3730.    2840.   132510.
         1980    2650.    2970.    3080.   11980.   28740.    8150.   26210.   50310.   20590.    5890.    4870.    8470.   173910.
         1981    3790.    3610.    3770.    3180.    3090.    4470.   15160.    9600.    3860.    3800.    3010.    2430.    59770.
         1982    3110.    2670.    2550.    2500.    2890.    5490.   15720.   20900.    4550.    4360.    3580.    3960.    72280.
         1983    3480.    5060.    5330.    3570.    4590.   11230.   16770.   65870.   40530.    7890.    7560.    4300.   176180.
         1984    5070.    4760.    5810.    4530.    3750.    5680.   10730.   12110.    3800.    4450.    4360.    2180.    67230.
         1985    2710.    2660.    3080.    3280.    3240.    6730.   30630.   17340.    5060.    5830.    3380.    3260.    87200.
         1986    2870.    3520.    3130.    2800.    5570.   10800.   14130.    9520.    3830.    2570.    2300.    2650.    63690.
         1987    3090.    2760.    2880.    2740.    3080.    4210.   12060.    9030.    3260.    2740.    3260.    2250.    51360.
         1988    2960.    5500.    2980.    2990.    3480.    5410.   16030.   18190.    6440.    3540.    4250.    3140.    74910.
         1989    2735.    2850.    3013.    3201.    3554.    7414.    6645.    3527.    2301.    2475.    2233.    1476.    41424.
         1990    2210.    2136.    2253.    2471.    2652.    3318.    4534.    3431.    2174.    2414.    2114.    1868.    31575.
         1991    2212.    2495.    2440.    2400.    2727.    4635.    6202.    8638.    3610.    2440.    2120.    2146.    42065.

         MEAN    3053.    3121.    3231.    3625.    4425.    5904.   13497.   21019.    7646.    3669.    3511.    3036.    75738.

          PCT    4.03%    4.12%    4.27%    4.79%    5.84%    7.80%   17.82%   27.75%   10.10%    4.84%    4.64%    4.01%   100.00%

           SD     874.     928.    1217.    2311.    5359.    2611.    9774.   20816.    8593.    1516.    1406.    1519.    44639.

           CV     0.29     0.30     0.38     0.64     1.21     0.44     0.72     0.99     1.12     0.41     0.40     0.50      0.59

           FILE: .\09405501                                                                      
