

                                    09406000 VIRGIN RIVER AT VIRGIN, UTAH                     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1910   11270.   13840.   13910.   17560.   12550.   50530.   36890.   20420.    6450.    6160.   15170.   18860.   223610.
         1911   10050.    6450.    9070.   48610.   15410.   47130.   55790.   45900.   13440.   29790.    8040.   29970.   319650.
         1912   11510.    8210.    8560.    7460.    7110.    8600.   11390.   26680.    9650.   17180.   11700.    7990.   136040.
         1913   30310.    9820.    8780.    8780.    8470.   13920.   23830.   13310.    9010.    8990.   12750.    9780.   157750.
         1914    8690.   11160.   10420.   17230.   15930.   19340.   48110.   40030.   14670.   17130.    7080.    6200.   215990.
         1915    6760.    5950.    6150.    7380.    9980.   14490.   29840.   54360.   18120.    7060.    5560.   20470.   186120.
         1916   10520.   13360.   13810.   15810.   13100.   48020.   52100.   39060.   15890.   22300.   27130.   11460.   282560.
         1917   18540.    8590.    7800.    9880.   11210.   10390.   23660.   38320.   16400.    8130.    4920.    4900.   162740.
         1918    7490.    8760.    9540.    7770.    6200.   38540.   20330.   27730.    7710.   11740.    7680.   13530.   167020.
         1919   11820.    9760.   11080.    8610.    7830.   13990.   22920.   13580.    6550.    9220.    8780.    9930.   134070.
         1920    9120.   10450.   12070.   11610.   14280.   14830.   23540.   41640.   11790.    2570.   11890.    5100.   168890.
         1921   10140.   13640.   15780.   13070.    9830.   16790.   21280.   23740.    5370.    4280.   17070.    8860.   159850.
         1922   13860.   12740.   32360.   20330.   19150.   26770.   37970.   84750.   27090.   12130.   26620.   23240.   337010.
         1923   32500.   36070.   34420.   24230.   22410.   20850.   34910.   40210.    9780.    8080.    7780.    6060.   277300.
         1924    7510.    9920.    8950.   10680.    5900.    5640.   11590.   11320.    4430.    7310.    4750.   12170.   100170.
         1925    6330.    8130.    9280.   10860.    9950.    8850.   14300.   10210.    9300.    4710.   16230.    6560.   114710.
         1926    4280.    4930.    7240.    7560.    5050.    5780.   39010.   26620.    6160.    5870.    5360.    5340.   123200.
         1927    5670.   11800.    9640.   10120.   13370.   14730.   25050.   22280.    6960.    6620.   12150.   21390.   159780.
         1928   18080.    7850.    7580.    7310.   14100.   15730.   18300.   12760.    4100.    1870.    2680.    3630.   113990.
         1929    3770.    5970.    6030.    5980.    7180.   10940.   16810.   20720.    5360.   12080.   18480.   21250.   134570.
         1930    7430.    5950.    5530.    5530.    6110.    7540.   13270.   27540.    5870.    5000.   14280.    8340.   112390.
         1931    7200.   12110.    7680.    6720.    8410.    8280.    8240.    5990.    4390.    4890.    7230.    4080.    85220.
         1932    3940.    6570.    4760.    4360.   30780.   15520.   38100.   63570.   19700.   20010.   12870.    5030.   225210.
         1933    6770.    7240.    9570.    9550.    7930.   10280.   10890.   19990.   10800.    6760.    6000.    7920.   113700.
         1934    4711.    6012.    7065.    9382.    8017.    9580.    8735.    5581.    3509.    4122.    6480.    5274.    78468.
         1935    6300.    6650.    9530.    9260.    9750.   11040.   28470.   31600.   11280.    6070.    7050.    4520.   141520.
         1936    6090.    7970.    8280.    7510.   14120.   11480.   20090.   10350.    4950.   14050.    7990.    5820.   118700.
         1937    8400.    6880.    6320.    6060.   13690.   21850.   39170.   67750.   15470.   13110.    5810.    7670.   212180.
