

                             09406150  LA VERKIN CR. NR LA VERKIN, UT  85-90 ACTUAL 41-90 FACTORED  AF  

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1941     622.     772.    1190.     913.    1870.    2624.    3566.    7046.    2059.    1052.     521.     300.    22535.
         1942    1240.    1088.     938.     911.     977.    1178.    3125.    1979.     776.     439.     416.     174.    13241.
         1943     531.     665.     554.     629.    1015.    1323.    1771.     803.     410.     276.     314.     168.     8459.
         1944     538.     555.     638.     669.     870.    1026.    1338.    2472.     847.     303.     206.     142.     9604.
         1945     319.     629.     497.     503.     742.     797.    1108.    1309.     420.     234.     328.     171.     7057.
         1946     410.     439.     379.     341.     359.     500.     510.     266.     175.     173.     161.      78.     3791.
         1947     663.     687.     632.     568.     610.     818.     993.     823.     361.     207.     330.     140.     6832.
         1948     320.     375.     427.     367.     437.     388.     734.     537.     277.     146.     155.      79.     4242.
         1949     275.     399.     432.     431.     656.     717.    1163.    1191.     831.     304.     194.     261.     6854.
         1950     363.     480.     470.     471.     691.     599.     876.     439.     259.     338.     140.     101.     5227.
         1951     181.     307.     292.     294.     340.     313.     323.     298.     156.     117.     184.      78.     2883.
         1952     486.     698.    1216.     853.     931.    1200.    4190.    4627.    1300.     494.     307.     208.    16510.
         1953     251.     413.     440.     448.     435.     365.     350.     248.     203.     292.     254.      75.     3774.
         1954     337.     507.     479.     564.     637.     684.    1386.     621.     358.     323.     165.     181.     6242.
         1955     380.     366.     400.     355.     482.     458.     464.     353.     226.     221.     394.      79.     4178.
         1956     184.     364.     358.     453.     401.     377.     373.     277.     170.     155.      92.      61.     3265.
         1957     204.     310.     323.     405.     592.     461.     509.     821.     569.     226.     174.     104.     4698.
         1958     755.    1224.     886.     671.    1474.    1818.    3505.    4463.     967.     488.     391.     675.    17317.
         1959     291.     403.     367.     332.     459.     360.     320.     189.     173.     141.     231.      85.     3351.
         1960     180.     321.     320.     299.     358.     405.     372.     268.     176.      98.      82.     113.     2992.
         1961     285.     490.     361.     328.     354.     373.     352.     239.     159.     180.     265.     314.     3700.
         1962     335.     501.     497.     474.    1666.     936.    2483.     910.     415.     259.     117.     204.     8797.
         1963     231.     296.     304.     307.     412.     307.     307.     235.     152.     110.     202.     158.     3021.
         1964     258.     398.     349.     339.     390.     426.     715.     708.     264.     202.     183.      75.     4307.
         1965     268.     458.     463.     446.     527.     549.    1372.    1545.    1010.     302.     220.     235.     7395.
         1966     398.    1004.     835.     470.     587.     952.    1347.     681.     318.     303.     171.     137.     7203.
         1967     543.     724.    3257.     665.     776.     877.    1100.    1794.    1007.     494.     355.     469.    12061.
         1968     426.     609.     663.     591.     930.     986.    1394.    1378.     578.     613.     556.     185.     8909.
         1969     613.     901.     840.    2897.    1809.    2205.    5700.    5655.    1486.     888.     446.     291.    23731.
         1970     383.     623.     511.     450.     500.     624.     373.     403.     253.     385.     426.     164.     5095.
         1971     255.     527.     443.     415.     444.     457.     454.     611.     284.     175.     256.     101.     4422.
         1972     402.     468.    1086.     411.     455.     450.     363.     293.     493.     172.     211.     316.     5120.
         1973    1017.    1021.     770.     751.    1119.    1713.    3812.    7097.    2358.     540.     335.     213.    20746.
         1974     227.     379.     322.     343.     353.     379.     312.     261.     169.     155.      78.     126.     3104.
         1975     404.     452.     366.     326.     434.     626.     535.     882.     408.     294.     134.     114.     4975.
         1976     174.     177.     208.     151.     253.     253.     387.     400.     170.     175.      96.      77.     2521.
         1977     172.     170.     199.     236.     268.     214.     207.     285.     239.     185.     109.      67.     2351.
         1978     378.     475.     503.     814.    1710.    3731.    3057.    3498.    1032.     351.     202.     177.    15928.
         1979     527.    1564.    1152.     877.    1225.    3662.    5711.    8492.    2114.     448.     456.     258.    26486.
         1980     591.     941.     875.    1839.    6575.    3039.    4268.    5901.    3006.    1151.     733.     700.    29619.
         1981     461.     572.     539.     475.     564.     636.    1118.     637.     378.     341.     213.     173.     6107.
         1982     456.     490.     515.     533.     616.     854.    1422.    1322.     383.     305.     390.     256.     7542.
         1983     947.    1651.    1141.     818.    1598.    3486.    3416.    7325.    5036.    1110.    1032.     470.    28030.
         1984     711.     830.     888.     647.     736.     669.     844.     866.     436.     452.     333.     148.     7560.
         1985     426.     336.     659.     630.     632.     987.    2430.    1210.     623.     539.     122.     217.     8811.
         1986     449.     665.     604.     531.    1255.    1914.    1631.     649.     203.     190.     310.     164.     8565.
         1987     414.     353.     382.     358.     384.     924.     841.     594.     144.     325.     400.      89.     5208.
         1988     625.     782.     188.     474.     575.     763.    2860.    1474.    1028.     248.    1183.     106.    10306.
         1989     288.     282.     340.     456.     499.     905.     415.     265.      76.      38.     147.     163.     3874.
         1990     230.     315.     313.     328.     434.     558.     474.     200.     199.     127.     403.     558.     4139.
         1991     309.     383.     277.     296.     319.    1110.     656.     285.     134.      27.     322.     420.     4538.

         MEAN     426.     585.     610.     572.     838.    1019.    1516.    1669.     692.     336.     303.     204.     8769.

          PCT    4.86%    6.67%    6.95%    6.52%    9.56%   11.62%   17.29%   19.03%    7.89%    3.83%    3.45%    2.33%   100.00%

           SD     222.     315.     467.     423.     925.     885.    1443.    2187.     883.     251.     214.     149.     7072.

           CV     0.52     0.54     0.77     0.74     1.10     0.87     0.95     1.31     1.28     0.75     0.71     0.73      0.81

           FILE: .\09406150                                                                      
