

                        09406300 KANARRA CREEK AT KANARRAVILLE, UTAH              Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1959                                                                                                        107.
         1960     113.     102.      92.     108.      99.     143.     191.     168.     114.      99.     106.     105.     1440.
         1961     114.     117.     100.      86.      87.     138.     323.     213.     130.     195.     175.     316.     1994.
         1962     122.      92.     124.     108.     163.     147.     758.     577.     268.     191.     113.     130.     2793.
         1963     126.     116.     115.     115.     125.     132.     163.     186.     125.      93.     219.     114.     1629.
         1964     111.     119.     111.     101.      92.     123.     284.     481.     229.     157.     132.      93.     2033.
         1965     101.     114.     112.     113.     119.     129.     266.     747.     532.     276.     186.     151.     2846.
         1966     123.     165.     236.     168.     151.     250.     472.     373.     211.     153.     144.     112.     2558.
         1967     137.     120.     149.     179.     114.     151.     182.     617.     435.     226.     171.     255.     2736.
         1968     141.     125.     115.     114.     128.     204.     475.     972.     398.     224.     411.     128.     3435.
         1969     153.     145.     137.     344.     304.     201.     892.    2299.     485.     323.     245.     160.     5688.
         1970     152.     149.     154.     164.     153.     168.     192.     252.     166.     162.     157.     124.     1993.
         1971     115.     117.     115.     128.      92.     157.     246.     304.     211.     159.     330.     127.     2101.
         1972     128.      95.     192.     139.     121.     179.     154.     143.     138.     109.     110.     123.     1631.
         1973     256.     167.     184.     161.     143.     279.     977.    3719.    1023.     511.     520.     259.     8199.
         1974     168.     156.     161.     185.     155.     263.     341.     273.     191.     163.     133.     110.     2299.
         1975     119.     106.     107.     113.     107.     129.     154.     824.     367.     193.     263.     178.     2660.
         1976     160.     146.     135.     146.     140.     172.     414.     235.     175.     134.     110.     116.     2083.
         1977     161.     145.     109.     127.     113.     138.     214.     129.     102.      84.      84.      86.     1492.
         1978      80.      84.      90.      82.      70.     257.     634.    1416.     545.     289.     157.     148.     3852.
         1979     171.     144.     132.     135.     151.     401.     403.    2174.     780.     292.     235.     226.     5244.
         1980     145.     141.     167.     231.     220.     210.     816.    2112.     733.     265.     210.     211.     5461.
         1981     182.     179.     191.     188.     166.     186.     372.     321.     227.     154.     152.     150.     2468.
         1982     154.     152.     145.     126.     117.     181.     351.     583.     251.     168.     173.     139.     2540.
         1983

         MEAN     141.     130.     138.     146.     136.     189.     403.     831.     341.     201.     197.     153.     3008.

          PCT    4.67%    4.33%    4.59%    4.86%    4.52%    6.27%   13.41%   27.64%   11.33%    6.68%    6.56%    5.08%   100.00%

           SD      36.      26.      37.      56.      49.      66.     248.     918.     245.      95.     104.      59.     1662.

           CV     0.25     0.20     0.27     0.39     0.36     0.35     0.62     1.10     0.72     0.47     0.53     0.39      0.55

           FILE: .\09406300                                                                      
