

                        09408000 65-90 ACTUAL  41-64 LEEDS CREEK CORR. WINDSOR-ANN. VALUES REDIST & REDU

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1941     197.     188.     262.     228.     327.     485.     464.     548.     701.     589.     356.     234.     4579.
         1942     204.     196.     272.     237.     340.     504.     483.     569.     729.     612.     370.     244.     4760.
         1943     187.     179.     249.     217.     310.     460.     441.     520.     665.     559.     338.     223.     4348.
         1944     130.     124.     173.     151.     216.     320.     307.     361.     462.     389.     235.     155.     3023.
         1945     226.     215.     300.     261.     374.     554.     531.     626.     802.     675.     407.     268.     5239.
         1946     136.     130.     181.     158.     226.     334.     320.     378.     484.     407.     246.     162.     3162.
         1947     193.     185.     258.     225.     321.     476.     456.     538.     688.     580.     350.     231.     4501.
         1948     148.     142.     196.     172.     245.     364.     349.     411.     526.     442.     267.     176.     3438.
         1949      99.      95.     132.     115.     165.     245.     234.     277.     354.     298.     180.     118.     2312.
         1950     278.     266.     370.     323.     461.     684.     656.     772.     989.     832.     502.     331.     6464.
         1951     129.     123.     172.     150.     215.     318.     305.     359.     460.     387.     234.     154.     3006.
         1952     137.     131.     181.     158.     226.     336.     321.     379.     485.     408.     247.     162.     3171.
         1953     123.     117.     163.     142.     204.     301.     289.     340.     436.     366.     221.     146.     2848.
         1954      91.      86.     120.     105.     150.     222.     213.     251.     321.     270.     164.     107.     2100.
         1955     101.      96.     134.     117.     167.     247.     237.     280.     358.     301.     182.     120.     2340.
         1956     301.     288.     401.     350.     500.     741.     710.     837.    1072.     902.     544.     358.     7004.
         1957     111.     106.     147.     128.     184.     273.     261.     308.     395.     332.     201.     132.     2578.
         1958     100.      96.     134.     117.     166.     247.     237.     279.     357.     300.     181.     120.     2334.
         1959      96.      91.     128.     111.     159.     236.     226.     266.     341.     287.     173.     114.     2228.
         1960     140.     134.     186.     162.     232.     345.     330.     389.     498.     419.     253.     166.     3254.
         1961      80.      76.     105.      92.     131.     195.     187.     220.     282.     237.     143.      94.     1842.
         1962      87.      83.     115.     101.     145.     214.     205.     242.     310.     260.     157.     104.     2023.
         1963     142.     135.     188.     164.     235.     348.     334.     393.     503.     423.     256.     169.     3290.
         1964     137.     131.     183.     160.     228.     339.     324.     383.     489.     412.     248.     164.     3198.
         1965     152.     145.     149.     147.     141.     168.     605.     609.     739.     831.     536.     283.     4505.
         1966     227.     360.     535.     437.     296.     389.     438.     511.     532.     314.     186.     159.     4384.
         1967     176.     181.    1635.     351.     321.     279.     310.     355.     673.     589.     684.     511.     6065.
         1968     337.     289.     266.     258.     360.     492.     448.     440.     680.     571.     420.     232.     4793.
         1969     216.     203.     183.     734.     369.     976.    1972.    1763.    2164.    1430.     719.     430.    11159.
         1970     349.     281.     225.     176.     181.     239.     211.     212.     190.     209.     194.     138.     2605.
         1971     126.     147.     162.     168.     172.     188.     154.     208.     298.     354.     427.     215.     2619.
         1972     184.     136.     433.     240.     190.     178.     174.     150.     144.     153.     112.     103.     2197.
         1973     151.     218.     286.     331.     394.     602.    1026.    1611.    2265.    1436.     687.     433.     9440.
         1974     337.     290.     272.     267.     234.     253.     219.     183.     142.     134.     118.     108.     2557.
         1975     132.     177.     171.     159.     170.     251.     266.     306.     486.     543.     337.     229.     3227.
         1976     177.     202.     181.     157.     226.     231.     244.     309.     320.     250.     185.     169.     2651.
         1977     163.     152.     125.     173.     137.     151.     119.     142.     128.      93.     100.     109.     1592.
         1978     147.     110.     124.     172.     264.    1587.     670.    1224.    1860.    1478.     593.     381.     8610.
         1979     334.     327.     360.     329.     347.    1683.    1208.    1355.    2017.    1408.     716.     413.    10497.
         1980     332.     286.     272.     466.    2989.    1295.    1341.    1523.    1430.    1785.     873.     537.    13129.
         1981     414.     335.     285.     252.     222.     295.     373.     420.     400.     272.     192.     167.     3627.
         1982     170.     160.     161.     155.     157.     244.     326.     443.     548.     409.     362.     276.     3411.
         1983     205.     214.     279.     318.     610.    2233.    1111.    1505.    2095.    2108.    1188.     746.    12612.
         1984     564.     462.     403.     388.     344.     296.     312.     320.     284.     265.     213.     184.     4035.
         1985     212.     211.     236.     270.     272.     332.     423.     523.     586.     407.     244.     192.     3908.
         1986     198.     203.     221.     219.     256.     391.     488.     479.     501.     434.     439.     297.     4126.
         1987     363.     222.     192.     198.     183.     297.     387.     576.     458.     444.     439.     222.     3981.
         1988     225.     640.     299.     302.     388.     457.     638.    1035.    1180.     553.    1331.     358.     7406.
         1989     295.     284.     291.     292.     229.     302.     262.     273.     224.     168.     155.     114.     2889.
         1990     141.     133.     147.     144.     133.     167.     165.     142.     173.     144.     157.     135.     1781.
         1991     142.     158.     124.     134.     129.     259.     466.     359.     531.     493.     291.     234.     3320.
         1992     188.     179.     161.     187.     302.     745.     785.     902.     944.     547.     357.     283.     5580.
         1993     261.     238.     231.     747.    1018.    1750.    1912.    1761.    1882.    1438.     805.     465.    12508.
         1994     454.     378.     344.     301.     290.     401.     444.     521.     514.     308.     264.     210.     4429.
         1995     218.     212.     229.     358.     606.    1591.    1039.    1079.    1434.    1862.     928.     516.    10072.
         1996     389.     343.     302.     263.     263.     313.     300.     228.     152.     180.     139.     134.     3006.
         1997     147.     202.     216.     412.     317.     347.     358.     393.     465.     303.     219.     249.     3628.
         1998     213.     222.     234.     251.     332.     803.    1142.    1367.    1321.    1690.     847.     560.     8982.
         1999     467.     431.     372.     325.     270.     261.     252.     245.     324.     365.     254.     190.     3756.
         2000     173.     169.     203.     174.     184.     353.     380.     472.     457.     291.     199.     177.     3232.

         MEAN     209.     205.     251.     240.     320.     493.     490.     565.     687.     582.     373.     240.     4656.

          PCT    4.49%    4.41%    5.39%    5.15%    6.88%   10.59%   10.52%   12.12%   14.77%   12.51%    8.01%    5.16%   100.00%

           SD     105.     105.     203.     131.     379.     444.     389.     429.     546.     481.     267.     139.     2929.

           CV     0.50     0.51     0.81     0.54     1.18     0.90     0.79     0.76     0.79     0.83     0.72     0.58      0.63

           FILE: .\09408000                                                                      
