

                                    09408150 VIRGIN RIVER NR HURRICANE UTAH                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1967    6670.    9730.   52030.   10190.    9680.   10700.   13500.   24900.   10890.    7500.    7930.   15290.   179010.
         1968    6170.    8280.   10070.   10670.   14440.   16810.   24170.   21140.    6850.    6790.   11470.    4360.   141220.
         1969    5830.    6990.    8930.   35470.   17600.   29500.   72460.   76000.   17860.    9790.    7370.    7550.   295350.
         1970    8470.   11350.   12390.   11530.    9420.   11670.    6500.    8480.    5100.    6410.    9470.    5900.   106690.
         1971    5270.   10750.   10910.   10900.   10010.    9990.    7290.   14160.    5460.    5160.   10800.    4150.   104850.
         1972    8390.    8510.   27020.   10540.    9150.    9170.    5570.    4450.    8940.    2850.    6270.   15090.   115950.
         1973   12520.   10130.    9890.   10690.   12650.   23130.   48440.   93910.   27420.    6740.    6030.    4520.   266070.
         1974    5630.    8900.    9630.   11400.    9270.   10350.    6640.    5740.    3490.    4640.    4710.    7790.    88190.
         1975    8680.    8430.    8570.    8680.    8950.   14100.    9390.   18970.    7910.    7140.    4640.    4610.   110070.
         1976    4410.    4940.    6630.    5750.    7200.    6800.    9920.   11160.    3730.    5600.    4420.    3810.    74370.
         1977    4570.    4915.    6555.    9057.    7928.    5704.    3717.    7061.    6282.    6292.    5167.    3380.    70628.
         1978    4080.    5690.    7100.   12880.   22040.   72460.   42660.   49640.   12260.    5020.    4360.    4340.   242530.
         1979    5440.   12950.   12720.   11880.   12460.   56450.   53120.   73460.   22810.    6700.    7820.    4380.   280190.
         1980    6100.    8780.    9390.   21840.   69040.   35010.   60570.   89630.   32720.   14920.    9950.   15930.   373880.
         1981   10240.   10630.   11430.   10390.   10570.   15490.   22780.   13440.    6530.    8160.    7260.    6690.   133610.
         1982    9480.    8100.   11020.   11790.   11790.   17380.   22020.   24020.    5820.    5240.   10630.   10630.   147920.
         1983    7100.   11300.   21500.   12800.   16800.   47000.   42900.  101900.   51700.   15300.   19400.   10000.   357700.
         1984   13330.   13520.   17770.   15470.   12700.   12460.   16310.   14990.    6020.   11080.   12230.    7260.   153140.
         1985    9000.    9770.   12640.   12090.   11160.   16610.   37920.   14080.    5760.    7160.    5330.    4710.   146230.
         1986    3800.    8420.   10070.   10810.   12330.   16120.   15350.   11250.    9620.    6310.    6250.   15120.   125450.
         1987   18700.    8800.    3160.    4280.    4750.    6700.   14270.   10760.    6480.    7250.    6510.    4560.    96220.
         1988    5680.   16640.    5800.   10380.   10580.   11580.   28250.   24350.    8380.    5480.   12630.    9770.   149520.
         1989    4360.    4830.   11800.   40680.
         1991    3332.    3358.    3606.    3622.    3320.    6932.    5060.    5030.    4399.    4451.    4786.    4405.    52301.
         1992    5010.    4350.    5750.    6010.    8570.   18210.   22710.   13560.    4780.    5200.    7990.    5950.   108090.
         1993    9180.    6940.    7070.   27500.   43030.   52220.   73170.   79450.   17860.    8070.    7010.    7800.   339300.
         1994   10450.   10340.   15490.    9060.   10310.   11420.   12650.   12110.    5240.    4460.    5500.    6270.   113300.
         1995   10160.    7910.    9510.   11700.   14110.   49800.   29250.   59810.   30910.   10150.    7230.    7180.   247720.
         1996    5950.   10790.   11250.    8560.   15720.   10950.    6170.    5320.    3860.    4910.    4430.    4110.    92020.
         1997    5750.    8590.    7540.   17030.    9580.    9440.   10200.    7780.    4530.    4630.    7620.   17210.   109900.
         1998    9390.    6490.    7040.    7950.   10400.   21870.   33910.   53260.   19580.   13010.    5940.   19630.   208470.
         1999    9390.   10520.   11980.    9930.    9340.    6050.    8080.   10800.    6120.    8510.    9100.    6740.   106560.
         2000    5520.    4580.    4580.    5550.    8730.   14730.   17740.    9180.    4630.    4030.    4860.    4210.    88340.

         MEAN    7517.    8673.   11541.   12639.   13863.   20525.   24459.   30306.   11686.    7155.    7660.    7917.   163275.

          PCT    4.60%    5.31%    7.07%    7.74%    8.49%   12.57%   14.98%   18.56%    7.16%    4.38%    4.69%    4.85%   100.00%

           SD    3245.    2904.    8741.    8024.   12102.   17008.   19894.   30478.   10950.    3008.    3219.    4577.    89273.

           CV     0.43     0.33     0.76     0.63     0.87     0.83     0.81     1.01     0.94     0.42     0.42     0.58      0.55

           FILE: .\09408150                                                                      
