

                                    09408195 FORT PIERCE WASH NEAR ST. GEORGE, UTAH           Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1985      50.       1.      10.       9.       3.       6.       5.       1.       0.       1.       0.       0.       85.
         1986      30.       0.       0.       0.       5.       5.       0.       0.       0.       2.       1.       6.       49.
         1987      64.       0.       0.       0.       0.       0.       0.      27.       0.     103.      63.      41.      298.
         1988      17.      30.       0.       0.       0.       0.      21.       0.     105.      36.      72.       0.      281.
         1989       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.     215.       0.      215.

         MEAN      32.       6.       2.       2.       2.       2.       5.       6.      21.      28.      70.       9.      186.

          PCT   17.35%    3.33%    1.08%    0.96%    0.93%    1.11%    2.77%    2.96%   11.36%   15.27%   37.87%    5.01%   100.00%

           SD      25.      13.       4.       4.       2.       3.       9.      12.      47.      44.      88.      18.      113.

           CV     0.79     2.16     2.24     2.24     1.44     1.37     1.77     2.19     2.23     1.57     1.25     1.92      0.61

           FILE: .\09408195                                                                      
