

                        09408400 SANTA CLARA RIVER NEAR PINE VALLEY, UT           Acre-Feet             

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1959                                                                                                95.      63.
         1960      70.      87.      82.      91.      93.     362.     899.    1190.     553.     208.     162.     140.     3937.
         1961     166.     791.     224.     131.      94.     189.     805.     808.     282.     156.     186.     132.     3964.
         1962     116.     105.     115.      94.     214.     309.    2062.    1698.     922.     420.     222.     167.     6444.
         1963     158.     131.     119.     118.     117.     131.     263.     604.     156.      74.     115.     280.     2266.
         1964     118.     121.     103.      85.      78.     106.     447.    1759.     653.     239.     176.     114.     3999.
         1965     105.      96.     103.     109.     112.     131.    1047.    2346.    2333.     867.     404.     264.     7917.
         1966     210.     329.     336.     238.     151.     559.    1178.    1456.     566.     277.     192.     156.     5648.
         1967     153.     128.    1861.     275.     230.     323.     535.    2046.    1511.     691.     774.     550.     9077.
         1968     346.     247.     232.     208.     262.     468.     829.    1876.    1285.     536.     336.     202.     6827.
         1969     182.     158.     135.     270.     269.     490.    2584.    6071.    3731.    1817.     764.     385.    16856.
         1970     276.     239.     203.     164.     135.     199.     248.     841.     304.     199.     139.      99.     3046.
         1971     101.     104.     107.     120.     100.     177.     365.     846.     533.     236.     241.     145.     3075.
         1972     149.     157.     501.     203.     121.     410.     396.     485.     305.     175.     126.     141.     3169.
         1973     768.     339.     301.     286.     237.     338.    1841.    7509.    5798.    1864.     865.     469.    20615.
         1974     333.     258.     228.     200.     148.     295.     560.     629.     202.     142.     105.      85.     3185.
         1975     109.     137.     144.     139.     106.     283.     530.    1976.    1874.     523.     263.     186.     6270.
         1976     169.     160.     162.     133.     253.     252.     584.    1303.     357.     245.     167.     175.     3960.
         1977     168.     123.     100.      79.      77.      74.      99.     372.     324.     101.      90.      61.     1668.
         1978      51.      57.      62.      70.     195.     937.    1825.    4280.    4013.    1416.     676.     373.    13955.
         1979     295.     321.     318.     312.     304.     587.    2074.    5566.    3737.    1299.     754.     379.    15946.
         1980     292.     265.     216.     227.     432.     433.    1841.    3792.    3943.    1880.     895.     499.    14715.
         1981     343.     250.     201.     169.     136.     243.    1192.    1023.     484.     263.     185.     153.     4642.
         1982     142.     110.     102.     104.     121.     254.    1086.    2227.     796.     389.     368.     269.     5968.
         1983     255.     252.     290.     238.     233.     805.    1308.    5310.    7490.    2947.    1424.     722.    21274.
         1984     628.     386.     361.     296.     212.     307.     819.     700.     326.     269.     215.     133.     4652.
         1985     142.     128.     125.     139.     128.     233.    1323.    1386.     525.     333.     215.     162.     4839.
         1986     166.     156.     165.     134.     204.     642.    1031.     948.     502.     282.     187.     170.     4587.
         1987     206.     159.     138.     104.      92.     214.    1122.    1408.     475.     254.     167.     115.     4454.
         1988     156.    1271.     339.     244.     252.     480.    1574.    3126.    1509.     795.     492.     289.    10527.
         1989     217.     188.     166.     160.     149.     461.     595.     309.     176.     128.      98.      72.     2719.
         1990      66.      64.      75.      68.      38.     161.     521.     506.     338.     140.      82.      88.     2147.
         1991     105.      82.      68.      83.      71.     185.     461.    1004.     861.     310.     196.     160.     3586.
         1992     124.     128.      92.     139.     216.     514.    1777.    2467.    1135.     557.     284.     200.     7633.
         1993     196.     165.     130.     133.     162.     972.    1892.    5064.    2916.    1442.     745.     382.    14199.
         1994     309.     251.     219.     192.     196.     420.     830.    1198.     530.     260.     200.     139.     4744.
         1995     148.     144.     157.     178.     460.    1525.    1244.    3146.    5105.    2836.    1144.     576.    16663.
         1996     373.     264.     220.     187.     195.     266.     324.     282.     125.     121.      79.      70.     2506.
         1997      68.     218.     149.     205.     186.     392.     647.    1017.     339.     211.     185.     376.     3993.
         1998     266.     169.     152.     145.     167.     696.    1140.    3197.    3213.    2132.     952.     618.    12847.
         1999     377.     351.     256.     186.     171.     193.     327.     683.     812.     356.     215.     151.     4078.
         2000     139.     132.     120.      85.      96.     365.    1201.    1248.     422.     232.     201.     162.     4403.

         MEAN     214.     225.     224.     164.     176.     400.    1010.    2042.    1499.     674.     366.     240.     7244.

          PCT    2.95%    3.10%    3.09%    2.27%    2.43%    5.52%   13.95%   28.18%   20.69%    9.30%    5.06%    3.31%   100.00%

           SD     143.     210.     279.      68.      89.     279.     606.    1765.    1768.     759.     330.     167.     5367.

           CV     0.67     0.93     1.24     0.41     0.50     0.70     0.60     0.86     1.18     1.13     0.90     0.70      0.74

           FILE: .\09408400                                                                      
