

                        09409880 SANTA CLARA RIV @ GUNLOCK 70-90 (09410000 W 09409000) * 0.90 1941-1969 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1941     455.     500.     763.     826.     820.    3129.    2532.    5664.    3260.    1852.    1863.    1023.    22687.
         1942    1317.    1474.    1998.    1483.    1607.    2995.    3787.    2079.    1470.     967.    1094.     785.    21056.
         1943    1008.    1107.    1179.    1332.    2178.    3951.    2457.    2061.    1170.     695.     990.     775.    18903.
         1944     889.     859.    1242.    1197.    1224.    3465.    2817.    2853.    2466.    1251.     826.     730.    19819.
         1945     791.    1125.    1206.    1170.    1764.    2754.    2493.    2241.    1404.    1035.    1116.     630.    17729.
         1946    1215.    1125.    1260.    1278.    1215.    1062.     918.     782.     454.     545.     761.     422.    11037.
         1947    2907.    3573.    3024.    1557.    1233.    1305.    1476.    3141.    1620.     842.     927.     626.    22231.
         1948     766.     868.    1044.     990.     878.     963.    1809.    1476.    1098.     553.     744.     563.    11752.
         1949     624.     784.     839.     781.     909.    2718.    3249.    2961.    2340.    1341.     963.     999.    18508.
         1950    1098.    1305.    1287.    1476.    1611.    1422.    1269.    1080.     812.     842.     462.     478.    13142.
         1951     531.     653.     732.     808.     683.     777.     691.     896.     587.     299.     445.     362.     7464.
         1952     500.     680.    1050.     700.     820.    3080.   10030.    4950.    2880.    1490.    1220.    1040.    28440.
         1953     936.    1089.    1143.    1098.     981.     945.     823.     839.     619.     486.    1485.     526.    10970.
         1954     565.     635.     793.    1080.     811.    2142.    1746.    1449.     716.     647.     546.     664.    11794.
         1955     600.     752.     869.     954.    1035.     918.     654.     896.     619.     909.    1665.     295.    10166.
         1956     329.     563.     770.     927.     667.     629.     559.     506.     297.     656.     276.     209.     6388.
         1957     286.     366.     461.     614.    1035.     578.     497.    1089.    1350.     649.     376.     282.     7583.
         1958     894.    1125.    1575.     719.    1449.    5742.    7083.    6939.    2331.    1260.    1017.     999.    31133.
         1959     963.    1035.    1071.    1026.     954.     833.     705.     623.     401.     293.     481.     428.     8813.
         1960     455.     431.     771.     819.     797.    1116.     963.     896.     630.     272.     165.     252.     7567.
         1961     345.     880.     752.     599.     473.     725.     828.     753.     423.     165.     328.     761.     7032.
         1962     381.     453.     707.     605.    3195.    2007.    1215.    1215.     830.     438.     239.     927.    12212.
         1963     469.     395.     545.     713.     536.     422.     474.     550.     261.     162.     238.     328.     5093.
         1964     257.     369.     497.     529.     358.     525.     963.     990.     629.     250.     391.     233.     5991.
         1965     231.     257.     413.     424.     415.     597.    3330.    1467.    1458.     761.     508.     408.    10269.
         1966     356.     886.    1998.     981.     676.     918.     972.    1125.     624.     300.     356.     274.     9466.
         1967     293.     392.    7821.     802.     877.     828.     927.    1359.    1422.     909.    1071.    1197.    17898.
         1968     945.     686.     700.     823.    1593.    1800.    1098.    1287.     963.     842.     744.     335.    11816.
         1969     439.     702.     748.    2934.    3843.    5958.    8379.    6525.    3672.    1665.    1339.    1058.    37262.
         1970     912.    1148.    1129.    1119.     653.     813.     588.     793.     630.     320.     352.     336.     8793.
         1971     315.     626.     811.     730.     552.     497.     506.    1152.     870.     277.     484.     432.     7252.
         1972     392.     785.    1238.     291.     443.     694.     672.     511.     288.     263.     303.     387.     6267.
         1973     920.    1240.     910.     830.    1960.    3560.    8910.   13640.    8210.    1800.    1430.    1000.    44410.
         1974    1069.    1172.    1315.    1067.    1162.    1294.    1222.    1081.     363.     565.     531.     290.    11131.
         1975     518.     642.     679.     637.     714.    1603.    1337.    1154.     965.     566.     356.     474.     9645.
         1976     416.     697.     686.     772.    1458.     848.     687.    1305.     605.     560.     247.     218.     8499.
         1977     592.     627.     736.     688.     586.     514.     360.     434.     302.     167.     205.     299.     5510.
         1978     352.     368.     475.     737.    1577.    3804.    3786.    4826.    2751.     823.     881.     740.    21120.
         1979     840.    1230.    1350.     820.    3520.   13000.    6830.    7420.    6260.     390.     430.     260.    42350.
         1980     430.     550.     490.    5860.   21410.    7770.    8870.    6840.    4970.    2340.    1880.    1580.    62990.
         1981    1714.    1839.    1601.    1180.    1236.    2055.    1944.    1797.    1042.     557.     453.     325.    15743.
         1982     938.    1212.    1240.     718.     740.    2428.    1952.    2041.    1343.     785.     547.     664.    14608.
         1983     860.    1250.    1150.     590.    2520.   10410.    5000.    7380.    7650.    1470.    1160.     930.    40370.
         1984    1720.    1392.    1505.    1361.    1041.    1039.    1077.     614.     346.     904.     737.     697.    12433.
         1985     645.     976.     839.     731.     669.    1103.    1081.     889.     378.     407.     344.     312.     8374.
         1986     416.     630.     789.     525.     586.     823.     736.     689.     674.     671.     388.     342.     7269.
         1987     692.     862.     769.     702.     505.     620.     707.     837.     681.     412.     401.     282.     7470.
         1988     492.    1339.    1184.    1091.    1023.     902.    3820.    2977.    1291.     922.     909.     584.    16534.
         1989     418.     651.     821.     837.     456.     981.     540.     316.     427.     272.     191.     234.     6144.
         1990     270.     344.     517.     482.     468.     536.     459.     664.     634.     278.     323.     166.     5141.

         MEAN     715.     893.    1150.    1020.    1558.    2192.    2317.    2321.    1550.     743.     704.     563.    15725.

          PCT    4.55%    5.68%    7.31%    6.49%    9.91%   13.94%   14.73%   14.76%    9.85%    4.72%    4.48%    3.58%   100.00%

           SD     473.     523.    1070.     808.    2967.    2522.    2520.    2599.    1789.     492.     451.     318.    12030.

           CV     0.66     0.59     0.93     0.79     1.90     1.15     1.09     1.12     1.15     0.66     0.64     0.56      0.76

           FILE: .\09409880                                                                      
