

                                    09410000 SANTA CLARA RIVER AB WINSOR DAM NR SANTA CLARA U Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1942                                                          2842.    2323.    1960.    1273.    1416.     851.
         1943    1125.    1226.    1311.    1478.    2422.    4387.    2733.    2291.    1301.     772.    1103.     861.    21010.
         1944     988.     954.    1379.    1327.    1357.    3850.    3134.    3166.    2741.    1392.     918.     811.    22017.
         1945     879.    1248.    1341.    1297.    1960.    3062.    2767.    2489.    1559.    1154.    1244.     700.    19700.
         1946    1343.    1246.    1402.    1418.    1355.    1176.    1017.     869.     504.     605.     846.     469.    12250.
         1947    3227.    3969.    3356.    1730.    1369.    1452.    1642.    3489.    1801.     936.    1025.     696.    24692.
         1948     851.     964.    1158.    1097.     976.    1065.    2011.    1644.    1220.     614.     827.     625.    13052.
         1949     693.     871.     932.     868.    1013.    3025.    3612.    3289.    2596.    1490.    1065.    1093.    20547.
         1950    1224.    1448.    1426.    1642.    1791.    1585.    1406.    1202.     902.     935.     513.     531.    14605.
         1951     590.     726.     813.     898.     759.     863.     768.     996.     652.     332.     494.     402.     8293.
         1952     560.     750.    1170.     780.     910.    3420.   11140.    5500.    3200.    1650.    1350.    1150.    31580.
         1953    1037.    1210.    1273.    1222.    1093.    1047.     914.     932.     688.     540.    1652.     584.    12192.
         1954     628.     705.     881.    1204.     900.    2384.    1942.    1613.     795.     719.     607.     738.    13116.
         1955     667.     835.     966.    1059.    1148.    1023.     727.     996.     688.    1009.    1854.     328.    11300.
         1956     366.     625.     855.    1031.     741.     699.     621.     562.     330.     729.     307.     232.     7098.
         1957     318.     407.     512.     682.    1152.     642.     552.    1210.    1503.     721.     418.     313.     8430.
         1958     993.    1250.    1747.     799.    1611.    6381.    7874.    7708.    2594.    1398.    1127.    1111.    34593.
         1959    1071.    1150.    1190.    1139.    1059.     926.     783.     692.     446.     325.     534.     476.     9791.
         1960     505.     479.     857.     910.     885.    1240.    1067.     996.     700.     302.     183.     280.     8404.
         1961     383.     978.     835.     666.     526.     805.     920.     837.     470.     183.     364.     845.     7812.
         1962     423.     503.     786.     672.    3552.    2231.    1351.    1355.     922.     487.     266.    1030.    13578.
         1963     521.     439.     605.     792.     596.     469.     527.     611.     290.     180.     264.     364.     5658.
         1964     285.     410.     552.     588.     398.     583.    1073.    1097.     699.     278.     434.     259.     6656.
         1965     257.     286.     459.     471.     461.     663.    3701.    1634.    1619.     845.     564.     453.    11413.
         1966     396.     984.    2216.    1095.     751.    1016.    1075.    1248.     693.     333.     395.     304.    10506.
         1967     325.     435.    8690.     891.     974.     920.    1031.    1513.    1585.    1012.    1192.    1327.    19895.
         1968    1049.     762.     778.     914.    1773.    1999.    1220.    1426.    1073.     936.     827.     372.    13129.
         1969     488.     780.     831.    3261.    4266.    6623.    9306.    7250.    4078.    1853.    1470.    1874.    42080.
         1970    1283.    1337.    1398.    1263.     750.     796.     745.     916.     754.     313.     473.     454.    10482.
         1971     136.      94.     366.     144.     138.     938.     793.     867.    1049.    1256.    1102.     733.     7616.
         1972

         MEAN     780.     933.    1382.    1081.    1265.    1906.    2310.    2024.    1314.     819.     828.     676.    15224.

          PCT    5.12%    6.13%    9.08%    7.10%    8.31%   12.52%   15.17%   13.30%    8.63%    5.38%    5.44%    4.44%   100.00%

           SD     583.     681.    1524.     546.     890.    1653.    2622.    1829.     928.     460.     455.     376.     8918.

           CV     0.75     0.73     1.10     0.51     0.70     0.87     1.14     0.90     0.71     0.56     0.55     0.56      0.59

           FILE: .\09410000                                                                      
