

                                    09410100 SANTA CLARA RIVER BLW WINSOR DAM NR SANTA CLARA  Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1972                       140.       2.     264.     875.     597.     797.     674.     525.     248.     306.
         1973       7.       6.      11.      63.     146.     121.    5121.    9677.    6732.    1315.    1180.    1061.    25440.
         1974     257.     209.      83.     818.     291.     512.     697.     673.     864.     978.     942.    1027.     7351.
         1975     167.       1.       6.       0.       0.     469.     776.     966.     809.     719.     972.     668.     5553.
         1976      25.     497.      13.      81.     156.     551.     700.     926.     996.     754.     645.     376.     5720.
         1977       8.     308.      74.      91.     168.       8.     362.     311.     735.     668.     549.       0.     3282.
         1978       0.       0.       0.      50.    4020.    6630.   10030.    4760.    2680.    1070.    1540.     770.    31550.
         1979     291.      21.      70.     450.    4288.    9425.    8071.    7033.    5318.    1533.    1367.     970.    38837.
         1980     290.     870.     160.    9730.   21040.    9170.    8120.    5490.    4650.    2100.    2080.    1730.    65430.
         1981    1022.    1212.    1337.    1144.    1281.    2258.    3390.    1020.    1020.    1117.    1043.     914.    16758.
         1982      51.     429.      70.       5.     212.    2172.    1112.    1388.    1418.    1219.     950.     566.     9592.
         1983     100.     480.     400.     570.    3460.   14190.    6220.    7210.    9980.    2840.    1640.    1490.    48580.
         1984    1664.    2597.    2166.    2110.    1392.     958.    1228.    1148.    1216.    1343.    1297.    1079.    18198.
         1985      66.     138.      18.      36.     286.    1152.    1115.     739.     893.    1137.     844.     583.     7007.
         1986     129.      88.      12.      57.     205.     533.    1139.    1076.     777.     889.     750.     302.     5957.
         1987       0.       2.       6.       6.      14.       9.     848.     936.     740.     750.     671.     382.     4364.
         1988       6.     167.       1.      62.      77.     334.    2049.    2945.     908.    1002.     740.     541.     8832.
         1989      66.     262.      36.      38.      76.     541.     657.     683.     604.     634.     422.     186.     4205.
         1990       0.       0.       0.      25.      45.     650.     677.     714.     523.      55.      20.      11.     2720.

         MEAN     231.     405.     242.     807.    1970.    2661.    2785.    2552.    2186.    1087.     942.     682.    17188.

          PCT    1.34%    2.36%    1.41%    4.70%   11.46%   15.48%   16.20%   14.85%   12.72%    6.32%    5.48%    3.97%   100.00%

           SD     431.     639.     557.    2227.    4828.    4072.    3108.    2825.    2609.     606.     501.     471.    18009.

           CV     1.87     1.58     2.30     2.76     2.45     1.53     1.12     1.11     1.19     0.56     0.53     0.69      1.05

           FILE: .\09410100                                                                      
