

                                    09413000 SANTA CLARA RIV AT ST GEORGE UT                  Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1951      24.     197.     300.     249.     106.     301.     102.     129.      61.     217.     474.     306.     2466.
         1952      66.      82.     693.     969.     595.    2756.    8095.    2340.    1105.     236.     115.     200.    17252.
         1953     366.     755.     889.     850.     403.     275.     218.     172.      38.      26.     488.      17.     4497.
         1954      34.     152.     520.     646.     567.    2196.     809.     242.     135.     184.     103.     214.     5802.
         1955      62.     291.     643.     497.     572.     409.     109.     103.      61.     532.    2384.      44.     5707.
         1956      28.     177.     394.     618.     484.     164.      99.     120.     241.     255.       3.      20.     2603.
         1985                       352.     338.     310.     854.     598.     395.     377.     522.     344.     423.
         1986     355.     457.     400.     260.     231.     429.     563.     361.     192.     175.     275.     393.     4091.
         1987     353.     306.     298.     260.     167.     184.     188.     183.     187.     158.     139.     137.     2560.
         1988     244.     466.     173.     227.     185.     304.    1274.    2324.     453.     308.     840.     259.     7057.
         1989     271.     336.     273.     277.     252.     274.     216.     194.     117.     102.     216.     148.     2676.
         1990      53.      40.      87.     110.      91.     121.      96.      67.      18.      22.     333.     109.     1147.
         1991      14.      35.      61.      50.      44.      89.      89.      90.      47.      80.      22.     236.      857.
         1992      52.      44.      56.      54.     114.    2395.    1686.     358.     132.     192.     588.     261.     5932.
         1993     630.     190.     400.    7860.    7560.   10890.    4490.    4970.    2260.     350.     710.     250.    40560.

         MEAN     182.     252.     369.     884.     779.    1443.    1242.     803.     362.     224.     469.     201.     7372.

          PCT    2.47%    3.42%    5.01%   12.00%   10.56%   19.57%   16.85%   10.90%    4.91%    3.04%    6.36%    2.73%   100.00%

           SD     189.     204.     240.    1950.    1885.    2765.    2212.    1377.     592.     154.     585.     124.    10373.

           CV     1.04     0.81     0.65     2.20     2.42     1.92     1.78     1.71     1.64     0.69     1.25     0.62      1.41

           FILE: .\09413000                                                                      
