

                                    09413200 VIRGIN RIVER NEAR BLOOMINGTON, UT                Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1978    3740.    6100.    7240.   12410.   21520.   57720.   39670.   36060.    7060.    1840.    2150.    1910.   197420.
         1979    4250.   14730.   14640.   14640.   17600.   53670.   62680.   84320.   21560.    7180.    6900.    2120.   304290.
         1980    5200.   10000.   12100.   35600.   94400.   45000.   70100.  109900.   33100.   12500.    8600.   19400.   455900.
         1981    6940.   10980.   12330.   10860.   11300.   19290.   19750.   11290.    3390.    5400.    6000.    4030.   121560.
         1982   10480.    9170.   11410.   12520.   11240.   18580.   19390.   20050.    4030.    4820.   15110.    9020.   145820.
         1983    9100.   16800.   18300.   15100.   19600.   56900.   42300.  113100.   68200.   12700.   11000.   11500.   394600.
         1984   19800.   17040.   21550.   17070.   13450.   11510.   14560.   12480.    3080.   14980.    8670.    5030.   159220.
         1985    9690.    8510.   14170.   14650.   12220.   16990.   40030.   12420.    2630.    4380.    2300.    3210.   141200.
         1986    4670.   10430.   12490.   11650.   11530.   13470.   13430.    4640.    3760.    2550.    2560.    4180.    95360.
         1987   19360.   10040.    4980.    5740.    5250.    6840.   12010.    8610.    3560.    9550.   11510.    2800.   100250.
         1988    3110.   12920.    7580.   10580.   11370.   10910.   27600.   24330.    8790.    2550.   11480.    6110.   137330.
         1989    4250.    5160.    9100.   42750.   10250.   12630.    5350.    2430.    1650.    1810.    6390.    3490.   105260.
         1990    2737.    8456.    9580.    9174.    6065.    3003.    2811.    1813.    1357.    1261.    3386.    6129.    55772.
         1991    2730.    3060.    4390.    3980.    3120.   11250.    3720.    3290.    2250.    1540.    1550.    3290.    44170.
         1992    4240.    5290.    7400.    7460.    9880.   22940.   23270.   12350.    2290.    2220.    4050.    3670.   105060.
         1993    9060.    9280.    8430.   33400.   47230.   63000.   79440.   84240.   19520.    5110.    5770.    5120.   369600.
         1994   10320.   10450.   16480.    8910.   12510.   12480.   11810.   11040.    2600.    2170.    3450.    4540.   106760.
         1995    9660.    9350.   11190.   13920.   18010.   69130.   34540.   65620.   34380.    9620.    6370.    8300.   290090.
         1996    5430.   13320.   11940.    9700.   16360.   10610.    5350.    3690.    1310.    2390.    1560.    1890.    83550.
         1997    5960.   10480.   10210.   19880.   12760.    9420.    9670.    5390.    1510.    1120.    5810.   16480.   108690.
         1998

         MEAN    7536.   10078.   11276.   15500.   18283.   26267.   26874.   31353.   11301.    5285.    6231.    6111.   176095.

          PCT    4.28%    5.72%    6.40%    8.80%   10.38%   14.92%   15.26%   17.80%    6.42%    3.00%    3.54%    3.47%   100.00%

           SD    4889.    3659.    4318.   10212.   20063.   21870.   22694.   37617.   16927.    4332.    3835.    4761.   119734.

           CV     0.65     0.36     0.38     0.66     1.10     0.83     0.84     1.20     1.50     0.82     0.62     0.78      0.68

           FILE: .\09413200                                                                      
