

                                    09415000  VIRGIN R AT LITTLEFIELD, AZ                     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1930    5350.    7580.    9050.   13790.   14540.    9900.    8530.   28050.    6670.    6660.   52470.   25500.   188090.
         1931   15980.   18420.   13100.   14470.   17220.    7940.    5540.    4190.    3300.    3930.    8990.    6290.   119370.
         1932    5390.   16950.   11810.    9550.   76320.   41620.   45880.   63300.   20460.   23400.   60000.    7210.   381890.
         1933   10630.    9970.   16000.   14160.   13260.   12340.    9210.   17680.    6860.    7540.    4790.    4960.   127400.
         1934    5590.    7680.   12270.   12470.   10190.    7240.    3670.    3410.    3310.    4140.    3920.    4110.    78000.
         1935    5120.    6810.   12960.   14270.   13580.   15120.   34800.   31700.    8170.    4660.   12290.    5290.   164770.
         1936    3990.    7330.   11030.    8670.   17580.   12600.   17670.    9010.    3970.   18710.   11880.    8520.   130960.
         1937   11760.   12250.   11830.    9410.   29110.   41630.   47010.   46290.    8910.    7790.    4310.   10000.   240300.
         1938    5800.    8390.   15520.   17190.   17920.   84850.   56830.   44210.    6580.    4640.   11220.    5450.   278600.
         1939    7360.   11280.   14200.   15540.   13050.   14900.   15150.    8750.    3640.    3560.    3640.   43860.   154930.
         1940    9020.    7760.    9790.   20300.   39560.   17630.   14290.    5650.    3260.    3340.    6700.   36360.   173660.
         1941    9100.   10200.   13000.   14900.   30800.   62100.   62200.  130500.   19300.   22000.   20400.    5500.   400000.
         1942   22830.   18940.   17370.   19650.   15470.   20190.   49920.   28320.    5090.    4240.    8930.    4030.   214980.
         1943    9130.   10300.   11260.   17950.   20830.   36300.   34070.   11600.    4000.    4150.   12640.    5900.   178130.
         1944    8700.   10090.   12930.   13300.   14980.   25710.   25220.   48890.   10640.    3950.    4070.    4210.   182690.
         1945    5010.   12890.   11640.   11340.   17560.   20380.   19570.   24810.    4740.    4610.   25790.    7980.   166320.
         1946   19780.   10340.   14140.   13070.    9660.   10550.   11640.    4590.    3980.    6250.   13330.    3930.   121260.
         1947   37000.   32850.   22090.   15110.   12280.   13400.   15760.   16700.    4290.    4680.   13870.    4210.   192240.
