

                                    09415230  VIRGIN R AB HALFWAY WASH NR RIVERSIDE NV        Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1978    3430.    4830.    6640.   15050.   22090.   67800.   34200.   24910.    2470.      50.       0.     370.   181840.
         1980    3100.   11000.   11800.   39200.  103500.   40100.   58000.   79100.   22000.    4900.    5300.   14200.   392200.
         1981   10480.   16710.   18250.   17900.   12960.   18270.   30180.   13750.    1240.    2110.    4820.    4400.   151070.
         1982   12000.   12180.   11610.   13940.   15120.   23800.   21490.   19360.    1800.    2480.   10550.    8800.   153130.
         1983   13200.   16900.   30100.   18600.   20700.   70900.   45100.  103700.   56900.   12500.   20200.   10700.   419500.
         1985   11190.   13370.   17320.   18200.   16080.   23230.   38930.   22100.    1840.    1960.     820.    1690.   166730.

         MEAN    8900.   12498.   15953.   20482.   31742.   40683.   37983.   43820.   14375.    4000.    6948.    6693.   244078.

          PCT    3.65%    5.12%    6.54%    8.39%   13.00%   16.67%   15.56%   17.95%    5.89%    1.64%    2.85%    2.74%   100.00%

           SD    4459.    4450.    8126.    9360.   35323.   23412.   12645.   37847.   22343.    4443.    7505.    5424.   126088.

           CV     0.50     0.36     0.51     0.46     1.11     0.58     0.33     0.86     1.55     1.11     1.08     0.81      0.52

           FILE: .\09415230                                                                      
