

                                    09415600 PAHRANAGAT VALLEY TR NR HIKO, NV                 Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1964     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1965     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1966     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1967     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1968     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1969     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1970     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1971     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1972     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    17.10     0.00     0.00     0.20     17.30
         1973     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1974     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1975     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1976     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00
         1977     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00

         MEAN     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.22     0.00     0.00     0.01      1.24

          PCT    0.00%    0.00%    0.00%    0.00%    0.00%    0.00%    0.00%    0.00%   98.84%    0.00%    0.00%    1.16%   100.00%

           SD     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     4.57     0.00     0.00     0.05      4.62

           CV     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     3.74     0.00     0.00     3.74      3.74

           FILE: .\09415600                                                                      
