

                                    10010400 EAST FK BEAR RIVER NR EVANSTON WYOMING           Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1974    1460.    1050.     800.     640.     560.     830.    1190.   11940.   18420.    5710.    1890.     920.    45410.
         1975     860.     770.     710.     530.     490.     540.     550.    3250.   16320.   20550.    4370.    1490.    50430.
         1976    1113.     758.     590.     590.     518.     545.     807.    7763.    9822.    4433.    1480.     992.    29411.
         1977     920.     783.     367.     369.     334.     430.    1805.    3533.    9140.    2422.    1382.    1008.    22493.
         1978     870.     720.     600.     530.     440.     680.    1640.    5270.   20550.    8190.    2170.    1100.    42760.
         1979     790.     600.     510.     480.     390.     520.     970.    7700.   10120.    3660.    1390.     760.    27890.
         1980     740.     630.     480.     500.     440.     430.    1380.    6040.   16140.    6760.    1670.    1200.    36410.
         1981    1040.     910.     710.     630.     480.     660.    1900.    6590.   16350.    3770.    1270.    1010.    35320.
         1982    1190.     950.     630.     390.     520.    1180.    1260.    6680.   16290.   10550.    3410.    3850.    46900.
         1983    3650.    1620.     970.     700.     710.     860.     920.    1950.   24390.   14970.    4460.    2950.    58150.
         1984    2270.    1360.    1190.     930.     650.     670.     980.   13360.   18700.   11230.    4560.    3170.    59070.
         1985    2410.    1470.     840.     940.     880.     890.    3520.   11600.   12840.    4200.    1640.    1150.    42380.
         1986    1150.    1000.     800.     640.     630.    1010.    2180.    9340.   25300.    8500.    2320.    1270.    54140.

         MEAN    1420.     971.     707.     605.     542.     711.    1469.    7309.   16491.    8073.    2462.    1605.    42366.

          PCT    3.35%    2.29%    1.67%    1.43%    1.28%    1.68%    3.47%   17.25%   38.92%   19.05%    5.81%    3.79%   100.00%

           SD     855.     325.     219.     176.     146.     230.     777.    3501.    5145.    5204.    1270.    1013.    11616.

           CV     0.60     0.34     0.31     0.29     0.27     0.32     0.53     0.48     0.31     0.64     0.52     0.63      0.27

           FILE: .\10010400                                                                      
