

                                    10011400 WEST FK BEAR RIVER BL DEER CR NR EVANSTON WYO    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1974    2050.    1280.    1080.    1010.     810.     950.    1460.   16400.   12580.    4350.    1640.    2040.    45650.
         1975     790.     700.     750.     610.     490.     500.     770.    5400.   15520.    8100.    1510.    5130.    40270.
         1976    1000.     790.     680.     650.     590.     610.    1160.   10200.    4200.    4090.     790.    1130.    25890.
         1977     555.     618.     624.     550.     387.     452.    1474.    1745.    1176.     744.     519.     666.     9510.
         1978     480.     500.     530.     490.     440.     610.    1630.    8180.   11940.    2490.    1050.    3250.    31590.
         1979     566.     571.     560.     528.     444.     465.     945.    6565.    3882.    3838.    1224.     465.    20053.
         1980     470.     490.     470.     540.     500.     490.    1430.   10630.   10840.    3630.    1070.    2500.    33060.
         1981     700.     994.     986.     899.     815.    1021.    2997.    7843.    6492.    2406.    1494.    1269.    27916.
         1982    1010.    1140.    1040.     600.     660.     820.    1090.   10950.   13540.    4640.    1300.    3570.    40360.
         1983    1610.    1390.    1160.     880.     670.     780.     830.    6990.   25270.    6200.    2810.    3060.    51650.
         1984    2980.    1290.    1280.     950.     810.     940.    1320.   18350.   15360.    4320.    2320.    2900.    52820.
         1985    3310.    1490.    1340.    1030.     800.    1140.    4000.   12580.    7830.    3100.    2150.    2430.    41200.
         1986    1290.    1130.    1100.     960.     750.    1320.    2900.   17270.   22100.    4450.    1920.    4240.    59430.

         MEAN    1293.     953.     892.     746.     628.     777.    1693.   10239.   11595.    4028.    1523.    2512.    36877.

          PCT    3.51%    2.58%    2.42%    2.02%    1.70%    2.11%    4.59%   27.76%   31.44%   10.92%    4.13%    6.81%   100.00%

           SD     947.     358.     301.     209.     161.     283.     983.    4907.    7044.    1800.     644.    1392.    14071.

           CV     0.73     0.38     0.34     0.28     0.26     0.36     0.58     0.48     0.61     0.45     0.42     0.55      0.38

           FILE: .\10011400                                                                      
