

                                    10012000 MILL CREEK AT UTAH-WYOMING STATE LINE            Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1950     670.     530.     430.     390.     410.     570.    2110.   10030.   12010.    2060.     640.     730.    30580.
         1951     667.     858.     668.     559.     571.     643.    2095.    8725.    6787.    1464.     859.     434.    24330.
         1952    1070.     630.     660.     600.     480.     570.    3820.   14960.   11530.    1850.     810.     560.    37540.
         1953     450.     420.     580.     560.     470.     680.    1540.    4690.   11350.    1380.     700.     280.    23100.
         1954     420.     551.     511.     492.     500.     536.    2254.    6105.    1539.     431.     238.     293.    13870.
         1955     354.     386.     341.     328.     305.     367.     802.    6958.    3493.     557.     460.     314.    14665.
         1956     400.     460.     640.     500.     430.     650.    2650.   10780.    4960.     630.     410.     270.    22780.
         1957     410.     450.     440.     390.     380.     470.     850.    7760.   19580.    3470.     840.     530.    35570.
         1958     750.     670.     650.     610.     480.     520.    1160.   10310.    3540.     380.     250.     220.    19540.
         1959     362.     428.     419.     440.     451.     527.    1475.    5183.    8604.    1587.     424.     487.    20387.
         1960     904.     559.     384.     441.     452.     788.    2866.    7309.    4860.     593.     280.     300.    19736.
         1961     476.     505.     430.     430.     444.     586.    1519.    5595.    1940.     252.     314.     481.    12972.
         1962     682.     601.     530.     492.     511.     639.    3727.    8906.    8075.    1281.     362.     342.    26148.

         MEAN     586.     542.     514.     479.     453.     580.    2067.    8255.    7559.    1226.     507.     403.    23171.

          PCT    2.53%    2.34%    2.22%    2.07%    1.95%    2.51%    8.92%   35.63%   32.62%    5.29%    2.19%    1.74%   100.00%

           SD     226.     128.     115.      86.      65.     105.     986.    2829.    5090.     905.     232.     148.     7752.

           CV     0.39     0.24     0.22     0.18     0.14     0.18     0.48     0.34     0.67     0.74     0.46     0.37      0.33

           FILE: .\10012000                                                                      
