

                                    10014000 BEAR R AB SULPHUR CR NR EVANSTON WYO             Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1947    3960.    5310.    4890.    3380.    3050.   10680.    9350.   62740.   51950.   15950.    4330.    2250.   177840.
         1948    3660.    4560.    4100.    3480.    3350.    4490.   20320.   55590.   30760.    2080.    1160.     660.   134210.
         1949    1610.    2710.    3580.    3220.    2780.    3540.   15500.   42220.   50200.    9700.    1620.    1210.   137890.
         1950    3620.    3390.    3020.    2780.    2720.    4770.   15800.   46940.   78060.   19060.    3510.    2690.   186360.
         1951    3270.    4680.    4970.    3370.    3000.    3870.   13140.   45360.   50560.   14470.    7610.    2620.   156920.
         1952    7270.    4490.    4160.    4200.    3930.    4180.   22600.   77160.   72860.   17210.    6330.    2910.   227300.
         1953    2300.    2260.    3170.    3690.    3180.    6040.    9250.   22260.   70190.    9040.    2760.     500.   134640.
         1954    1040.    2930.    3120.    3070.    3050.    3580.   11330.   34850.   10510.    1320.     600.     590.    75990.
         1955    1670.    1700.    2530.    2480.    2240.    2640.    6100.   36440.   27170.    1900.    1120.     880.    86870.
         1956    1480.    2720.    5500.    4500.    3680.    6070.   10750.   61440.   47340.    3600.     920.     630.   148630.

         MEAN    2988.    3475.    3904.    3417.    3098.    4986.   13414.   48500.   48960.    9433.    2996.    1494.   146665.

          PCT    2.04%    2.37%    2.66%    2.33%    2.11%    3.40%    9.15%   33.07%   33.38%    6.43%    2.04%    1.02%   100.00%

           SD    1838.    1207.     982.     607.     483.    2272.    5175.   16034.   21522.    6927.    2434.     999.    44853.

           CV     0.61     0.35     0.25     0.18     0.16     0.46     0.39     0.33     0.44     0.73     0.81     0.67      0.31

           FILE: .\10014000                                                                      
