

                                    10015700 SULPHUR CR.AB.RES.BL.LA CHAPELLE CR.NR EVANSTON, Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1958      18.      48.     178.     185.     191.     266.    2194.    2065.     317.      15.       0.       2.     5479.
         1959      15.      31.      40.      49.      62.     159.    1669.     954.    1698.     386.       2.      11.     5076.
         1960      29.      29.      30.      92.     115.    2418.     931.    1139.     800.      50.       6.       4.     5643.
         1961      12.      20.      12.      40.     157.     208.    1026.     322.     275.       8.       0.      13.     2093.
         1962     500.     109.      61.      61.     853.     145.    3304.    2231.     689.     308.      43.       8.     8312.
         1963      23.      27.      20.      25.     343.     250.    1558.    1239.    1153.      75.      14.      18.     4745.
         1964      27.      44.      77.     155.     258.     496.    2928.    4788.    2951.     242.       6.       0.    11972.
         1965      10.      34.     303.     472.     422.     307.    4889.    7761.    5066.     727.     525.     502.    21018.
         1966     352.     407.     409.     307.     242.    1773.    1976.    1529.     305.      40.       8.       5.     7353.
         1967      25.     267.     229.     267.     280.    1287.    2886.    4961.    2900.     641.     127.      80.    13950.
         1968     141.     253.     156.     288.     248.     397.    2858.    6121.    3225.     310.     656.     113.    14766.
         1969     210.     424.     379.     405.     362.     552.    4927.    2244.    1272.     343.     105.      63.    11286.
         1970     155.     211.     152.     185.     207.     277.    1947.    5544.    2559.     346.     176.     162.    11921.
         1971     742.     675.     672.     349.     295.    2477.    3705.    6726.    2044.     483.     241.     607.    19016.
         1972     918.     603.     369.     318.     357.    2422.    3818.    5623.    3457.     232.      26.      40.    18183.
         1973     418.     431.     405.     467.     444.     549.    5157.    9213.    1425.     998.     241.     369.    20117.
         1974     370.     690.     430.     200.     230.    2230.    5100.   11710.    2470.     180.      30.      20.    23660.
         1975      78.     288.     205.     217.     248.     451.    1981.    6280.    5042.     646.     194.      47.    15677.
         1976      77.     173.     306.     246.     292.    2297.    7303.    2924.     437.      70.      10.       5.    14140.
         1977       8.      34.      43.      52.      54.     126.     456.     449.      53.       3.       0.       2.     1280.
         1978      22.      44.     108.     123.     122.    2061.    2255.    4393.    2237.     162.      16.      21.    11564.
         1979      38.      90.     167.     186.     220.     942.    2356.    1039.     224.      47.       4.       0.     5313.
         1980      18.      36.      37.     194.     275.     318.    4651.    5865.    1145.     222.      36.      20.    12817.
         1981      30.      55.     183.     265.     256.     387.    3663.    3715.     914.     155.      12.       9.     9644.
         1982      78.     500.     493.     486.     524.    1263.    2941.    5044.    1492.     990.     122.     668.    14601.
         1983     790.     460.     350.     270.     210.     830.    4020.   12830.    9530.     890.    1030.     680.    31890.
         1984     590.     730.     530.     420.     260.     620.    3140.   19910.    4120.    1230.     860.     680.    33090.
         1985     805.    1279.     744.     619.     603.     969.    5897.    3685.    1301.     525.     170.      58.    16655.
         1986     220.     490.     290.     190.    1500.    2920.    4110.   10490.    4400.    1210.     450.     500.    26770.
         1987     653.     816.     714.     704.     674.    2513.    4949.    4260.     957.     370.      77.      87.    16774.
         1988      51.     170.      81.      90.      99.     581.    3846.    3604.     250.      11.       1.       0.     8784.
         1989      14.     137.     180.     176.     180.    3243.    3394.    1864.    1727.     161.      20.       8.    11104.
         1990      20.      59.      83.     146.      72.    1197.    1190.     990.    1285.      87.       4.       2.     5135.

         MEAN     226.     293.     256.     250.     323.    1119.    3243.    4894.    2052.     369.     158.     146.    13328.

          PCT    1.70%    2.20%    1.92%    1.88%    2.42%    8.40%   24.33%   36.72%   15.40%    2.77%    1.19%    1.09%   100.00%

           SD     285.     302.     208.     167.     275.     957.    1574.    4210.    1950.     360.     259.     233.     7893.

           CV     1.26     1.03     0.81     0.67     0.85     0.86     0.49     0.86     0.95     0.98     1.64     1.60      0.59

           FILE: .\10015700                                                                      
