

                                    10015900 SULPHUR CREEK BL RES., NEAR EVANSTON, WYO.       Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1959      35.      37.      36.       5.       0.       0.       0.     307.    1900.     752.    1820.     889.     5781.
         1960     128.     193.     160.     107.       0.      64.    1080.     871.    1600.    2900.     968.     595.     8666.
         1961      48.       0.       0.       0.       0.       2.       0.     127.     830.    1545.     529.       0.     3081.
         1962       0.       0.       0.       0.       0.       0.    2049.    2118.    1150.     756.    1406.    1864.     9343.
         1963      67.       0.       0.       0.       0.       0.       0.     435.    1663.     937.    1670.     224.     4996.
         1964       0.       0.       0.       0.       0.     208.    3661.    5689.    3723.     556.    1886.    1232.    16955.
         1965     956.       1.       0.       0.       0.     170.    4582.    6365.    6265.    1050.    1400.    2689.    23478.
         1966    2037.       0.       0.       0.       0.    2771.     154.    1932.     673.    2940.    1495.    1680.    13682.
         1967      96.       0.       0.       0.       0.       0.     339.    4132.    3372.    1175.     241.    1695.    11050.
         1968    1262.       0.       0.     162.     690.     807.    3282.    5162.    3890.     648.    1362.     192.    17457.
         1969    1793.    1575.    1549.     615.       0.    1448.    5550.     460.    2406.    1509.    1920.    2013.    20838.
         1970       0.       0.       0.       0.       0.       0.    3517.    3487.    3735.     802.    3134.    2418.    17093.
         1971     456.     424.     355.     747.    1607.    1771.    2364.    6948.    1576.    1044.    1996.    1372.    20660.
         1972    1874.     759.     331.     318.    1434.    5355.    2061.    4538.    3013.    1741.    3187.     908.    25519.
         1973     281.     267.     263.     358.     379.    1628.    2243.    9418.     380.    2083.    1556.    1654.    20510.
         1974    1010.    2830.     500.     490.     500.     890.    6340.   12110.    2940.    1340.    2650.    1310.    32910.
         1975       0.     188.      35.       0.       0.       0.    1263.    6617.    4110.    1247.     728.    2602.    16790.
         1976      91.     427.     567.     365.     163.    2060.    3091.    1310.    1412.    3150.    1086.    1136.    14858.
         1977       0.       0.       0.       0.       0.       0.       0.       0.     713.    1591.     509.       3.     2816.
         1978       0.       0.       0.       0.       0.       0.     579.    2595.    2429.    1420.    1985.     587.     9595.
         1979       0.       0.       0.       0.       0.      40.    1698.      13.    1054.    2383.    1246.     633.     7067.
         1980      62.       0.       0.       0.       0.    1537.    4407.    6653.    1438.    1288.    2140.     741.    18266.
         1981       0.       0.       0.       0.       0.       0.    3840.    4183.    1557.    2064.    2335.     522.    14501.
         1982       0.       0.       0.       0.       0.    1079.    2065.    5743.    2173.    2138.     963.     972.    15133.
         1983    4050.    1620.     970.      20.       0.       0.    3650.   12900.   12920.     130.    3030.    2150.    41440.
         1984     620.       0.     800.    1880.    2500.    3330.    3730.   19130.    3910.    2240.     940.    3250.    42330.
         1985    2518.     653.    2499.    2291.    1987.    2152.    6475.     130.     627.    1509.    1565.     603.    23009.
         1986     484.     477.     444.     429.    1026.    6447.    3844.    9602.    4071.    2265.    1809.    1077.    31975.
         1987    1627.       0.    1116.     684.     277.       1.    3312.    2782.    2276.    2989.    3564.    2168.    20796.
         1988     251.     411.      51.     101.     131.     401.     693.    2339.    1437.    2644.     555.     434.     9448.
         1989       5.      30.       0.       0.       0.      20.       2.      63.    1614.    5421.    2854.     761.    10770.
         1990       1.       1.       6.       3.       1.      37.      26.      33.    1268.    4241.    1886.     590.     8093.

         MEAN     617.     309.     303.     268.     334.    1007.    2372.    4319.    2566.    1828.    1700.    1218.    16841.

          PCT    3.67%    1.84%    1.80%    1.59%    1.98%    5.98%   14.08%   25.64%   15.24%   10.85%   10.10%    7.23%   100.00%

           SD     961.     621.     558.     530.     655.    1592.    1943.    4510.    2318.    1119.     851.     840.    10008.

           CV     1.56     2.01     1.84     1.98     1.96     1.58     0.82     1.04     0.90     0.61     0.50     0.69      0.59

           FILE: .\10015900                                                                      
