

                                    10016000 SULPHUR CREEK NR EVANSTON WYO                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1943      30.      84.     138.     160.     144.    1440.    5060.    1930.    3250.     618.     579.      28.    13461.
         1944     125.     178.     126.     123.     115.     123.    5680.    7020.    2930.     392.      48.      24.    16884.
         1945      41.      81.      61.      92.     167.    1560.    3980.    2680.    2520.    1040.    1350.     165.    13737.
         1946     244.     877.     530.     580.     401.    2560.    6940.    2040.     567.     198.      55.      41.    15033.
         1947     323.     252.     221.     123.     242.    4748.    1827.    3574.    5607.    1044.    1032.      98.    19091.
         1948     183.     252.     220.     225.     170.     675.    7942.    3739.    1235.     128.      24.      13.    14806.
         1949      19.      55.      61.      61.      71.     300.    7781.    3078.    1978.    1039.      73.      47.    14563.
         1950     183.     268.     177.     184.     327.     797.    9725.    8761.    2912.    1358.     234.     103.    25029.
         1951     101.     426.     440.     218.     421.     730.    5744.    3602.    2081.    1638.     764.     121.    16286.
         1952     650.     420.     450.     470.     510.     610.   14400.   11890.    3490.    1790.    1010.      90.    35780.
         1953      69.     108.     144.     329.     357.    1976.    2269.    2596.    2333.     518.     680.      69.    11448.
         1954     242.     470.     513.     492.     555.     881.    2968.    1434.    2042.     202.      77.      53.     9929.
         1955      70.     173.     158.     165.     147.     194.    3872.    2069.    1879.     163.     103.      52.     9045.
         1956      75.     222.    1075.     647.     488.    2558.    2168.    3723.     652.     266.     216.      43.    12133.
         1957      68.     101.     145.     128.     577.    1341.    5843.    6060.    8081.    2254.     240.     111.    24949.

         MEAN     162.     264.     297.     266.     313.    1366.    5747.    4280.    2770.     843.     432.      71.    16812.

          PCT    0.96%    1.57%    1.77%    1.59%    1.86%    8.13%   34.18%   25.46%   16.48%    5.02%    2.57%    0.42%   100.00%

           SD     162.     215.     268.     190.     173.    1218.    3340.    2935.    1917.     676.     437.      43.     7022.

           CV     1.01     0.81     0.90     0.71     0.55     0.89     0.58     0.69     0.69     0.80     1.01     0.60      0.42

           FILE: .\10016000                                                                      
