                        10016900 BEAR RIVER AT EVANSTON, WY                                                              PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1942                                                                           7401.   1834.     50.          
           1943   1577.   2033.   1466.   1298.   2316.   8536.  41972.  48337.  38599.  11741.   4099.    -92.   161882.
           1944   2173.   1694.   2208.   2183.   2406.   3297.   4481.  55093.  61601.  18760.   2056.   -379.   155573.
           1945   2113.    641.    605.   1318.   1804.   3128.   6833.  39150.  38896.  17273.   6826.   2371.   120958.
           1946   2364.   3443.   3523.   3009.   2798.   8367.  44712.  49016.  33402.   3830.   1838.    -40.   156262.
           1947   2352.   2653.   3452.   2546.   2798.   8254.  16242.  75267.  53843.  18285.   4536.   1159.   191387.
           1948   2232.   2578.   3117.   2123.   2406.   7522.  10325.  69332.  31843.   1074.   1591.   -639.   133504.
           1949    825.   1055.   2040.   1740.   1969.   4480.  18861.  42212.  52667.  10591.   2854.    246.   139540.
           1950   2578.   1675.   2399.   1942.   1999.   5606.  14909.  44043.  82301.  19494.   2807.   1524.   181277.
           1951   2686.   3330.   3906.   3150.   2979.   6001.  13429.  48700.  52049.  16550.   6142.    611.   159533.
           1952   4260.   2954.   4026.   2989.   3115.   7860.  20947.  84092.  78391.  17224.   6037.   2110.   234005.
           1953   2149.   1619.   3117.   2828.   2798.   8141.  11611.  15787.  75558.  11038.   3890.   -652.   137884.
           1954    909.   1299.   2208.   2304.   2632.   6620.  17673.  41470.   8656.   1044.    565.   -235.    85145.
           1955    706.    209.   1323.   1519.   1879.   3241.   7246.  46695.  30222.   1659.   2056.   -483.    96272.
           1956    754.    434.   2279.   1922.   2045.   5888.  15830.  70642.  52259.   4356.    992.  -1252.   156149.
           1957    837.    717.   1705.   1640.   2030.   4423.   6057.  28415.  95268.  28446.   4603.    820.   174961.
           1958   2256.   2164.   3380.   2586.   2768.   6789.   8191.  59261.  38834.   1808.    612.   -287.   128362.
           1959    623.    773.   2327.   2183.   2286.   5268.  10471.  22969.  57505.   7429.   1543.   -157.   113220.
           1960   4820.   3424.    533.   1559.   2150.   5888.  19371.  34067.  36694.   2076.    764.   -822.   110524.
           1961    736.    839.   1614.   1342.   1743.   3387.   8242.  30742.  16480.   -914.   1798.   5512.    71521.
           1962   4498.   4421.   4600.   2908.   2904.   8705.  31738.  49837.  63754.  16609.   2911.   -157.   192728.
           1963   1350.    453.   1610.   1298.   1984.   4198.   5815.  37824.  37374.   3771.   2094.   1654.    99425.
           1964   1243.   2540.   1490.   1298.   1487.   1551.   5039.  49821.  55724.  15538.   2845.   -548.   138028.
           1965    837.    340.   1873.   2224.   2632.   5775.   8749.  34730.  92695.  47134.  12660.   7964.   217613.
           1966   5774.   5511.   6777.   5223.   3446.  11183.  24245.  58440.  16228.   2036.   2427.    233.   141523.
           1967   2710.   2315.   3930.   2868.   2678.   7860.   7658.  36308.  76659.  35832.   6056.   2710.   187584.
           1968   4093.   2898.   3260.   2948.   3115.   9831.   7973.  30136.  93165.  15102.   7653.   4301.   184475.
           1969   4773.   4176.   5389.   4639.   3431.   8254.  19152.  74320.  29554.   9590.   3368.   2202.   168848.
           1970   1875.   1657.   2997.   3150.   2874.   6677.   6009.  42780.  57196.   9927.   4289.   4183.   143614.
           1971   2936.   3123.   4672.   5163.   4200.   9549.  20680.  36056.  77327.  22151.   3795.   5513.   195165.
           1972   3640.   5511.   5796.   3613.   3145.  13267.  13381.  57430.  68109.   6329.   2417.   1758.   184396.
           1973   4045.   4120.   5389.   4076.   3175.   8817.   6979.  47421.  47236.  10532.   5543.   5343.   152676.
           1974   4928.   4909.   5533.   4800.   3582.  12310.  11950.  64581.  60995.   8172.   2978.   1810.   186548.
           1975   1958.   1130.   2375.   2787.   2919.   7860.   5597.  11272.  69532.  51833.   6256.   6699.   170218.
           1976   2638.   2916.   3810.   2989.   2678.   5212.  10762.  45243.  24259.   5456.   1667.    807.   108437.
           1977   1947.   1093.    698.   1308.   1788.   3184.  13257.   3305.  15172.   -609.    855.    280.    42278.
           1978   1398.    378.   1610.   1962.   2241.   7015.  13187.  24800.  70732.  12138.   2968.   3414.   141843.
           1979   1350.    717.   1538.   1479.   1819.   2396.   7900.  35124.  30458.   5644.   2978.   -287.    91116.
           1980    897.    246.    605.   1479.   1849.   3184.  12435.  34887.  56491.  14408.   2731.   3544.   132756.
           1981   2066.   2540.   3021.   2264.   2150.   4649.  21893.  34398.  51492.   5942.   3681.   2097.   136193.
           1982   3258.   2446.   2638.   2485.   2632.   5888.   9331.  56025.  68134.  29279.   7102.  13661.   202879.
           1983  13590.   7940.   6800.   4020.   4250.  15860.  10400.  29080. 103090.  37580.  10470.  14640.   257720.
           1984  10545.   8444.  10437.   6552.   4863.  15408.  11489.  88150.  80080.  25280.  11110.  13410.   285768.
           1985   8875.   7316.   8355.   5042.   4140.   8986.  35810.  54470.  34300.   6220.   3310.   3160.   179984.
           1986   4090.   4160.   4890.   3390.   2860.  16420.  28270.  79380. 112450.  23540.   6660.   5870.   291980.
           1987   5238.   5831.   5963.   5143.   4004.  12873.  24800.  48390.  18570.   4060.   5000.   5330.   145202.
           1988   2495.   2691.   3595.   3331.   3220.   9380.  20610.  40650.  14400.   2810.   1010.    700.   104892.
           1989   1600.   1939.   3571.   3230.   2738.  16140.  16385.  27094.  27031.   6617.   3737.   1846.   111928.
           1990   1791.   1318.   2399.   2586.   2979.   8874.  10380.  20270.  41140.   6410.   2480.   1300.   101927.
           1991   1863.   1619.   1586.   1257.   1728.   2565.   9550.  36360.  55220.   4700.   5090.   3510.   125048.
           1992   2399.   3800.   3906.   2707.   2271.   5719.  16080.  33280.   7220.   3080.   1040.    740.    82242.
           1993   1135.   1713.   2423.   1298.   1427.   5832.  18440.  75460.  60690.  18620.   5340.   2930.   195308.
           1994   3365.   2484.   2638.   3230.   2421.   6282.  16510.  39510.  14130.   2460.   1280.    750.    95060.
           1995   3878.   3198.   4791.   4519.   2828.  11070.   7930.  32460.  93240.  60230.   5820.   3010.   232974.
           1996   3032.   2992.   3547.   2787.   2949.  13549.  24820.  59830.  62810.   6510.   2170.   2330.   187326.
