

                                    10017000 YELLOW CREEK NR EVANSTON WYO                     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1943                                          11.     123.    2513.    1587.     842.      70.      17.      12.
         1944      12.      12.      12.      12.      12.      61.    4038.    3517.     733.      76.      13.      12.     8510.
         1945       0.       0.       0.       0.       0.    1307.    3316.    1373.     501.      43.      79.       0.     6619.
         1950      10.      43.      30.      31.      44.     114.    5990.    7944.    2856.     440.      45.      45.    17592.
         1951      95.     252.     254.     147.     292.     388.    3045.    2678.     975.     102.      15.       0.     8243.
         1952      50.      50.      60.      60.      60.     110.    6030.   10060.    1620.     380.     150.      70.    18700.
         1953      85.      92.     102.     195.     209.     823.     834.    1504.    1008.       7.       0.       0.     4859.
         1954       0.       0.       0.       0.      26.     181.     758.     533.      80.       0.       0.       0.     1578.
         1955       0.       0.       0.       0.       0.       0.     743.    1398.     233.       6.       6.       0.     2386.
         1956       0.       0.     231.     123.      86.     548.    1317.    2424.     270.       0.       0.       0.     4999.
         1957       0.       0.       0.       0.      26.     126.     877.    3542.    2366.     141.      15.       0.     7093.
         1958       0.       0.       0.       0.       0.     113.     793.    1652.     106.      24.       0.       0.     2688.
         1959       0.       0.       0.       0.       0.      68.    1012.    1043.     200.      31.       0.       0.     2354.
         1960       0.       0.       0.       0.       0.    1956.     466.    1304.     143.      42.       0.       0.     3911.
         1961       0.       0.       0.       0.       0.     363.     186.     701.     105.       0.       0.       0.     1355.
         1962       0.       0.       0.       0.     827.     904.    2378.    1811.     671.     204.      62.       0.     6857.
         1963       0.       0.       0.       0.     501.       0.     111.    1090.     270.      40.     122.      17.     2151.
         1964       0.       0.       0.       0.       0.       0.    1561.    2777.    1369.     129.      89.      81.     6006.
         1965       0.       0.       0.       0.      52.     104.    3189.    4990.    3074.     454.     378.     544.    12785.
         1966     140.      83.     273.     224.     173.    1096.    1634.    2100.     369.      17.      43.       1.     6153.
         1967       0.       0.       0.       0.       0.     397.     866.    2963.    2104.     612.      12.       0.     6954.
         1968       0.     203.     202.      72.      41.      76.     707.    3715.    2272.     350.      59.     107.     7804.
         1969     245.     439.      67.     190.     158.     230.    3441.    2787.     719.     192.     133.     221.     8822.
         1970     110.      45.      49.      70.     103.     161.    1190.    3711.    1975.     318.       2.       0.     7734.
         1971     238.     389.     203.     103.     111.    1620.    2632.    5145.    2238.     202.      34.      51.    12966.
         1972     161.     119.     116.     103.     158.    1713.    4084.    5470.    1691.     381.      39.      36.    14071.
         1973     149.     171.     175.     198.     186.     244.    1844.    6942.    1339.     236.     273.     289.    12046.
         1974     310.     317.     262.     178.     184.     845.    3029.    9521.    2338.     243.      26.      19.    17272.
         1975      77.     166.     149.     161.     183.     447.    1026.    2765.    3197.     814.     173.      48.     9206.
         1976      93.     109.     127.      81.      93.    1236.    2745.    2723.     643.     156.       6.      47.     8059.
         1977      38.      42.       0.       0.       0.      38.     161.     249.     148.      13.       0.       0.      689.
         1978       0.       1.       0.       0.       0.     185.     991.    1853.     892.     150.       0.       1.     4073.
         1979

         MEAN      58.      82.      75.      63.     111.     487.    1985.    3184.    1167.     184.      56.      50.     7566.

          PCT    0.77%    1.08%    0.99%    0.83%    1.46%    6.43%   26.23%   42.08%   15.43%    2.43%    0.74%    0.66%   100.00%

           SD      86.     122.      96.      77.     171.     559.    1571.    2490.     968.     198.      87.     111.     4893.

           CV     1.47     1.50     1.28     1.23     1.55     1.15     0.79     0.78     0.83     1.08     1.55     2.22      0.65

           FILE: .\10017000                                                                      
