

                                    10019500 CHAPMAN CANAL AT STATE LINE NEAR EVANSTON, WYO   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1945     282.     984.      10.       0.      56.    2378.    1788.    1789.    3903.    1480.     634.      86.    13390.
         1946     100.     177.       0.       0.       0.     176.    4550.    2960.    2710.       4.       0.       0.    10677.
         1947     802.     201.       0.       0.     248.    1660.    1390.    3980.    3750.       0.      44.      30.    12105.
         1948      58.    1050.     242.       0.       0.    1010.    2440.    2510.    2420.      17.       0.       0.     9747.
         1949      56.     200.     109.       0.       0.       0.    1090.    5580.    4130.     694.      25.       0.    11884.
         1950     862.     682.       5.       0.       0.       0.    1600.    1940.    2140.    1140.      30.      31.     8430.
         1951     144.    1240.    1750.       0.     353.    1350.     228.    2190.    3330.    1460.       7.       0.    12052.
         1952       6.     733.       0.       0.       0.       0.     858.    3380.    5080.    2150.     376.       2.    12585.
         1953       0.     461.       0.       0.      40.    2690.    2510.    2570.    4920.    1440.     831.       1.    15463.
         1954     122.    1490.     351.       0.      20.    2350.    2200.    3450.    1870.     112.       0.       0.    11965.
         1955     110.     603.     392.       0.       0.    1380.    4660.    3670.    3840.      23.      80.       2.    14760.
         1956     102.     599.       8.       0.       0.     984.    2050.    3040.    4050.     531.       0.       0.    11364.
         1957     242.    1120.       0.       0.      71.    1680.    1970.    1660.    4520.    4150.    1150.     165.    16728.
         1958      23.     151.       0.       0.       0.     452.    2810.    2750.    4130.     245.       0.       0.    10561.
         1959       0.     981.    1360.      99.       0.     669.    4510.    3910.    5120.    1230.     408.     874.    19161.
         1960    3210.      42.      23.       0.       0.     697.    2860.    3740.    3620.     315.       0.       0.    14507.
         1961     492.    1793.     394.       0.     793.    2729.    4054.    1936.     901.       0.       0.    1550.    14642.
         1962    2503.    3697.       6.       0.      14.     204.    1335.    4395.    4574.    2696.     439.      40.    19903.
         1963     817.     554.       0.       0.     161.    2703.    3366.    2335.    4927.     271.     189.     494.    15817.
         1964     809.    2368.       0.       0.       0.       0.    1922.    4360.    6107.    2489.     123.      35.    18213.
         1965     435.    1775.     504.      10.       6.      50.    2570.    2184.    4330.    3900.     869.      91.    16724.
         1966      17.      16.       0.       0.       0.     232.      19.    2022.    3140.     871.     502.      80.     6899.
         1967    3179.    1395.       2.       0.       0.      58.    1009.    3921.    4082.    1775.     984.     287.    16692.
         1968    1414.      77.       0.       0.       0.       0.    1599.    3687.    4550.    1482.    2412.    1382.    16603.
         1969     302.      54.       0.       0.       0.       0.     323.    3316.    5296.    1528.     365.     789.    11973.
         1970    3381.    1478.     216.       0.       0.     982.    3689.    4017.    5812.    1115.     405.     765.    21860.
         1971     939.    3519.     342.      63.      30.     486.    1622.    4143.    4776.    2644.     227.    1755.    20546.
         1972    2644.     319.      61.      14.       0.      75.    2610.    2757.    2906.     432.     251.    1226.    13295.
         1973    1299.    1698.     155.       0.       0.       0.    1533.    5103.    4112.    3553.    2590.     950.    20993.
         1974       0.       0.       0.       0.       0.      40.    1286.    3905.    4409.    2452.     972.     588.    13652.
         1975    1611.    2394.       0.       0.       0.     474.    1208.     871.    5865.    5506.     449.     639.    19017.
         1976     843.      38.       0.       0.       0.      29.    1797.    3396.    1715.    1130.     861.     378.    10187.
         1977     803.    1115.     307.       0.       0.     702.    1948.     789.    2428.       0.       0.      37.     8129.
         1978     600.     812.     922.    1091.     958.    1966.    3582.    2664.    4945.    1612.     635.     751.    20538.
         1979    1194.     615.       0.       0.       0.     678.    3608.    5022.    2719.    1057.     556.      40.    15489.
         1980     165.     354.     228.       0.       0.     478.    1202.    3761.    3416.    1350.     467.     809.    12230.
         1981    1173.     101.       0.       0.     228.    2045.    1402.    3535.    3681.    1239.     192.     587.    14183.
         1982     847.    2991.       4.       0.       0.     766.    1823.    2643.    3352.    2123.      83.     369.    15001.
         1983      85.     248.     326.       0.       0.      61.    1866.    2325.    3753.    2097.     304.     159.    11224.
         1984     382.       0.       0.       0.       0.       0.      41.    1082.    1017.    1223.     285.     289.     4319.
         1985    1079.    1892.    1555.       0.       1.     409.    1317.    3423.    3120.    1291.     334.      73.    14494.
         1986       0.       0.       0.       0.     574.     570.    2184.    2990.    2999.    2208.    1000.     629.    13154.

         MEAN     789.     953.     221.      30.      85.     791.    2058.    3088.    3773.    1453.     454.     381.    14075.

          PCT    5.60%    6.77%    1.57%    0.22%    0.60%    5.62%   14.62%   21.94%   26.81%   10.32%    3.23%    2.70%   100.00%

           SD     939.     965.     423.     169.     212.     872.    1184.    1106.    1239.    1241.     571.     473.     3970.

           CV     1.19     1.01     1.92     5.55     2.51     1.10     0.58     0.36     0.33     0.85     1.26     1.24      0.28

           FILE: .\10019500                                                                      
