

                                    10020100 BEAR RIVER ABOVE RESERVOIR NEAR WOODRUFF, UTAH   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1942    5160.    5060.    4610.    3690.    3890.    7380.   36450.   41590.   42390.    1920.      80.       0.   152220.
         1943      50.     890.    1860.    2090.    3450.   10790.   30370.   40100.   37440.    5410.    1000.      60.   133510.
         1944     800.    1840.    2350.    2550.    2690.    2690.   31130.   64260.   59390.   12150.      70.       0.   179920.
         1945     340.    1120.    1620.    2720.    2890.    7910.   21700.   37470.   36480.   10140.    7950.    2220.   132560.
         1946    3490.    5790.    5320.    4920.    3690.   10770.   37460.   41500.   22380.     450.      30.       0.   135800.
         1947    1030.    4340.    5360.    4060.    3940.   24260.   14460.   58950.   54110.   11040.    2880.    1200.   185630.
         1948    2680.    4460.    5040.    5160.    4600.    6350.   35100.   58890.   26510.     370.      10.       0.   149170.
         1949     120.    1510.    3750.    3840.    3330.    6020.   31760.   44900.   44310.    8650.     130.      90.   148410.
         1950    1800.    2860.    3460.    3300.    3920.    8140.   45020.   67380.   86210.   15600.    2470.    1590.   241750.
         1951    3180.    4810.    5050.    4390.    4600.    8530.   37780.   48840.   50260.   10740.    7000.    2040.   187220.
         1952    7450.    4850.    5710.    6010.    5950.    6210.   58710.  106200.   71760.   12190.    6090.    2220.   293350.
         1953    2270.    2240.    4100.    5610.    4080.    6350.   13040.   20540.   62090.    3590.     900.      40.   124850.
         1954     190.    1360.    3670.    4000.    3870.    4960.   12520.   24520.    5380.     650.      40.       0.    61160.
         1955      60.     420.    1800.    2640.    2400.    1580.    9510.   28740.   20530.     420.     140.       0.    68240.
         1956     210.    2010.    7800.    5980.    4830.   14500.   14880.   57090.   37330.    1310.      60.       0.   146000.
         1957      10.    1360.    2750.    2520.    2910.    5080.   16780.   42800.   97960.   23260.    1530.     670.   197630.
         1958    1930.    3930.    4200.    3740.    4220.    5800.   12110.   47760.   20150.     700.      10.       0.   104550.
         1959      70.     230.     530.    1660.    2280.    4680.   10390.   20480.   39010.    6100.     400.     830.    86660.
         1960    3620.    4740.    2010.    2380.    2830.   18010.   12920.   24280.   23150.     230.      90.      10.    94270.
         1961     310.     840.    2130.    2120.    2060.    1480.    3150.   13680.    8830.      70.     280.    1410.    36360.
         1962     800.    1320.    3410.    2990.   11860.    7290.   38510.   41420.   45780.    8210.     600.     230.   162420.
         1963     710.    1770.    2900.    1300.    6140.    2250.    8020.   30110.   31080.     750.     180.     280.    85490.
         1964     440.    1860.    2680.    2460.    2010.    2480.   17050.   58700.   60870.   10710.     260.     200.   159720.
         1965     200.     900.    5300.    6100.    5000.    5100.   30800.   58800.  102600.   41400.   14700.   12400.   283300.
         1966   12130.    7270.    6330.    5620.    4140.   16570.   24710.   42370.    7510.     570.     340.     530.   128090.
         1967    1330.    3260.    5570.    4700.    4010.   10660.   12280.   45340.   79420.   29520.    1990.     850.   198930.
         1968    5540.    4430.    4260.    4000.    5500.    8280.   15910.   42090.   86510.    9460.    7720.    4450.   198150.
         1969    6940.    6520.    6190.    6240.    4770.    7110.   39910.   54950.   26050.    3790.     850.     680.   164000.
         1970    3020.    3210.    3560.    4290.    4280.    4240.   13860.   51860.   50970.    3760.    1100.    1780.   145930.
         1971    4930.    5190.    7530.    8710.    9200.   17310.   26350.   56730.   72840.   11720.     620.    2130.   223260.
         1972    5890.    7190.    6810.    5760.    6250.   29050.   26980.   63340.   71270.    2950.     380.     670.   226540.
         1973    4880.    5450.    4610.    5040.    5000.    8090.   24390.   76610.   36930.    9570.    2340.    7520.   190430.
         1974    9200.   11790.    7980.    6590.    5920.   16080.   32280.   90870.   58590.    6020.     740.     870.   246930.
         1975    1280.    2440.    3710.    3810.    3250.    5150.   10540.   40940.   80660.   53500.    4150.    2460.   211890.
         1976    4010.    6620.    6190.    4850.    4750.   14060.   24730.   45910.   17620.    1750.     580.     350.   131420.
         1977     860.    1050.     960.    1010.    1350.    1650.    4620.    6410.   11340.    2360.     600.     430.    32640.
         1978     920.     550.     660.    1210.    1110.   10050.   14830.   38410.   64100.    7450.     950.    1770.   142010.
         1979    1610.    1530.    2290.    2620.    2630.    5160.   11680.   26920.   14550.     990.     850.     180.    71010.
         1980     850.    1210.    1370.    3110.    3130.    5930.   39470.   61460.   49000.   10330.     630.     790.   177280.
         1981    1900.    3290.    3520.    3300.    3430.    3600.   24560.   42850.   42660.    1350.     200.     540.   131200.
         1982    3980.    1330.    2970.    3260.    3770.    9590.   22790.   63190.   56130.   28340.    6170.   14080.   215600.
         1983   26900.   11100.    5900.    6200.    5700.   13300.   22100.   64200.  147000.   37200.   20900.   17100.   377600.
