

                                    10020300 BEAR RIVER BEL RESV. NR. WOODRUFF UTAH           Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1962     970.    1630.    3760.    1110.     510.    5280.   36730.   44640.   44500.   14250.    5110.     610.   159100.
         1963     480.     560.     480.     570.     580.     560.     650.   35310.   27960.    9530.    3250.     500.    80430.
         1964     620.     790.    1020.    1100.    1030.    1140.    9350.   61130.   56800.   13550.   12480.    1030.   160040.
         1965     500.     500.     900.    1100.    1100.    7500.   30900.   45700.  100100.   39900.   14100.   10400.   252700.
         1966   16760.    6680.    7760.    5620.    3830.    9470.   24790.   39870.   28950.    1230.     470.     380.   145810.
         1967     450.     470.     530.    1080.    1190.    1800.   11960.   43640.   80680.   32060.    5300.    6110.   185270.
         1968     930.    4660.    2630.    2830.    2820.    6910.   15190.   39740.   90310.   21570.    1690.    1420.   190700.
         1969    3580.    6030.    5840.    5970.    4730.    6580.   38830.   52980.   29260.   12030.    6370.    1140.   173340.
         1970     740.     690.    1350.    1440.    1390.    1350.   11070.   47320.   52430.   14180.    7580.    1460.   141000.
         1971     510.    1100.    2000.    4380.    9480.   14240.   26700.   50590.   69470.   12660.    7320.    8140.   206590.
         1972    1670.    1870.    3360.    5810.    6330.   29060.   26850.   58980.   76850.   12850.    4950.    2300.   230880.
         1973    1970.    2320.    2570.    2570.    2440.    7050.   22020.   73270.   43580.   16550.    4410.    3470.   182220.
         1974    3830.    5140.    7070.    8040.    8180.   10540.   30590.   88350.   64220.   15650.    1670.    2500.   245780.
         1975    1080.    1250.    1380.    1420.    1350.    1610.    9780.   38470.   79650.   56150.    4570.    8000.   204710.
         1976    3680.    2100.    4420.    4460.    4390.   11940.   24670.   42440.   32900.    7850.    1240.    2880.   142970.
         1977     310.     310.     370.     410.     410.     320.      20.    1710.   23590.    2740.    1170.     700.    32060.
         1978     370.     330.     260.     270.     260.     290.     300.   31290.   61730.   18670.    1600.    1550.   116920.
         1979    1600.    1580.    1670.    1770.    1650.    1940.    6590.   33550.   30580.    2720.     240.     220.    84110.
         1980     400.     380.     370.     540.     700.     880.   39460.   62760.   55570.   16780.    2710.     810.   181360.
         1981     380.      10.    1670.     510.     480.     570.     850.   42820.   43910.   22070.    3860.    2160.   119290.
         1982    1440.    1540.    1590.    1660.    1510.    1820.    2050.   57220.   56590.   32940.    9720.    1950.   170030.
         1983   26100.   25000.   11300.    7200.    6400.    3600.   10300.   58400.  145000.   38300.   20300.   16600.   368500.
         1984   20400.   16200.    6000.    6300.    6300.   20900.   35700.  112400.   93000.   34700.    7600.    7600.   367100.
         1985   13400.   11030.    9180.    9410.    8370.   15090.   53030.   63190.   54890.   19340.    1940.    1890.   260760.
         1986    2100.    2300.    2500.    2700.    2500.   26700.   38000.   89700.  117600.   24400.   10300.    8000.   326800.
         1987    4320.    8760.    7080.    5330.    5810.   10960.   24110.   47460.   38850.   11290.    2460.    2540.   168970.
         1988    1590.     980.    1080.    1060.    1010.    1190.    1730.   39090.   45580.    6550.    1650.    1400.   102910.
         1989    1340.    1240.    1290.    1210.    1090.    1410.    1630.   26610.   39930.    5640.    1840.     840.    84070.
         1990     240.     260.    1100.    1030.     970.     990.    1050.   14600.   46650.    6630.    2390.     890.    76800.
         1991     780.     840.     860.    1030.     970.     990.    1050.   14600.   46650.    6630.    2390.     890.    77680.
         1992    1090.    1070.    1130.     880.     880.    1010.    1070.   21670.   52090.   12390.    2370.    2130.    97780.
         1993     770.     670.     820.    1150.    1120.    1240.    9930.   37000.   28980.    3760.    1610.     730.    87780.
         1994    1900.    1950.    2120.     860.     880.    1200.   15310.   57620.   81900.   18390.    5810.    3580.   191520.
         1995    1140.    1170.    1280.    2220.    2040.    2110.    1990.   42450.   45850.    5430.     620.     920.   107220.
         1996    2490.    4950.    5370.    1350.    1310.    5430.    8830.   26520.   60570.   44840.    9440.   10900.   182000.
         1997    2070.    1370.    1410.    3650.    1600.    2350.   23020.   55820.   60500.   21360.    2580.    6110.   181840.
         1998    2600.    7670.    8400.    1420.    1280.    5320.   35890.   74840.   80110.   21930.    2960.    2460.   244880.
         1999   18730.    2900.    3000.    8140.    7370.    8390.   15410.   52000.   78420.   41790.   10810.   11990.   258950.
         2000    2320.    2260.    1920.    2890.    2830.    9560.   20620.   63190.   80150.   21060.   10210.    6570.   223580.

         MEAN    3735.    3348.    2996.    2833.    2746.    6136.   17129.   48434.   60163.   18471.    5054.    3686.   174729.

          PCT    2.14%    1.92%    1.71%    1.62%    1.57%    3.51%    9.80%   27.72%   34.43%   10.57%    2.89%    2.11%   100.00%

           SD    6240.    4914.    2822.    2525.    2601.    7098.   14377.   21410.   26353.   13062.    4410.    3895.    78527.

           CV     1.67     1.47     0.94     0.89     0.95     1.16     0.84     0.44     0.44     0.71     0.87     1.06      0.45

           FILE: .\10020300                                                                      
