

                                    10020900 WOODRUFF CREEK BELOW RESERVOIR NR WOODRUFF, UTAH Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1971     620.      20.       0.      20.      50.       0.    3160.   12960.    8060.    3000.    3010.     860.    31760.
         1972     520.       0.       0.       0.       0.     950.    3120.   12620.    6120.    4050.    1630.     680.    29690.
         1973     354.      31.       7.       7.       5.      25.    1318.    7648.    3921.    2247.     716.     317.    16596.
         1974     540.      90.       0.       0.       0.      10.    1260.   10290.    4340.    2620.     940.     500.    20590.
         1975     413.       0.       0.       0.       0.       0.     484.    4116.    9019.    4326.    1113.     392.    19863.
         1976     434.     319.       0.       0.       0.      12.     875.    6750.    4116.    1672.     522.     297.    14997.
         1977     372.     358.       8.       0.       0.       0.      60.      53.    2562.       0.       0.     257.     3670.
         1978     231.     105.       0.       0.       0.       0.     268.    7216.    5262.    2775.     233.     122.    16212.
         1979     730.     126.       0.       0.       0.      26.     702.    8182.    4653.    2382.     402.     426.    17629.
         1980     500.     360.       0.       0.      10.      20.    2150.   12040.    6770.    2900.    1700.     560.    27010.
         1981     482.     155.       0.       0.       0.       0.       4.     977.    4543.     186.       0.     153.     6500.
         1982     760.      90.       0.       0.       0.     100.    1230.   12750.    5700.    3720.    1060.       0.    25410.
         1983     330.     520.      90.     100.     240.     750.    1260.   11830.   15080.    2330.    2050.     370.    34950.
         1984     860.     680.     770.     510.     470.     690.    2110.   16120.    7630.    3530.     730.     140.    34240.
         1985     750.     630.      20.     200.     450.     910.    3990.   11120.    5110.    2490.       0.     130.    25800.
         1986    1170.     540.       0.       0.      50.    2580.    5500.   15430.   10710.    4310.    1120.      50.    41460.

         MEAN     567.     252.      56.      52.      80.     380.    1718.    9381.    6475.    2659.     952.     328.    22899.

          PCT    2.47%    1.10%    0.24%    0.23%    0.35%    1.66%    7.50%   40.97%   28.28%   11.61%    4.16%    1.43%   100.00%

           SD     239.     236.     192.     133.     160.     690.    1543.    4726.    3114.    1266.     831.     237.    10336.

           CV     0.42     0.94     3.43     2.55     2.01     1.82     0.90     0.50     0.48     0.48     0.87     0.72      0.45

           FILE: .\10020900                                                                      
