

                                    10021000 WOODRUFF CREEK NEAR WOODRUFF, UTAH               Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938     554.     599.     594.     572.     525.     757.    3927.    7916.    3045.     686.     585.     540.    20300.
         1939     521.     483.     483.     492.     500.     966.    2148.    2797.     732.
         1940     334.     286.     284.     287.     287.     464.    1029.    1940.     371.     171.     140.     211.     5804.
         1941     239.     254.     251.     233.     246.     396.     768.    2608.     729.     289.     342.     233.     6588.
         1942     311.     289.     252.     246.     222.     277.    2329.    4306.    1367.     388.     199.     248.    10434.
         1943     300.     290.     310.     330.     360.     720.    6220.   10010.    4160.     990.     610.     390.    24690.
         1950     830.     700.     690.     690.     650.    1150.    4350.   14300.   10260.    2420.    1230.     880.    38150.
         1951     910.    1180.     900.     700.     880.     900.    4190.   13110.    4570.    1660.    1060.     920.    30980.
         1952    1010.     710.     730.     630.     630.     700.    3860.   16610.    6780.    1870.    1200.     950.    35680.
         1953     924.     724.     748.     825.     556.     914.    1642.    4318.    6325.    1250.     680.     518.    19424.
         1954     625.     647.     578.     552.     585.     937.    2557.    4495.    1224.     697.     515.     474.    13886.
         1955     758.     604.     534.     457.     443.     531.    1630.    7521.    2844.     914.     638.     571.    17445.
         1956     620.     620.    1680.     990.     760.    1550.    4860.   11460.    2790.    1040.     690.     630.    27690.
         1957     908.     621.     573.     493.     544.     899.    1724.    7900.    6395.    1313.     746.     633.    22749.
         1958     774.     720.     628.     572.     757.     827.    1676.    9271.    2130.     817.     522.     508.    19202.
         1959     502.     551.     564.     521.     504.     798.    1678.    3525.    1823.     664.     500.     576.    12206.
         1960     561.     593.     535.     476.     460.    1024.    1876.    4852.    1142.     586.     364.     381.    12850.
         1961     456.     479.     486.     349.     365.     560.     744.    1232.     473.     212.     248.     344.     5948.
         1962     431.     370.     437.     449.    1307.     912.    5631.    9009.    2247.     895.     498.     450.    22636.
         1963     541.     531.     461.     458.     783.     776.    1636.    6680.    1835.     870.     668.     499.    15738.
         1964     589.     560.     523.     475.     431.     489.    1622.    7490.    4274.    1182.     697.     577.    18909.
         1965     630.     630.     890.     730.     690.     680.    2960.   10930.    8230.    1880.    1080.     920.    30250.
         1966     789.     827.     660.     547.     495.    1123.    2892.    6424.    1638.     833.     625.     598.    17451.
         1967     658.     621.     567.     641.     536.    1029.    1357.    7803.    7232.    1398.     752.     628.    23222.
         1968     679.     582.     456.     526.     849.    1004.    1176.    5518.    4598.    1012.     791.     569.    17760.
         1969     480.     600.     620.     720.     560.     650.    3460.   12820.    3040.    1370.     840.     710.    25870.
         1970     823.     704.     682.     671.     700.     837.    1414.    7075.    2834.    1079.     704.     663.    18186.
         1971     770.     220.     200.     210.     230.     230.    3470.   13480.    8320.    3280.    3440.    1020.    34870.
         1972     710.     200.     270.     220.     190.    1450.    3800.   13700.    6630.    4020.    1840.     860.    33890.
         1973     584.     232.     205.     214.     177.     180.    1635.    8707.    4608.    2759.     969.     413.    20683.
         1974    1150.     360.     190.     170.     170.     260.    1710.   10710.    4870.    3080.    1310.     810.    24790.
         1975     752.     131.     160.     158.     152.     177.     859.    4770.    9584.    5203.    1424.     569.    23939.

         MEAN     648.     529.     536.     488.     517.     755.    2526.    7915.    3972.    1446.     836.     590.    21039.

          PCT    3.08%    2.51%    2.55%    2.32%    2.46%    3.59%   12.01%   37.62%   18.88%    6.87%    3.97%    2.80%   100.00%

           SD     214.     221.     289.     206.     254.     341.    1452.    3979.    2796.    1162.     612.     215.     8607.

           CV     0.33     0.42     0.54     0.42     0.49     0.45     0.57     0.50     0.70     0.80     0.73     0.36      0.41

           FILE: .\10021000                                                                      
