

                                    USGS 10021500      BIRCH CREEK NEAR WOODRUFF, UTAH                  

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1950      75.      89.      88.     107.     104.     203.    1400.    4620.    2130.     406.     259.      92.     9573.
         1951      83.     114.     129.     119.     146.     227.    1570.    3310.    1020.     232.      93.      51.     7094.
         1952      79.      70.      37.      23.      23.      31.     379.    2720.    1300.    1110.     775.      29.     6576.
         1953      26.      25.      25.      36.      39.      58.     102.     451.     910.    1200.    1060.      45.     3977.
         1954      21.      19.      25.      26.      19.      38.     182.     231.     304.    1170.     369.       2.     2406.
         1955       2.      22.      12.      12.      17.      25.     126.     557.     248.    1430.     884.      32.     3367.
         1956      32.      23.      57.      70.      58.     146.     542.    2220.     868.    1580.     824.       6.     6426.

         MEAN      45.      52.      53.      56.      58.     104.     614.    2016.     969.    1018.     609.      37.     5631.

          PCT    0.81%    0.92%    0.95%    1.00%    1.03%    1.85%   10.91%   35.79%   17.20%   18.08%   10.82%    0.65%   100.00%

           SD      33.      39.      42.      43.      49.      86.     616.    1671.     637.     507.     365.      30.     2499.

           CV     0.72     0.75     0.79     0.77     0.85     0.83     1.00     0.83     0.66     0.50     0.60     0.83      0.44

           FILE: .\10021500                                                                      
