

                                    USGS 10024000      RANDOLPH CREEK NEAR RANDOLPH, UTAH               

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1950     215.     228.     295.     281.     243.     363.     367.     211.     370.     290.     221.     303.     3387.
         1951     340.     353.     353.     305.     308.     430.     408.     283.     358.     292.     288.     309.     4027.
         1952     354.     338.     330.     289.     317.     330.     386.     220.     352.     312.     261.     267.     3756.
         1953     302.     319.     345.     363.     312.     344.     277.     246.     243.     191.     172.     163.     3277.
         1954     201.     205.     257.     299.     285.     340.     151.     304.     216.     179.     241.     214.     2892.
         1955     154.     220.     308.     290.     253.     280.     258.     257.     204.     234.     192.     175.     2825.
         1956     114.     284.     318.     287.     258.     474.     217.     289.     245.     249.     198.     184.     3117.

         MEAN     240.     278.     315.     302.     282.     366.     295.     259.     284.     250.     225.     231.     3326.

          PCT    7.22%    8.36%    9.48%    9.08%    8.49%   11.00%    8.87%    7.77%    8.54%    7.50%    6.76%    6.94%   100.00%

           SD      93.      61.      33.      28.      31.      65.      96.      35.      73.      52.      41.      62.      441.

           CV     0.39     0.22     0.10     0.09     0.11     0.18     0.32     0.14     0.26     0.21     0.18     0.27      0.13

           FILE: .\10024000                                                                      
