

                                    10032000 SMITHS FORK NEAR BORDER, WY                      Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1942                                                                           20850.    9560.    5950.    4480.
         1943    4210.    4110.    3940.    3690.    3330.    3480.   19400.   37800.   40070.   23360.   11480.    7310.   162180.
         1944    6320.    5090.    4670.    4300.    3570.    3500.    6180.   20180.   31600.   15060.    8330.    5990.   114790.
         1945    4860.    4240.    4120.    3780.    3110.    3140.    4200.   25360.   35440.   19430.   10150.    7170.   125000.
         1946    5480.    4730.    4370.    4100.    3690.    4830.   22930.   34460.   29310.   13690.    8440.    6350.   142380.
         1947    5900.    4740.    4480.    3740.    3520.    4340.   10240.   48370.   38210.   19270.   11030.    7110.   160950.
         1948    6120.    4930.    4670.    4110.    3730.    3650.    8080.   41190.   33770.   14090.    8370.    5920.   138630.
         1949    5320.    4530.    4330.    4000.    3330.    3720.   11330.   33240.   29490.   13840.    8090.    5840.   127060.
         1950    5320.    4170.    3960.    3670.    3240.    3570.   11460.   38000.   55570.   28270.   11940.    7540.   176710.
         1951    6150.    5110.    4460.    4140.    3840.    3910.   17540.   50390.   41230.   21600.   11520.    7130.   177020.
         1952    6350.    4920.    4720.    4000.    3390.    3570.   13410.   46890.   35520.   15460.    8900.    6040.   153170.
         1953    5140.    4420.    4240.    4130.    3370.    3780.    7900.   17360.   39160.   18880.    9410.    5910.   123700.
         1954    4980.    4290.    4150.    3700.    3400.    3620.    8380.   32130.   21520.   13230.    7610.    5730.   112740.
         1955    5090.    4250.    3970.    3730.    3050.    3250.    5000.   21110.   25950.   12950.    7780.    5310.   101440.
         1956    4810.    4260.    4830.    4330.    3670.    4100.   19440.   49770.   48620.   18220.    9470.    6340.   177860.
         1957    5760.    4800.    4410.    4110.    3430.    3650.    5220.   42880.   55690.   25000.   11770.    7460.   174180.
         1958    6150.    5070.    4810.    4490.    3890.    4060.    5390.   42470.   35880.   14290.    8050.    5980.   140530.
         1959    5070.    4630.    4300.    4130.    3410.    3710.    6600.   18260.   28270.   13510.    7680.    5710.   105280.
         1960    5990.    4990.    4460.    3640.    3520.    4000.   10700.   25710.   23450.   10870.    6870.    5440.   109640.
         1961    4920.    4200.    3960.    3690.    3510.    3870.    5590.   13820.   13200.    6890.    5120.    4320.    73090.
         1962    4150.    3810.    3830.    3570.    3550.    3690.   20430.   44600.   40160.   19910.    9970.    6510.   164180.
         1963    5520.    4490.    4290.    3690.    3690.    3940.    5420.   26800.   32030.   15360.    9030.    6470.   120730.
         1964    5030.    4770.    4440.    4300.    3740.    3950.    5700.   37830.   43800.   20290.    9510.    6150.   149510.
         1965    5250.    4650.    4810.    4450.    3750.    3950.   10590.   37470.   60480.   32780.   13410.    8880.   190470.
         1966    6530.    5320.    4650.    4250.    3600.    4100.    9700.   26890.   18820.    9550.    6330.    5290.   105030.
         1967    4540.    3960.    3910.    3740.    3100.    3480.    5360.   30440.   53500.   25870.   11880.    7430.   157210.
         1968    6120.    4840.    4920.    4510.    3690.    3960.    5160.   18600.   35380.   16830.    9700.    6660.   120370.
         1969    5900.    4990.    4940.    4540.    3650.    3630.   13730.   46030.   26160.   13210.    8010.    5950.   140740.
         1970    5380.    4530.    4340.    4270.    3610.    3660.    4070.   26420.   39910.   17920.    9360.    6640.   130110.
         1971    5610.    4920.    4660.    4590.    3810.    4060.    9640.   54520.   76460.   34040.   14540.    8990.   225840.
         1972                                                                                    24900.   12870.
         1973    6770.    5470.    4900.    4390.    3420.    3590.    4720.   28800.   25490.   12990.    7810.    6110.   114460.
         1974    5020.    4450.    4020.    3950.    3260.    3480.   10470.   43150.   51200.   19030.   10680.    6580.   165290.
         1975    5220.    4450.    4100.    3990.    3300.    3150.    3490.   21110.   50560.   37000.   13550.    8180.   158100.
         1976    6530.    5120.    4040.    3790.    2930.    3220.    9740.   48010.   39660.   19790.   10670.    6760.   160260.
         1977    5823.    4518.    3681.    3689.    3558.    3459.    4675.    6095.    5722.    3775.    3388.    3098.    51481.
         1978    3130.    3010.    3160.    3170.    2680.    3160.   11500.   40580.   57900.   29760.   12360.    8150.   178560.
         1979    6080.    4670.    4350.    3690.    3330.    3650.    6200.   30020.   27520.   13270.    7690.    5230.   115700.
         1980    5070.    4180.    3620.    4030.    3230.    3110.   10320.   45170.   41660.   19300.   10170.    6810.   156670.
         1981    5750.    4440.    3910.    3590.    3270.    3750.    6340.   15560.   18750.    9250.    6100.    4300.    85010.
         1982    4670.    3970.    4020.    3260.    3080.    3720.    6910.   58780.   54880.   30280.   13490.    9430.   196490.
         1983    8260.    6350.    5440.    5230.    3900.    4070.    5600.   36430.   72370.   34520.   14860.    9210.   206240.
         1984    7870.    6540.    4920.    4950.    4760.    5180.    7760.   51430.   55170.   28150.   13940.    9050.   199720.
         1985    7670.    6570.    4930.    3390.    3040.    4300.   15760.   33050.   21140.   11810.    8490.    6800.   126950.
         1986    6150.    6750.    5320.    3860.    3200.    6110.   19120.   48800.   81950.   30900.   12340.    9870.   234370.
         1987    9610.    5860.    4700.    4350.    3530.    4010.    8980.   17990.   12290.    8260.    6860.    4840.    91280.
         1988    4810.    4210.    2980.    2470.    2190.    2430.   10220.   24870.   18230.    9130.    5860.    4700.    92100.
         1989    4310.    3960.    3520.    3520.    3200.    3670.   13920.   28510.   25080.   13070.    7550.    5780.   116090.
         1990    5030.    4220.    3880.    3900.    3290.    4570.   12250.   17040.   18270.   10290.    6980.    4760.    94480.

         MEAN    5654.    4734.    4322.    3970.    3433.    3804.    9718.   33710.   37236.   18341.    9497.    6494.   141357.

          PCT    4.00%    3.35%    3.06%    2.81%    2.43%    2.69%    6.88%   23.85%   26.34%   12.97%    6.72%    4.59%   100.00%

           SD    1120.     739.     511.     470.     377.     574.    4927.   12552.   16888.    8044.    2645.    1461.    39622.

           CV     0.20     0.16     0.12     0.12     0.11     0.15     0.51     0.37     0.45     0.44     0.28     0.23      0.28

           FILE: .\10032000                                                                      
