

                                    10038000 BEAR RIVER BL SMITHS FORK NR COKEVILLE, WYOMING  Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1955    6570.    7790.    7410.    7090.    7130.    8480.   21560.   24020.   32290.   11680.    8090.    6150.   148260.
         1956    7600.    8050.   12980.   15210.   11160.   48710.   54570.   84000.   84480.   18740.    9330.    6180.   361010.
         1957    8500.    9800.    9800.    9200.   10400.   20900.   22400.   74900.  127700.   52500.   13500.    9200.   368800.
         1958   10800.   13190.   12670.   11470.   12910.   19370.   28180.   58820.   44150.   13660.    7950.    5850.   239020.
         1959    7130.    8650.    9470.    8910.    9070.   16720.   26440.   18500.   27670.   20440.    8670.
         1960   12380.   13370.   10480.    9050.    8710.   30370.   29880.   26960.   23870.   13080.    7110.    6030.   191290.
         1961    7010.    8600.    7770.    7000.    7620.   10990.    5820.   11780.   10550.    6380.    5070.    4900.    93490.
         1962    6300.    6800.    6600.    7100.   22600.   16800.  108500.   70400.   57900.   34500.   11600.    7800.   356900.
         1963    8750.    9380.    8280.    6210.   14180.    8280.    7880.   24470.   42840.   21860.   10120.   10290.   172540.
         1964    8600.    9800.    8300.    7200.    7200.    8200.   25700.   57200.  102900.   33600.   10700.    9300.   288700.
         1965    8900.   10400.   12600.   11700.   10700.   16400.   60600.   82600.  149100.   83800.   34800.   27100.   508700.
         1966   28810.   21130.   19420.   15640.   11950.   36820.   74990.   52770.   19870.   13070.    6970.    6760.   308200.
         1967    8600.    9000.    9700.    8800.    7300.   15400.   32000.   45500.  126800.   72100.   15000.   11200.   361400.
         1968   12800.   13900.   12800.   10900.   11200.   21100.   26800.   29000.  106700.   37100.   14100.   11000.   307400.
         1969   13100.   16900.   16300.   14200.   11500.   14700.  111400.   83100.   39100.   24900.   10700.    8200.   364100.
         1970   10680.   10600.   10130.   11080.    9900.   10990.   11510.   31670.   75910.   27250.   10500.    9780.   230000.
         1971   12100.   13200.   13900.   14300.   18600.   39400.   77500.  124800.  137900.   55800.   19300.   19600.   546400.
         1972   17700.   16100.   14100.   16200.   15900.   70500.   67600.  113300.  143800.   42300.   17400.   15900.   550800.
         1973   16860.   16950.   14470.   12300.   12060.   19450.   56740.   97960.   47040.   28990.   17410.   15380.   355610.
         1974   16300.   17300.   19000.   18600.   17800.   34300.   54000.  112100.   97000.   35900.   12600.    8700.   443600.
         1975   10900.   13100.   11800.   10600.    8700.   17700.   22400.   49700.  106400.   91900.   23500.   15600.   382300.
         1976   15400.   15210.   15990.   14780.   12070.   28940.   86740.   85070.   52270.   28660.   13190.   12030.   380350.
         1977   11510.   10260.    7990.    7100.    7080.    7490.    4120.    7090.    5760.    4390.    4920.    3330.    81040.
         1978    3420.    4940.    5940.    5820.    6180.   11450.   23620.   50290.   87910.   44500.   16920.   13230.   274220.
         1979   11760.   10480.    9290.    9270.    8820.   15440.   26620.   36460.   33100.   16560.    9250.    6820.   193870.
         1980    7400.    8300.    7000.   14400.   14900.   21700.   62100.  128800.   85200.   41700.   15900.   10800.   418200.
         1981   11940.   12060.   11910.   10590.    9460.   10930.    9550.   21800.   35160.   23570.    9010.    5790.   171770.
         1982    9330.   10340.   10870.    9870.   12330.   25120.   30100.   90290.   89850.   69550.   31800.   19790.   409240.
         1983   46400.   41200.   33000.   20200.   16800.   37200.   35500.  123100.  220900.   95700.   43500.   39100.   752600.
         1984   42600.   37400.   21900.   21200.   21700.   36400.   93100.  171700.  177300.   75000.   34100.   28800.   761200.
         1985   33300.   30400.   25800.   20500.   16100.   30700.  115700.   96800.   45700.   38100.   13100.   11300.   477500.
         1986   13800.   13700.   10900.   10100.   23800.   71300.   95400.  155300.  205900.   74700.   40000.   35600.   750500.
         1987   34750.   31470.   22800.   16150.   21440.   34670.   39380.   44190.   34530.   24330.   12000.    9280.   324990.
         1988   10650.   12490.   11650.    6160.    5230.    7160.   16590.   32380.   27780.   17720.    7290.    6270.   161370.
         1989    6580.    8440.    8350.    7660.    7300.   16420.   19180.   23290.   29910.   18570.    8050.    8350.   162100.
         1990    8360.    9330.    9500.    9000.    7330.    9840.   13020.   16000.   20730.   12640.    7340.    6620.   129710.

         MEAN   14100.   14168.   12802.   11543.   12143.   23621.   44366.   65448.   76555.   36812.   15022.   12344.   343634.

          PCT    4.10%    4.12%    3.73%    3.36%    3.53%    6.87%   12.91%   19.05%   22.28%   10.71%    4.37%    3.59%   100.00%

           SD   10202.    8368.    5863.    4324.    4995.   15844.   32615.   42860.   55769.   25147.    9903.    8522.   178370.

           CV     0.72     0.59     0.46     0.37     0.41     0.67     0.74     0.65     0.73     0.68     0.66     0.69      0.52

           FILE: .\10038000                                                                      
