

                                    10039500 BEAR R AT BORDER WY                              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938    8800.   10240.   11160.    8400.    9270.   23110.   56450.   88700.   63470.   21870.    8660.   11640.   321770.
         1939   11880.   11860.   10840.   10060.    8900.   43150.   41920.   42130.   17040.    8350.    5550.    4890.   216570.
         1940    9342.    8317.    7833.    5806.    7339.    9729.    7755.    6403.    7258.    4606.    2602.    2289.    79279.
         1941    7960.    7080.    6650.    5920.    6150.   17140.   13950.   21870.   50360.   18500.   10220.    8120.   173920.
         1942   10060.   13930.   12390.    9140.    8660.   16460.   74130.   38710.   38140.   10230.    5750.    4350.   241950.
         1943    7450.    8740.    6670.    6300.    7320.   28890.   74500.   70200.   61320.   30530.   14790.    9760.   326470.
         1944   11400.   11270.    8190.    7940.    9000.   12120.   69020.   67040.   76450.   27530.    9610.    6520.   316090.
         1945    9380.    9160.    7030.    7700.    7980.   16740.   22070.   34300.   52560.   27170.   18840.   14840.   227770.
         1946   11450.   14200.   13360.   13280.    9600.   37840.   90230.   80950.   37910.   14990.   10450.   10870.   345130.
         1947   11760.   11200.   13860.    9600.   11780.   49160.   38080.   81390.   91440.   32950.   16970.   13110.   381300.
         1948   13160.   14020.   12690.   11440.    9950.   17410.   61090.   87380.   54600.   15090.    8870.    7010.   312710.
         1949   10060.    9370.    7180.    6570.    6820.   16920.   42590.   54220.   58620.   26070.    9930.    5640.   253990.
         1950   13600.   14200.   10400.   10400.   12100.   36200.   75500.  118500.  146400.   50500.   19500.   13300.   520600.
         1951   17460.   18990.   17550.   14060.   17570.   29450.   90030.   95130.   85360.   32310.   22040.   15130.   455080.
         1952   19600.   17000.   16000.   15400.   16000.   17800.   76300.  194200.   98200.   35800.   16800.   12600.   535700.
         1953   13050.   12800.   13610.   16460.   15890.   21070.   25620.   19520.   70460.   20410.   11540.    6320.   246750.
         1954    7720.   10720.   11130.   11210.   12620.   20230.   23160.   26800.   13230.    8970.    6400.    4550.   156740.
         1955    7300.    8520.    8330.    7800.    7760.    9170.   21590.   21210.   27980.   11180.    8610.    6490.   145940.
         1956    8790.    8940.   13890.   16560.   12170.   48790.   57600.   84470.   85230.   17950.   10210.    6390.   370990.
