

                                    10041000 THOMAS FORK NEAR WYOMING-IDAHO STATE LINE        Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1950    1210.    1060.     970.    1260.     950.    1150.   10240.   27390.   13220.    4610.    2320.    1670.    66050.
         1951    1430.    1440.    1150.    1070.    1000.    1110.   11640.   21590.    6780.    2950.    1890.    1310.    53360.
         1952    1450.    1040.    1100.    1000.     870.     920.    8190.   22470.    5630.    2600.    1500.    1070.    47840.
         1953    1020.     831.     831.     867.     710.    1087.    3905.    7291.    5732.    2315.    1204.     736.    26529.
         1954     807.     910.     803.     776.     716.     889.    4272.    7103.    2811.    1347.     704.     520.    21658.
         1955     601.     602.     642.     580.     500.     559.    1608.    4415.    4608.    1702.     883.     636.    17336.
         1956     700.     810.    1800.    1150.     850.    1470.   17930.   19130.    5970.    2470.    1450.    1110.    54840.
         1957    1110.     900.     900.     890.     810.     920.    3540.   24750.    9020.    3350.    1680.    1200.    49070.
         1958    1200.    1160.    1190.    1130.     960.    1070.    3050.   16680.    5440.    2370.    1330.    1040.    36620.
         1959    1010.    1002.     996.     881.     774.     954.    2999.    5407.    2636.    1271.     869.     758.    19557.
         1960     869.     705.     596.     629.     584.    1035.    5476.    7109.    2799.    1323.     805.     700.    22630.
         1961     829.     781.     660.     631.     530.    1137.    1696.    1966.     938.     460.     441.     503.    10572.
         1962     600.     600.     610.     610.    1030.    1030.   13920.   16270.    5260.    2290.    1250.     940.    44410.
         1963    1060.     810.     700.     580.    1520.    1690.    3380.   10100.    4370.    2040.    1360.    1310.    28920.
         1964    1020.    1180.     970.     880.     760.     780.    3750.   17830.    8730.    4090.    1900.    1230.    43120.
         1965    1190.    1060.    1750.    1260.    1180.     990.   10710.   28200.    9770.    4170.    2530.    1950.    64760.
         1966    1404.    1258.    1317.     952.     803.    1063.    5111.    9366.    4015.    1999.    1133.    1075.    29496.
         1967     960.     890.     920.     850.     780.    1010.    3120.   13410.    9030.    4280.    1810.    1210.    38270.
         1968    1156.    1027.    1018.     962.     869.    1063.    1940.    5074.    4013.    1866.    1275.     912.    21175.
         1969     930.     880.     940.     910.     780.     820.    8880.   16880.    4640.    2440.    1390.     980.    40470.
         1970    1030.     920.     870.     900.     760.     830.    1960.   10760.    5050.    2270.    1200.    1000.    27550.
         1971    1020.    1100.    1120.    1140.     970.    1110.    8410.   38330.   13760.    5010.    2550.    1790.    76310.
         1972    1670.    1410.    1360.    1240.    1250.    2470.   10040.   30670.   10500.    4110.    2320.    1770.    68810.
         1973    1580.    1250.    1050.    1050.     920.    1000.    2690.   15980.    5600.    2750.    1580.    1350.    36800.
         1974    1220.    1280.    1080.    1030.     890.    1380.    8310.   19260.    5880.    2870.    1620.    1060.    45880.
         1975    1100.    1010.     900.     890.     790.     850.    1480.   15920.   15180.    5240.    2490.    1570.    47420.
         1976    1400.    1020.    1110.    1100.     850.     850.    5470.   22850.    6260.    2740.    1610.    1250.    46510.
         1977    1097.     960.     899.     720.     722.     821.    1057.     900.     569.     443.     432.     412.     9032.
         1978     490.     510.     680.     750.     690.    1220.   10450.   27060.    9430.    3560.    2040.    1500.    58380.
         1979    1250.    1100.    1100.     980.     930.    1050.    3260.   11900.    4460.    1960.    1230.     830.    30050.
         1980     950.     820.     810.     870.     760.     730.    6880.   21740.   12150.    4300.    2310.    1650.    53970.
         1981    1452.    1065.     908.     749.     668.    1047.    1654.    2402.    2007.    1049.     623.     527.    14151.
         1982     750.     700.     710.     660.     640.     980.    4320.   35900.   10390.    4170.    2140.    1850.    63210.
         1983    1780.    1420.    1190.    1030.     810.    1420.    4200.   30710.   16370.    5240.    2980.    2170.    69320.
         1984    1950.    1680.    1540.    1300.    1020.    1400.    5300.   36340.   13210.    5200.    2800.    2120.    73860.
         1985    1780.    1540.    1310.    1200.    1070.    1520.   10780.   11230.    4300.    2420.    1430.    1330.    39910.
         1986    1450.    1090.     560.     750.     940.    3320.   22560.   38750.   14550.    5080.    2710.    2270.    94030.
         1987    2128.    1426.    1035.    1023.    1178.    1501.    3201.    2773.    2097.    1410.     984.     787.    19543.
         1988     740.     703.     637.     644.     640.     847.    3418.    4778.    2162.     994.     677.     591.    16831.
         1989     607.     694.     639.     664.     657.    1446.    6325.    5693.    2646.    1295.    1071.     900.    22637.
         1990     825.     692.     647.     649.     589.    1331.    3059.    3505.    1803.     984.     618.     534.    15236.
         1991     711.     924.

         MEAN    1132.    1006.     976.     907.     847.    1168.    6102.   16339.    6678.    2757.    1540.    1174.    40637.

          PCT    2.79%    2.48%    2.40%    2.23%    2.08%    2.87%   15.02%   40.21%   16.43%    6.78%    3.79%    2.89%   100.00%

           SD     383.     272.     297.     210.     204.     476.    4664.   10993.    4253.    1417.     689.     495.    20679.

           CV     0.34     0.27     0.30     0.23     0.24     0.41     0.76     0.67     0.64     0.51     0.45     0.42      0.51

           FILE: .\10041000                                                                      
