

                                    10044000 BEAR RIVER AT HARER IDAHO                        Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1914   26300.   22300.   14100.   14800.   13900.   29200.  116000.  181000.  140000.   49400.   25800.   18100.   650900.
         1915   23400.   20400.   12300.   12300.   11700.   24400.   37500.   28100.   47300.   25000.   11500.   10700.   264600.
         1916   14200.   15000.   13500.   11700.   11800.   81800.   87500.  116000.   89800.   36200.   18800.   15100.   511400.
         1917   17600.   16800.   15300.   13800.   11600.   12900.   91100.  151000.  181000.  102000.   36400.   22900.   672400.
         1918   23200.   22500.   22800.   20000.   15600.   33900.   54900.   69500.  103000.   42600.   15700.   13900.   437600.
         1919   16300.   16800.   15400.   10800.   10900.   28900.   42800.   43000.   27700.    7000.    6600.    6200.   232400.
         1920   12500.   17000.   11600.   10800.   13100.   21300.   55900.  154000.  146000.   35800.   19300.   17000.   514300.
         1921   20000.   24800.   19100.   17000.   16400.   84800.   67800.  172000.  190000.   58100.   29500.   24600.   724100.
         1922   22200.   21800.   20000.   14800.   13600.   20700.   98200.  200000.  148000.   40000.   28000.   24700.   652000.
         1923   19800.   21700.   20000.   19400.   15600.   18500.  112000.  182000.  149000.   63300.   28500.   24600.   674400.
         1924   42700.   33100.   20200.   17100.   20300.   26700.  130000.  101000.   41000.   13800.   10100.    9800.   465800.
         1925   13300.   13000.   11100.   12900.   12800.   40700.   48600.   64600.   53700.   37500.   14300.   17300.   339800.
         1926   21400.   17800.   14500.   11400.   12600.   38800.   44700.   47200.   29500.   16500.    9900.    7500.   271800.
         1927   11500.   10800.   10700.   10300.   10600.   21800.   51700.   82400.   73800.   34200.   14500.   15900.   348200.
         1928   19700.   21100.   17100.   16400.   14000.   44100.   47000.  128000.   70800.   23600.   12900.   10700.   425400.
         1929   12200.   13600.   10600.   10900.    9800.   20000.   61900.   94100.   89300.   32800.   18100.   21800.   395100.
         1930   22600.   18900.   17200.    9900.   11900.   31800.   51600.   44600.   43800.   19900.   22300.   17400.   311900.
         1931   19300.   14100.   11600.   11000.   10700.   15900.   17800.   11800.    6200.    5100.    5700.    4400.   133600.
         1932    6600.    7000.    6500.    6800.    7000.   11600.   32800.   81800.   86900.   41400.   15600.   14200.   318200.
         1933   14000.   11400.    7700.   10000.    8500.   14600.   22500.   34300.   60100.   18900.    9700.    8700.   220400.
         1934   10400.    9700.    8300.    9000.   10300.   11100.    5900.    2800.    2900.    2400.    2200.    2800.    77800.
         1935    4600.    6600.    6200.    5600.    6300.    9300.   15900.   22900.   52200.   15300.    7100.    4900.   156900.
         1936    7900.    9900.    8400.    6500.    6400.   11400.   60100.  164100.   74700.   25400.   19500.   12100.   406400.
         1937   14400.   14500.   10700.    9600.    9000.   18700.   76400.   94300.   39300.   27300.   11900.    7800.   333900.
         1938   10900.   12800.   12300.   11200.   10700.   26900.   65600.  104900.   70000.   27600.   11900.   15400.   380200.
         1939   17400.   15900.   14500.   12700.   10400.   50500.   51200.   50600.   21500.   11000.    7300.    6800.   269800.
         1940   11600.   10500.   10200.    9800.    9900.   11400.    9400.    7900.    9000.    5900.    3600.    3700.   102900.
         1941    8800.    8300.    8000.    7800.    7900.   20400.   16200.   25800.   54000.   22400.   12600.   10000.   202200.
         1942   12700.   16500.   14000.   10800.   10000.   16700.   81500.   42500.   41000.   13300.    7500.    5800.   272300.
         1943    8660.    9810.    7830.    7460.    8410.   32290.   90210.   92500.   68290.   34550.   17800.   12110.   389920.
         1944   13750.   13890.   10740.   10060.   11100.   14900.   78770.   69770.   80430.   30460.   11350.    7800.   353020.
         1945   11230.   11150.    8180.    8990.    9530.   21000.   25900.   42030.   66090.   36810.   22490.   17620.   281020.
         1946   14500.   17900.   14900.   14900.   11500.   46900.  111100.  109000.   45500.   19100.   13500.   13200.   432000.
         1947   14700.   14500.   16300.   11100.   14200.   55800.   45700.   97300.  103600.   40800.   21400.   16200.   451600.
         1948   16600.   18200.   16100.   13700.   12500.   19500.   68700.  110200.   67800.   21200.   11200.    9000.   384700.
         1949   12740.   12450.   10430.    9790.    9630.   20770.   49830.   68540.   69380.   28990.   12670.    7930.   313150.
         1950   16400.   16700.   13900.   14300.   15100.   42200.   93100.  154300.  176900.   59400.   23300.   16500.   642100.
         1951   21000.   22200.   20500.   15500.   21000.   34700.  112000.  124600.  101000.   38100.   25200.   17800.   553600.
         1952   22500.   19600.   16800.   17500.   17400.   19200.   76000.  225300.  109000.   42000.   19500.   15200.   600000.
         1953   16110.   15680.   14830.   17340.   16790.   24820.   31860.   26800.   74930.   26770.   15350.    8040.   289320.
         1954    9580.   12910.   11900.   12130.   13120.   22110.   28290.   32380.   17600.   12260.    7940.    5730.   185950.
         1955    8690.    9990.    9440.    8620.    8180.    9930.   26550.   24500.   31420.   14160.   10450.    7350.   169280.
         1956   10300.   10400.   15000.   19000.   12400.   49200.   78300.  106000.   93600.   22600.   12400.    8000.   437200.
         1957   11400.   11800.   11200.   10500.   10700.   24400.   32300.   97500.  136000.   60900.   17300.   12600.   436600.
         1958   13270.   15340.   14630.   12900.   14740.   22460.   38410.   76130.   51710.   15800.    9920.    7400.   292710.
         1959    8930.   11600.   11370.   10020.   10350.   18660.   33160.   22330.   24210.   22740.   10820.    8740.   192930.
         1960   14490.   14880.   11080.   10290.   10070.   29380.   39170.   31680.   21410.   13320.    7320.    6470.   209560.
         1961    8760.   10670.    8790.    7930.    8400.   13400.    7550.   10330.    9750.    5790.    4670.    5340.   101380.
         1962    6700.    7500.    6200.    7400.   23800.   20000.  123700.   94400.   64700.   39300.   14100.    7900.   415700.
         1963   10560.   11560.   10140.    7290.   16850.   11360.   12320.   29790.   50600.   24110.   10620.   12370.   207570.
         1964   11200.   12200.   10300.    8700.    8300.   10000.   37000.   72800.  115200.   42000.   13900.    9000.   350600.
         1965   10700.   13500.   16900.   15700.   14200.   20200.   78100.  115900.  153400.   90000.   39700.   33600.   601900.
         1966   34240.   26250.   21600.   17910.   13510.   37280.   89220.   67980.   20430.   14130.    8130.
         1967   10700.   10200.   10800.   10500.   10200.   17200.   40600.   56200.  132200.   79100.   19500.   11700.   408900.
         1968   15000.   15200.   14200.   13200.   13600.   24900.   29800.   30100.  100600.   39000.   16600.   12400.   324600.
         1969   14300.   17700.   16300.   16400.   12900.   17500.  123400.  100600.   46100.   28100.   12500.    9100.   414900.
         1970   14610.   12840.   10420.   10690.   11820.   15640.   15830.   35330.   77980.   31260.   11840.   11090.   259350.
         1971   15100.   16300.   14000.   13200.   22500.   51200.  100300.  167500.  154800.   66200.   22700.   22800.   666600.
         1972   25800.   23000.   15700.   17800.   17900.   76700.   85200.  147500.  160000.   50800.   21400.   18400.   660200.
         1973   21100.   20000.   15800.   14300.   13700.   21700.   61100.  114600.   55200.   36000.   22200.   17500.   413200.
         1974   20100.   20900.   20400.   18500.   18600.   42200.   64300.  134600.  100300.   40700.   18000.    8600.   507200.
         1975   14700.   18700.   15200.   11700.   12400.   23800.   30600.   68500.  130700.  104200.   31500.   18300.   480300.
         1976   19900.   19000.   19900.   17100.   14300.   28900.  102600.  112800.   59300.   26700.   16100.   14100.   450700.
         1977   14810.   13540.   10510.    9420.    8340.   10970.    7470.    7130.    5620.    4890.    4740.    4730.   102170.
         1978    5040.    6590.    7560.    7170.    6740.   13050.   37750.   82840.   95270.   48840.   19220.   15910.   345980.
         1979   14860.   14360.   12240.    9430.   10260.   17290.   35670.   49170.   33930.   17640.    9830.    8170.   232850.
         1980    8700.   12000.   10200.   15400.   15300.   27800.   72800.  166100.  104000.   52300.   19000.   13100.   516700.
         1981   15720.   15480.   14950.   14020.   11780.   15500.   12460.   19760.   33990.   22920.    9510.    6660.   192750.

                                    10044000 BEAR RIVER AT HARER IDAHO                        Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1982    9800.   11800.   12900.   10500.   13400.   28900.   42300.  132600.  107900.   82200.   38700.   22300.   513300.
         1983   50400.   40100.   38300.   22800.   21200.   46600.   46400.  152300.  240800.  119000.   55600.   49500.   883000.
         1984   44300.   46200.   32000.   24400.   24000.   44400.  105000.  196900.  214000.   89500.   42100.   35300.   898100.
         1985   37700.   32900.   24900.   24000.   22800.   37100.  131500.  106400.   48600.   38800.   13700.   12200.   530600.
         1986   16200.   16200.   16100.   16100.   27600.   84700.  128100.  204600.  236300.   78700.   33900.   33100.   891600.

         MEAN   16347.   16278.   14046.   12750.   13074.   28292.   59382.   88901.   82631.   36518.   16938.   13690.   399327.

          PCT    4.09%    4.08%    3.52%    3.19%    3.27%    7.08%   14.87%   22.26%   20.69%    9.14%    4.24%    3.43%   100.00%

           SD    8628.    7025.    5503.    4181.    4481.   17421.   34614.   56290.   55525.   25160.    9863.    8214.   190139.

           CV     0.53     0.43     0.39     0.33     0.34     0.62     0.58     0.63     0.67     0.69     0.58     0.60      0.48

           FILE: .\10044000                                                                      
